NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Oasl1	2'-5' oligoadenylate synthetase-like 1 [Source:MGI Symbol;Acc:MGI:2180849]	2	4.315937042236328	0.014899872	Yes	
row_1	Rsad2	radical S-adenosyl methionine domain containing 2 [Source:MGI Symbol;Acc:MGI:1929628]	9	3.6838767528533936	0.027423607	Yes	
row_2	Clec4n	C-type lectin domain family 4, member n [Source:MGI Symbol;Acc:MGI:1861231]	12	3.4293813705444336	0.039244257	Yes	
row_3	Ifi211	interferon activated gene 211 [Source:MGI Symbol;Acc:MGI:3041120]	20	3.3519978523254395	0.050570086	Yes	
row_4	Irf7	interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]	21	3.3449161052703857	0.062187787	Yes	
row_5	Dhx58	DEXH (Asp-Glu-X-His) box polypeptide 58 [Source:MGI Symbol;Acc:MGI:1931560]	29	3.2233541011810303	0.07306681	Yes	
row_6	Ddx60	DExD/H box helicase 60 [Source:MGI Symbol;Acc:MGI:2384570]	32	3.200589179992676	0.0840928	Yes	
row_7	Cd86	CD86 antigen [Source:MGI Symbol;Acc:MGI:101773]	39	3.1125850677490234	0.094632305	Yes	
row_8	Ifi209	interferon activated gene 209 [Source:MGI Symbol;Acc:MGI:2138243]	42	3.047785520553589	0.10512758	Yes	
row_9	Tlr1	toll-like receptor 1 [Source:MGI Symbol;Acc:MGI:1341295]	43	3.035881996154785	0.11567193	Yes	
row_10	Scimp	SLP adaptor and CSK interacting membrane protein [Source:MGI Symbol;Acc:MGI:3610314]	52	2.9619243144989014	0.12559773	Yes	
row_11	Clec7a	C-type lectin domain family 7, member a [Source:MGI Symbol;Acc:MGI:1861431]	58	2.911472797393799	0.13548394	Yes	
row_12	Gm12250	predicted gene 12250 [Source:MGI Symbol;Acc:MGI:3649299]	63	2.8692069053649902	0.14526854	Yes	
row_13	Trim30c	tripartite motif-containing 30C [Source:MGI Symbol;Acc:MGI:4821257]	66	2.8589673042297363	0.155108	Yes	
row_14	Ifi214	interferon activated gene 214 [Source:MGI Symbol;Acc:MGI:3584522]	70	2.828890562057495	0.1647978	Yes	
row_15	Ifi204	interferon activated gene 204 [Source:MGI Symbol;Acc:MGI:96429]	72	2.805983781814575	0.17449844	Yes	
row_16	Oas1b	2'-5' oligoadenylate synthetase 1B [Source:MGI Symbol;Acc:MGI:97430]	92	2.6617660522460938	0.18288441	Yes	
row_17	Igtp	interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729]	95	2.643606185913086	0.19197588	Yes	
row_18	Nlrc3	NLR family, CARD domain containing 3 [Source:MGI Symbol;Acc:MGI:2444070]	101	2.6223740577697754	0.20085797	Yes	
row_19	Ifi205	interferon activated gene 205 [Source:MGI Symbol;Acc:MGI:101847]	110	2.5839157104492188	0.20947085	Yes	
row_20	Trim30a	tripartite motif-containing 30A [Source:MGI Symbol;Acc:MGI:98178]	114	2.5716850757598877	0.2182673	Yes	
row_21	Colec12	collectin sub-family member 12 [Source:MGI Symbol;Acc:MGI:2152907]	118	2.5474328994750977	0.22697952	Yes	
row_22	Ifi206	interferon activated gene 206 [Source:MGI Symbol;Acc:MGI:3646410]	122	2.533982038497925	0.23564503	Yes	
row_23	Tnf	tumor necrosis factor [Source:MGI Symbol;Acc:MGI:104798]	127	2.5261034965515137	0.24423794	Yes	
row_24	Cd14	CD14 antigen [Source:MGI Symbol;Acc:MGI:88318]	129	2.517256021499634	0.25293577	Yes	
row_25	Ifi203	interferon activated gene 203 [Source:MGI Symbol;Acc:MGI:96428]	130	2.515658140182495	0.26167327	Yes	
row_26	Oas3	2'-5' oligoadenylate synthetase 3 [Source:MGI Symbol;Acc:MGI:2180850]	150	2.4026918411254883	0.2691594	Yes	
row_27	Irgm2	immunity-related GTPase family M member 2 [Source:MGI Symbol;Acc:MGI:1926262]	165	2.359452247619629	0.27672142	Yes	
row_28	Nod2	nucleotide-binding oligomerization domain containing 2 [Source:MGI Symbol;Acc:MGI:2429397]	167	2.3582799434661865	0.28486708	Yes	
row_29	Tnip3	TNFAIP3 interacting protein 3 [Source:MGI Symbol;Acc:MGI:3041165]	174	2.3210182189941406	0.2926573	Yes	
row_30	Gbp2	guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]	193	2.271752119064331	0.29973385	Yes	
row_31	Nmi	N-myc (and STAT) interactor [Source:MGI Symbol;Acc:MGI:1928368]	194	2.2671127319335938	0.30760807	Yes	
row_32	Lyn	LYN proto-oncogene, Src family tyrosine kinase [Source:MGI Symbol;Acc:MGI:96892]	200	2.2551956176757812	0.31521487	Yes	
row_33	Zbp1	Z-DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1927449]	204	2.243920087814331	0.3228729	Yes	
row_34	Cd40	CD40 antigen [Source:MGI Symbol;Acc:MGI:88336]	205	2.2421929836273193	0.33066058	Yes	
row_35	Irf1	interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]	226	2.1873421669006348	0.33735356	Yes	
row_36	Myd88	myeloid differentiation primary response gene 88 [Source:MGI Symbol;Acc:MGI:108005]	242	2.123893976211548	0.3440522	Yes	
row_37	Irgm1	immunity-related GTPase family M member 1 [Source:MGI Symbol;Acc:MGI:107567]	250	2.1035046577453613	0.3510417	Yes	
row_38	Ifi35	interferon-induced protein 35 [Source:MGI Symbol;Acc:MGI:1917360]	265	2.065082550048828	0.35758132	Yes	
row_39	Arrb2	arrestin, beta 2 [Source:MGI Symbol;Acc:MGI:99474]	270	2.050076723098755	0.36452088	Yes	
row_40	Acod1	aconitate decarboxylase 1 [Source:MGI Symbol;Acc:MGI:103206]	272	2.047245979309082	0.37158623	Yes	
row_41	Cd36	CD36 molecule [Source:MGI Symbol;Acc:MGI:107899]	274	2.033891201019287	0.37860525	Yes	
row_42	Nlrp3	NLR family, pyrin domain containing 3 [Source:MGI Symbol;Acc:MGI:2653833]	283	2.025221586227417	0.38527763	Yes	
row_43	Trim5	tripartite motif-containing 5 [Source:MGI Symbol;Acc:MGI:3646853]	286	2.019533395767212	0.39220154	Yes	
row_44	Casp4	caspase 4, apoptosis-related cysteine peptidase [Source:MGI Symbol;Acc:MGI:107700]	291	2.009270191192627	0.3989994	Yes	
row_45	Trim30d	tripartite motif-containing 30D [Source:MGI Symbol;Acc:MGI:3035181]	294	2.006635904312134	0.40587848	Yes	
row_46	Unc93b1	unc-93 homolog B1, TLR signaling regulator [Source:MGI Symbol;Acc:MGI:1859307]	305	1.9928171634674072	0.41234794	Yes	
