NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Oasl1	2'-5' oligoadenylate synthetase-like 1 [Source:MGI Symbol;Acc:MGI:2180849]	2	4.315937042236328	0.017979272	Yes	
row_1	Rsad2	radical S-adenosyl methionine domain containing 2 [Source:MGI Symbol;Acc:MGI:1929628]	9	3.6838767528533936	0.03313175	Yes	
row_2	Clec4n	C-type lectin domain family 4, member n [Source:MGI Symbol;Acc:MGI:1861231]	12	3.4293813705444336	0.047399275	Yes	
row_3	Irf7	interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]	21	3.3449161052703857	0.061042354	Yes	
row_4	Dhx58	DEXH (Asp-Glu-X-His) box polypeptide 58 [Source:MGI Symbol;Acc:MGI:1931560]	29	3.2233541011810303	0.07422162	Yes	
row_5	Ddx60	DExD/H box helicase 60 [Source:MGI Symbol;Acc:MGI:2384570]	32	3.200589179992676	0.08753126	Yes	
row_6	Cd86	CD86 antigen [Source:MGI Symbol;Acc:MGI:101773]	39	3.1125850677490234	0.10029191	Yes	
row_7	Tlr1	toll-like receptor 1 [Source:MGI Symbol;Acc:MGI:1341295]	43	3.035881996154785	0.112866834	Yes	
row_8	Scimp	SLP adaptor and CSK interacting membrane protein [Source:MGI Symbol;Acc:MGI:3610314]	52	2.9619243144989014	0.12490644	Yes	
row_9	Clec7a	C-type lectin domain family 7, member a [Source:MGI Symbol;Acc:MGI:1861431]	58	2.911472797393799	0.13687022	Yes	
row_10	Gm12250	predicted gene 12250 [Source:MGI Symbol;Acc:MGI:3649299]	63	2.8692069053649902	0.1487022	Yes	
row_11	Oas1b	2'-5' oligoadenylate synthetase 1B [Source:MGI Symbol;Acc:MGI:97430]	92	2.6617660522460938	0.15858239	Yes	
row_12	Igtp	interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729]	95	2.643606185913086	0.16956012	Yes	
row_13	Nlrc3	NLR family, CARD domain containing 3 [Source:MGI Symbol;Acc:MGI:2444070]	101	2.6223740577697754	0.18031353	Yes	
row_14	Trim30a	tripartite motif-containing 30A [Source:MGI Symbol;Acc:MGI:98178]	114	2.5716850757598877	0.19053878	Yes	
row_15	Colec12	collectin sub-family member 12 [Source:MGI Symbol;Acc:MGI:2152907]	118	2.5474328994750977	0.20106871	Yes	
row_16	Tnf	tumor necrosis factor [Source:MGI Symbol;Acc:MGI:104798]	127	2.5261034965515137	0.21128367	Yes	
row_17	Cd14	CD14 antigen [Source:MGI Symbol;Acc:MGI:88318]	129	2.517256021499634	0.22177753	Yes	
row_18	Oas3	2'-5' oligoadenylate synthetase 3 [Source:MGI Symbol;Acc:MGI:2180850]	150	2.4026918411254883	0.23093416	Yes	
row_19	Irgm2	immunity-related GTPase family M member 2 [Source:MGI Symbol;Acc:MGI:1926262]	165	2.359452247619629	0.24018057	Yes	
row_20	Nod2	nucleotide-binding oligomerization domain containing 2 [Source:MGI Symbol;Acc:MGI:2429397]	167	2.3582799434661865	0.25000885	Yes	
row_21	Tnip3	TNFAIP3 interacting protein 3 [Source:MGI Symbol;Acc:MGI:3041165]	174	2.3210182189941406	0.25945544	Yes	
row_22	Gbp2	guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]	193	2.271752119064331	0.26815414	Yes	
row_23	Nmi	N-myc (and STAT) interactor [Source:MGI Symbol;Acc:MGI:1928368]	194	2.2671127319335938	0.27764586	Yes	
row_24	Lyn	LYN proto-oncogene, Src family tyrosine kinase [Source:MGI Symbol;Acc:MGI:96892]	200	2.2551956176757812	0.28686202	Yes	
row_25	Cd40	CD40 antigen [Source:MGI Symbol;Acc:MGI:88336]	205	2.2421929836273193	0.29606885	Yes	
row_26	Irf1	interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]	226	2.1873421669006348	0.30432388	Yes	
row_27	Myd88	myeloid differentiation primary response gene 88 [Source:MGI Symbol;Acc:MGI:108005]	242	2.123893976211548	0.31253895	Yes	
row_28	Irgm1	immunity-related GTPase family M member 1 [Source:MGI Symbol;Acc:MGI:107567]	250	2.1035046577453613	0.32102972	Yes	
row_29	Ifi35	interferon-induced protein 35 [Source:MGI Symbol;Acc:MGI:1917360]	265	2.065082550048828	0.32904372	Yes	
row_30	Arrb2	arrestin, beta 2 [Source:MGI Symbol;Acc:MGI:99474]	270	2.050076723098755	0.3374462	Yes	
row_31	Acod1	aconitate decarboxylase 1 [Source:MGI Symbol;Acc:MGI:103206]	272	2.047245979309082	0.3459723	Yes	
row_32	Cd36	CD36 molecule [Source:MGI Symbol;Acc:MGI:107899]	274	2.033891201019287	0.35444245	Yes	
row_33	Nlrp3	NLR family, pyrin domain containing 3 [Source:MGI Symbol;Acc:MGI:2653833]	283	2.025221586227417	0.36256036	Yes	
row_34	Casp4	caspase 4, apoptosis-related cysteine peptidase [Source:MGI Symbol;Acc:MGI:107700]	291	2.009270191192627	0.37065664	Yes	
row_35	Unc93b1	unc-93 homolog B1, TLR signaling regulator [Source:MGI Symbol;Acc:MGI:1859307]	305	1.9928171634674072	0.3784132	Yes	
row_36	Cd300lf	CD300 molecule like family member F [Source:MGI Symbol;Acc:MGI:2442359]	313	1.974982500076294	0.3863659	Yes	
row_37	Slc15a3	solute carrier family 15, member 3 [Source:MGI Symbol;Acc:MGI:1929691]	319	1.9648847579956055	0.3943666	Yes	
row_38	Tlr2	toll-like receptor 2 [Source:MGI Symbol;Acc:MGI:1346060]	332	1.9407626390457153	0.40195036	Yes	
row_39	Oas1a	2'-5' oligoadenylate synthetase 1A [Source:MGI Symbol;Acc:MGI:2180860]	355	1.8884226083755493	0.4088636	Yes	
row_40	Nr1h3	nuclear receptor subfamily 1, group H, member 3 [Source:MGI Symbol;Acc:MGI:1352462]	370	1.859959363937378	0.4160188	Yes	
row_41	Zc3hav1	zinc finger CCCH type, antiviral 1 [Source:MGI Symbol;Acc:MGI:1926031]	379	1.8341647386550903	0.4233368	Yes	
row_42	Lacc1	laccase domain containing 1 [Source:MGI Symbol;Acc:MGI:2445077]	384	1.8283635377883911	0.43081108	Yes	
row_43	Cgas	cyclic GMP-AMP synthase [Source:MGI Symbol;Acc:MGI:2442261]	385	1.8281912803649902	0.43846518	Yes	
row_44	Casp1	caspase 1 [Source:MGI Symbol;Acc:MGI:96544]	393	1.8158252239227295	0.44575155	Yes	
row_45	Tasl	TLR adaptor interacting with endolysosomal SLC15A4 [Source:MGI Symbol;Acc:MGI:1918648]	415	1.7852177619934082	0.45227784	Yes	
row_46	Tnfaip3	tumor necrosis factor, alpha-induced protein 3 [Source:MGI Symbol;Acc:MGI:1196377]	418	1.7840964794158936	0.45965704	Yes	
row_47	Pik3ap1	phosphoinositide-3-kinase adaptor protein 1 [Source:MGI Symbol;Acc:MGI:1933177]	420	1.7830792665481567	0.46707714	Yes	
row_48	Tnip2	TNFAIP3 interacting protein 2 [Source:MGI Symbol;Acc:MGI:2386643]	424	1.7786554098129272	0.47438842	Yes	
row_49	Rigi	RNA sensor RIG-I [Source:MGI Symbol;Acc:MGI:2442858]	464	1.7332141399383545	0.47988456	Yes	
row_50	Irak3	interleukin-1 receptor-associated kinase 3 [Source:MGI Symbol;Acc:MGI:1921164]	472	1.7249298095703125	0.48679036	Yes	
row_51	Alpk1	alpha-kinase 1 [Source:MGI Symbol;Acc:MGI:1918731]	483	1.7142841815948486	0.4935162	Yes	
row_52	Smpdl3b	sphingomyelin phosphodiesterase, acid-like 3B [Source:MGI Symbol;Acc:MGI:1916022]	493	1.7040913105010986	0.5002445	Yes	
row_53	Ptpn22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid) [Source:MGI Symbol;Acc:MGI:107170]	529	1.6725187301635742	0.50566703	Yes	
row_54	Clec4e	C-type lectin domain family 4, member e [Source:MGI Symbol;Acc:MGI:1861232]	554	1.6512489318847656	0.5114971	Yes	
row_55	Ifih1	interferon induced with helicase C domain 1 [Source:MGI Symbol;Acc:MGI:1918836]	575	1.630929946899414	0.51742256	Yes	
row_56	Sting1	stimulator of interferon response cGAMP interactor 1 [Source:MGI Symbol;Acc:MGI:1919762]	597	1.6129461526870728	0.52322763	Yes	
row_57	Eif2ak2	eukaryotic translation initiation factor 2-alpha kinase 2 [Source:MGI Symbol;Acc:MGI:1353449]	607	1.6087216138839722	0.52955663	Yes	
row_58	Oas1c	2'-5' oligoadenylate synthetase 1C [Source:MGI Symbol;Acc:MGI:2149633]	641	1.5743937492370605	0.5346586	Yes	
row_59	Aim2	absent in melanoma 2 [Source:MGI Symbol;Acc:MGI:2686159]	648	1.564018964767456	0.5409359	Yes	
row_60	Gbp5	guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943]	660	1.5476489067077637	0.5469189	Yes	
row_61	Tlr9	toll-like receptor 9 [Source:MGI Symbol;Acc:MGI:1932389]	684	1.5203222036361694	0.5522459	Yes	
row_62	Tirap	toll-interleukin 1 receptor (TIR) domain-containing adaptor protein [Source:MGI Symbol;Acc:MGI:2152213]	686	1.517951488494873	0.558556	Yes	
row_63	Oas1g	2'-5' oligoadenylate synthetase 1G [Source:MGI Symbol;Acc:MGI:97429]	714	1.4941664934158325	0.563593	Yes	
row_64	Tlr4	toll-like receptor 4 [Source:MGI Symbol;Acc:MGI:96824]	808	1.415381908416748	0.565321	Yes	
