NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Lca5l	Leber congenital amaurosis 5-like [Source:MGI Symbol;Acc:MGI:3041157]	2207	0.8698359131813049	-0.07946655	No	
row_1	Bbs12	Bardet-Biedl syndrome 12 (human) [Source:MGI Symbol;Acc:MGI:2686651]	6122	0.36232104897499084	-0.24669646	No	
row_2	Ttc30a2	tetratricopeptide repeat domain 30A2 [Source:MGI Symbol;Acc:MGI:3700200]	6717	0.30609428882598877	-0.2664804	No	
row_3	Dynlt2b	dynein light chain Tctex-type 2B [Source:MGI Symbol;Acc:MGI:1913311]	7276	0.2615422308444977	-0.28564465	No	
row_4	Ssna1	SS nuclear autoantigen 1 [Source:MGI Symbol;Acc:MGI:1915725]	7306	0.25896498560905457	-0.28117308	No	
row_5	Kif3b	kinesin family member 3B [Source:MGI Symbol;Acc:MGI:107688]	7438	0.24892999231815338	-0.28149354	No	
row_6	Ttc30a1	tetratricopeptide repeat domain 30A1 [Source:MGI Symbol;Acc:MGI:1926052]	9032	0.11821749061346054	-0.35020792	No	
row_7	Cilk1	ciliogenesis associated kinase 1 [Source:MGI Symbol;Acc:MGI:1934157]	9213	0.1036357656121254	-0.3559606	No	
row_8	Ift52	intraflagellar transport 52 [Source:MGI Symbol;Acc:MGI:2387217]	9714	0.06245405599474907	-0.37696338	No	
row_9	Ift140	intraflagellar transport 140 [Source:MGI Symbol;Acc:MGI:2146906]	10160	0.027540728449821472	-0.3962807	No	
row_10	Dync2h1	dynein cytoplasmic 2 heavy chain 1 [Source:MGI Symbol;Acc:MGI:107736]	10526	-3.5530325840227306E-4	-0.41262072	No	
row_11	Pcm1	pericentriolar material 1 [Source:MGI Symbol;Acc:MGI:1277958]	11400	-0.07348652184009552	-0.45008385	No	
row_12	Ttc21b	tetratricopeptide repeat domain 21B [Source:MGI Symbol;Acc:MGI:1920918]	11402	-0.07357180118560791	-0.44848928	No	
