NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Trim36	tripartite motif-containing 36 [Source:MGI Symbol;Acc:MGI:106264]	351	1.8969026803970337	-0.002931411	No	
row_1	Fes	feline sarcoma oncogene [Source:MGI Symbol;Acc:MGI:95514]	555	1.6511199474334717	-8.755311E-4	No	
row_2	Neurl1a	neuralized E3 ubiquitin protein ligase 1A [Source:MGI Symbol;Acc:MGI:1334263]	1547	1.0432624816894531	-0.038349345	No	
row_3	Mapre1	microtubule-associated protein, RP/EB family, member 1 [Source:MGI Symbol;Acc:MGI:891995]	3225	0.6916581392288208	-0.10903381	No	
row_4	Dnaaf2	dynein, axonemal assembly factor 2 [Source:MGI Symbol;Acc:MGI:1923566]	3360	0.6739656329154968	-0.11049286	No	
row_5	Spast	spastin [Source:MGI Symbol;Acc:MGI:1858896]	3559	0.6468533873558044	-0.11501175	No	
row_6	Cntrl	centriolin [Source:MGI Symbol;Acc:MGI:1889576]	3680	0.6303800344467163	-0.11613672	No	
row_7	Tppp2	tubulin polymerization-promoting protein family member 2 [Source:MGI Symbol;Acc:MGI:2684923]	4179	0.5668863654136658	-0.13467959	No	
row_8	Dcx	doublecortin [Source:MGI Symbol;Acc:MGI:1277171]	4570	0.5194966793060303	-0.14868958	No	
row_9	Katna1	katanin p60 (ATPase-containing) subunit A1 [Source:MGI Symbol;Acc:MGI:1344353]	6800	0.2999674081802368	-0.24683389	No	
row_10	Map1s	microtubule-associated protein 1S [Source:MGI Symbol;Acc:MGI:2443304]	7852	0.21343939006328583	-0.29262263	No	
row_11	Spag6	sperm associated antigen 6 [Source:MGI Symbol;Acc:MGI:3040687]	8194	0.18469996750354767	-0.30669725	No	
row_12	Clip1	CAP-GLY domain containing linker protein 1 [Source:MGI Symbol;Acc:MGI:1928401]	8509	0.1593344509601593	-0.31973016	No	
row_13	Tpgs1	tubulin polyglutamylase complex subunit 1 [Source:MGI Symbol;Acc:MGI:106618]	8785	0.13813194632530212	-0.33115393	No	
row_14	Lrrc61	leucine rich repeat containing 61 [Source:MGI Symbol;Acc:MGI:2652848]	9184	0.10642567276954651	-0.34832022	No	
row_15	Ttll1	tubulin tyrosine ligase-like 1 [Source:MGI Symbol;Acc:MGI:2443047]	9815	0.054738111793994904	-0.37626293	No	
row_16	Dnah17	dynein, axonemal, heavy chain 17 [Source:MGI Symbol;Acc:MGI:1917176]	9994	0.04045981168746948	-0.38398865	No	
row_17	Chp1	calcineurin-like EF hand protein 1 [Source:MGI Symbol;Acc:MGI:1927185]	10694	-0.013680764473974705	-0.41531032	No	
row_18	Tppp	tubulin polymerization promoting protein [Source:MGI Symbol;Acc:MGI:1920198]	11632	-0.09169705957174301	-0.45679995	No	
row_19	Ube2b	ubiquitin-conjugating enzyme E2B [Source:MGI Symbol;Acc:MGI:102944]	12601	-0.17071157693862915	-0.4991478	No	
row_20	Nisch	nischarin [Source:MGI Symbol;Acc:MGI:1928323]	13685	-0.2636569142341614	-0.54603463	No	
row_21	Gas8	growth arrest specific 8 [Source:MGI Symbol;Acc:MGI:1202386]	13839	-0.27957960963249207	-0.5510178	No	
row_22	Aaas	achalasia, adrenocortical insufficiency, alacrimia [Source:MGI Symbol;Acc:MGI:2443767]	14027	-0.2973954379558563	-0.5574084	No	
row_23	Dnaaf5	dynein, axonemal assembly factor 5 [Source:MGI Symbol;Acc:MGI:3616079]	14117	-0.30709394812583923	-0.55932903	No	
row_24	Cluap1	clusterin associated protein 1 [Source:MGI Symbol;Acc:MGI:1924029]	14463	-0.34178316593170166	-0.57251984	No	
row_25	Ttc12	tetratricopeptide repeat domain 12 [Source:MGI Symbol;Acc:MGI:2444588]	14626	-0.3566262423992157	-0.57738584	No	
row_26	Ccdc63	coiled-coil domain containing 63 [Source:MGI Symbol;Acc:MGI:3607777]	14895	-0.38434359431266785	-0.586828	No	
row_27	Spag17	sperm associated antigen 17 [Source:MGI Symbol;Acc:MGI:1921612]	14958	-0.3908132314682007	-0.58696836	No	
row_28	Jhy	junctional cadherin complex regulator [Source:MGI Symbol;Acc:MGI:1918239]	15012	-0.39604130387306213	-0.58666885	No	
row_29	Clasp1	CLIP associating protein 1 [Source:MGI Symbol;Acc:MGI:1923957]	15320	-0.42776036262512207	-0.5975698	No	
row_30	Dnaaf3	dynein, axonemal assembly factor 3 [Source:MGI Symbol;Acc:MGI:3588207]	15331	-0.42892196774482727	-0.5951152	No	
row_31	Numa1	nuclear mitotic apparatus protein 1 [Source:MGI Symbol;Acc:MGI:2443665]	15438	-0.4411274492740631	-0.5968923	No	
row_32	Dnah7c	dynein, axonemal, heavy chain 7C [Source:MGI Symbol;Acc:MGI:3639762]	15538	-0.4499889016151428	-0.59829485	No	
row_33	Nav1	neuron navigator 1 [Source:MGI Symbol;Acc:MGI:2183683]	15573	-0.4531487822532654	-0.5967548	No	
