NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Oasl1	2'-5' oligoadenylate synthetase-like 1 [Source:MGI Symbol;Acc:MGI:2180849]	2	4.315937042236328	0.03652198	Yes	
row_1	Rsad2	radical S-adenosyl methionine domain containing 2 [Source:MGI Symbol;Acc:MGI:1929628]	9	3.6838767528533936	0.06750275	Yes	
row_2	Isg15	ISG15 ubiquitin-like modifier [Source:MGI Symbol;Acc:MGI:1855694]	23	3.3169949054718018	0.09505718	Yes	
row_3	Oasl2	2'-5' oligoadenylate synthetase-like 2 [Source:MGI Symbol;Acc:MGI:1344390]	31	3.215667247772217	0.1220213	Yes	
row_4	Mx2	MX dynamin-like GTPase 2 [Source:MGI Symbol;Acc:MGI:97244]	56	2.9192843437194824	0.14570838	Yes	
row_5	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated) [Source:MGI Symbol;Acc:MGI:96534]	59	2.8837435245513916	0.17008118	Yes	
row_6	Trim30c	tripartite motif-containing 30C [Source:MGI Symbol;Acc:MGI:4821257]	66	2.8589673042297363	0.19406432	Yes	
row_7	Ch25h	cholesterol 25-hydroxylase [Source:MGI Symbol;Acc:MGI:1333869]	75	2.795668601989746	0.21742076	Yes	
row_8	Oas1b	2'-5' oligoadenylate synthetase 1B [Source:MGI Symbol;Acc:MGI:97430]	92	2.6617660522460938	0.23928232	Yes	
row_9	Isg20	interferon-stimulated protein [Source:MGI Symbol;Acc:MGI:1928895]	98	2.6285760402679443	0.26135594	Yes	
row_10	Ccl5	chemokine (C-C motif) ligand 5 [Source:MGI Symbol;Acc:MGI:98262]	104	2.607856512069702	0.2832538	Yes	
row_11	Sp100	nuclear antigen Sp100 [Source:MGI Symbol;Acc:MGI:109561]	113	2.581181287765503	0.30479077	Yes	
row_12	Trim30a	tripartite motif-containing 30A [Source:MGI Symbol;Acc:MGI:98178]	114	2.5716850757598877	0.32660612	Yes	
row_13	Tnf	tumor necrosis factor [Source:MGI Symbol;Acc:MGI:104798]	127	2.5261034965515137	0.3474964	Yes	
row_14	Apobec3	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 3 [Source:MGI Symbol;Acc:MGI:1933111]	128	2.5224266052246094	0.36889392	Yes	
