NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Oasl1	2'-5' oligoadenylate synthetase-like 1 [Source:MGI Symbol;Acc:MGI:2180849]	2	4.315937042236328	0.010751783	Yes	
row_1	Ikbke	inhibitor of kappaB kinase epsilon [Source:MGI Symbol;Acc:MGI:1929612]	6	3.995681047439575	0.020653589	Yes	
row_2	H2-Q4	histocompatibility 2, Q region locus 4 [Source:MGI Symbol;Acc:MGI:95933]	8	3.717456340789795	0.029947272	Yes	
row_3	Rsad2	radical S-adenosyl methionine domain containing 2 [Source:MGI Symbol;Acc:MGI:1929628]	9	3.6838767528533936	0.039202016	Yes	
row_4	Clec4n	C-type lectin domain family 4, member n [Source:MGI Symbol;Acc:MGI:1861231]	12	3.4293813705444336	0.047726568	Yes	
row_5	H2-Q6	histocompatibility 2, Q region locus 6 [Source:MGI Symbol;Acc:MGI:95935]	13	3.4210965633392334	0.056321148	Yes	
row_6	Ifi211	interferon activated gene 211 [Source:MGI Symbol;Acc:MGI:3041120]	20	3.3519978523254395	0.06446961	Yes	
row_7	Irf7	interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]	21	3.3449161052703857	0.07287281	Yes	
row_8	Dhx58	DEXH (Asp-Glu-X-His) box polypeptide 58 [Source:MGI Symbol;Acc:MGI:1931560]	29	3.2233541011810303	0.08065266	Yes	
row_9	Ddx60	DExD/H box helicase 60 [Source:MGI Symbol;Acc:MGI:2384570]	32	3.200589179992676	0.08860244	Yes	
row_10	H2-M2	histocompatibility 2, M region locus 2 [Source:MGI Symbol;Acc:MGI:95914]	38	3.1185615062713623	0.096209876	Yes	
row_11	Cd86	CD86 antigen [Source:MGI Symbol;Acc:MGI:101773]	39	3.1125850677490234	0.1040294	Yes	
row_12	Ifi209	interferon activated gene 209 [Source:MGI Symbol;Acc:MGI:2138243]	42	3.047785520553589	0.111595295	Yes	
row_13	Tlr1	toll-like receptor 1 [Source:MGI Symbol;Acc:MGI:1341295]	43	3.035881996154785	0.119222134	Yes	
row_14	Scimp	SLP adaptor and CSK interacting membrane protein [Source:MGI Symbol;Acc:MGI:3610314]	52	2.9619243144989014	0.1262998	Yes	
row_15	Clec7a	C-type lectin domain family 7, member a [Source:MGI Symbol;Acc:MGI:1861431]	58	2.911472797393799	0.13338698	Yes	
row_16	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated) [Source:MGI Symbol;Acc:MGI:96534]	59	2.8837435245513916	0.1406316	Yes	
row_17	Gm12250	predicted gene 12250 [Source:MGI Symbol;Acc:MGI:3649299]	63	2.8692069053649902	0.14770345	Yes	
row_18	H2-K1	histocompatibility 2, K1, K region [Source:MGI Symbol;Acc:MGI:95904]	64	2.86655855178833	0.1549049	Yes	
row_19	Trim30c	tripartite motif-containing 30C [Source:MGI Symbol;Acc:MGI:4821257]	66	2.8589673042297363	0.16204186	Yes	
row_20	Ifi214	interferon activated gene 214 [Source:MGI Symbol;Acc:MGI:3584522]	70	2.828890562057495	0.16901243	Yes	
row_21	Ifi204	interferon activated gene 204 [Source:MGI Symbol;Acc:MGI:96429]	72	2.805983781814575	0.17601627	Yes	
row_22	Oas1b	2'-5' oligoadenylate synthetase 1B [Source:MGI Symbol;Acc:MGI:97430]	92	2.6617660522460938	0.18184024	Yes	
row_23	Igtp	interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729]	95	2.643606185913086	0.18839075	Yes	
row_24	Nlrc3	NLR family, CARD domain containing 3 [Source:MGI Symbol;Acc:MGI:2444070]	101	2.6223740577697754	0.19475164	Yes	
row_25	Ifi205	interferon activated gene 205 [Source:MGI Symbol;Acc:MGI:101847]	110	2.5839157104492188	0.20087966	Yes	
row_26	Trim30a	tripartite motif-containing 30A [Source:MGI Symbol;Acc:MGI:98178]	114	2.5716850757598877	0.20720406	Yes	
row_27	Colec12	collectin sub-family member 12 [Source:MGI Symbol;Acc:MGI:2152907]	118	2.5474328994750977	0.21346752	Yes	
row_28	Ifi206	interferon activated gene 206 [Source:MGI Symbol;Acc:MGI:3646410]	122	2.533982038497925	0.2196972	Yes	
row_29	Tnf	tumor necrosis factor [Source:MGI Symbol;Acc:MGI:104798]	127	2.5261034965515137	0.22586168	Yes	
row_30	Cd14	CD14 antigen [Source:MGI Symbol;Acc:MGI:88318]	129	2.517256021499634	0.23214018	Yes	
row_31	Ifi203	interferon activated gene 203 [Source:MGI Symbol;Acc:MGI:96428]	130	2.515658140182495	0.2384601	Yes	
row_32	H2-D1	histocompatibility 2, D region locus 1 [Source:MGI Symbol;Acc:MGI:95896]	147	2.4097537994384766	0.2437872	Yes	
row_33	Lag3	lymphocyte-activation gene 3 [Source:MGI Symbol;Acc:MGI:106588]	149	2.4054253101348877	0.24978477	Yes	
row_34	Oas3	2'-5' oligoadenylate synthetase 3 [Source:MGI Symbol;Acc:MGI:2180850]	150	2.4026918411254883	0.25582087	Yes	
row_35	Irgm2	immunity-related GTPase family M member 2 [Source:MGI Symbol;Acc:MGI:1926262]	165	2.359452247619629	0.26111245	Yes	
row_36	Nod2	nucleotide-binding oligomerization domain containing 2 [Source:MGI Symbol;Acc:MGI:2429397]	167	2.3582799434661865	0.2669916	Yes	
row_37	H2-T23	histocompatibility 2, T region locus 23 [Source:MGI Symbol;Acc:MGI:95957]	169	2.3377151489257812	0.27281904	Yes	
row_38	Tnip3	TNFAIP3 interacting protein 3 [Source:MGI Symbol;Acc:MGI:3041165]	174	2.3210182189941406	0.27846828	Yes	
row_39	Gbp2	guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]	193	2.271752119064331	0.28335786	Yes	
row_40	Nmi	N-myc (and STAT) interactor [Source:MGI Symbol;Acc:MGI:1928368]	194	2.2671127319335938	0.28905338	Yes	
row_41	Lyn	LYN proto-oncogene, Src family tyrosine kinase [Source:MGI Symbol;Acc:MGI:96892]	200	2.2551956176757812	0.29449183	Yes	
row_42	Zbp1	Z-DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1927449]	204	2.243920087814331	0.2999928	Yes	
row_43	Cd40	CD40 antigen [Source:MGI Symbol;Acc:MGI:88336]	205	2.2421929836273193	0.3056257	Yes	
row_44	Parp9	poly (ADP-ribose) polymerase family, member 9 [Source:MGI Symbol;Acc:MGI:1933117]	213	2.218306303024292	0.31088066	Yes	
row_45	H2-T10	histocompatibility 2, T region locus 10 [Source:MGI Symbol;Acc:MGI:95942]	222	2.196104049682617	0.3160344	Yes	
row_46	Irf1	interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]	226	2.1873421669006348	0.32139325	Yes	
row_47	Nlrc5	NLR family, CARD domain containing 5 [Source:MGI Symbol;Acc:MGI:3612191]	235	2.1447503566741943	0.32641798	Yes	
row_48	Myd88	myeloid differentiation primary response gene 88 [Source:MGI Symbol;Acc:MGI:108005]	242	2.123893976211548	0.33148116	Yes	
row_49	Irgm1	immunity-related GTPase family M member 1 [Source:MGI Symbol;Acc:MGI:107567]	250	2.1035046577453613	0.33644772	Yes	
row_50	Ifi35	interferon-induced protein 35 [Source:MGI Symbol;Acc:MGI:1917360]	265	2.065082550048828	0.34099975	Yes	
row_51	Sh2d1b1	SH2 domain containing 1B1 [Source:MGI Symbol;Acc:MGI:1349420]	267	2.057333469390869	0.34612283	Yes	
row_52	Arrb2	arrestin, beta 2 [Source:MGI Symbol;Acc:MGI:99474]	270	2.050076723098755	0.35118225	Yes	
row_53	Acod1	aconitate decarboxylase 1 [Source:MGI Symbol;Acc:MGI:103206]	272	2.047245979309082	0.35628	Yes	
row_54	Cd36	CD36 molecule [Source:MGI Symbol;Acc:MGI:107899]	274	2.033891201019287	0.36134416	Yes	
row_55	Nlrp3	NLR family, pyrin domain containing 3 [Source:MGI Symbol;Acc:MGI:2653833]	283	2.025221586227417	0.36606863	Yes	
row_56	Trim5	tripartite motif-containing 5 [Source:MGI Symbol;Acc:MGI:3646853]	286	2.019533395767212	0.3710513	Yes	
row_57	Lgals9	lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]	287	2.0174989700317383	0.37611973	Yes	
row_58	Vav1	vav 1 oncogene [Source:MGI Symbol;Acc:MGI:98923]	290	2.0110762119293213	0.38108116	Yes	
row_59	Casp4	caspase 4, apoptosis-related cysteine peptidase [Source:MGI Symbol;Acc:MGI:107700]	291	2.009270191192627	0.38612893	Yes	
row_60	Trim30d	tripartite motif-containing 30D [Source:MGI Symbol;Acc:MGI:3035181]	294	2.006635904312134	0.39107922	Yes	
row_61	Unc93b1	unc-93 homolog B1, TLR signaling regulator [Source:MGI Symbol;Acc:MGI:1859307]	305	1.9928171634674072	0.3956314	Yes	
row_62	Cd300lf	CD300 molecule like family member F [Source:MGI Symbol;Acc:MGI:2442359]	313	1.974982500076294	0.40027508	Yes	
row_63	Slc15a3	solute carrier family 15, member 3 [Source:MGI Symbol;Acc:MGI:1929691]	319	1.9648847579956055	0.4049842	Yes	
row_64	H2-Q7	histocompatibility 2, Q region locus 7 [Source:MGI Symbol;Acc:MGI:95936]	322	1.953878402709961	0.40980196	Yes	
row_65	Trim30b	tripartite motif-containing 30B [Source:MGI Symbol;Acc:MGI:4821256]	326	1.9499837160110474	0.4145645	Yes	
row_66	Tlr2	toll-like receptor 2 [Source:MGI Symbol;Acc:MGI:1346060]	332	1.9407626390457153	0.41921303	Yes	
row_67	Ifi213	interferon activated gene 213 [Source:MGI Symbol;Acc:MGI:3695276]	337	1.9310611486434937	0.4238826	Yes	
row_68	Trim12a	tripartite motif-containing 12A [Source:MGI Symbol;Acc:MGI:1923931]	348	1.9040340185165405	0.42821178	Yes	
row_69	Oas1a	2'-5' oligoadenylate synthetase 1A [Source:MGI Symbol;Acc:MGI:2180860]	355	1.8884226083755493	0.4326834	Yes	
row_70	Nr1h3	nuclear receptor subfamily 1, group H, member 3 [Source:MGI Symbol;Acc:MGI:1352462]	370	1.859959363937378	0.43672013	Yes	
row_71	Zc3hav1	zinc finger CCCH type, antiviral 1 [Source:MGI Symbol;Acc:MGI:1926031]	379	1.8341647386550903	0.4409646	Yes	
row_72	Lacc1	laccase domain containing 1 [Source:MGI Symbol;Acc:MGI:2445077]	384	1.8283635377883911	0.4453762	Yes	
row_73	Cgas	cyclic GMP-AMP synthase [Source:MGI Symbol;Acc:MGI:2442261]	385	1.8281912803649902	0.44996902	Yes	
row_74	Fpr2	formyl peptide receptor 2 [Source:MGI Symbol;Acc:MGI:1278319]	389	1.8226659297943115	0.45441172	Yes	
row_75	Casp1	caspase 1 [Source:MGI Symbol;Acc:MGI:96544]	393	1.8158252239227295	0.45883724	Yes	
row_76	Card9	caspase recruitment domain family, member 9 [Source:MGI Symbol;Acc:MGI:2685628]	399	1.8089077472686768	0.46315452	Yes	
