NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ikbke	inhibitor of kappaB kinase epsilon [Source:MGI Symbol;Acc:MGI:1929612]	6	3.995681047439575	0.03889891	Yes	
row_1	Ifit3	interferon-induced protein with tetratricopeptide repeats 3 [Source:MGI Symbol;Acc:MGI:1101055]	19	3.3696792125701904	0.071392514	Yes	
row_2	Ifi211	interferon activated gene 211 [Source:MGI Symbol;Acc:MGI:3041120]	20	3.3519978523254395	0.1042506	Yes	
row_3	Ifi209	interferon activated gene 209 [Source:MGI Symbol;Acc:MGI:2138243]	42	3.047785520553589	0.13318548	Yes	
row_4	Iigp1	interferon inducible GTPase 1 [Source:MGI Symbol;Acc:MGI:1926259]	46	3.016521453857422	0.16262059	Yes	
row_5	Ifi214	interferon activated gene 214 [Source:MGI Symbol;Acc:MGI:3584522]	70	2.828890562057495	0.18932012	Yes	
row_6	Ifi204	interferon activated gene 204 [Source:MGI Symbol;Acc:MGI:96429]	72	2.805983781814575	0.21678106	Yes	
row_7	Oas1b	2'-5' oligoadenylate synthetase 1B [Source:MGI Symbol;Acc:MGI:97430]	92	2.6617660522460938	0.2420216	Yes	
row_8	Igtp	interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729]	95	2.643606185913086	0.26784602	Yes	
row_9	Traf3ip3	TRAF3 interacting protein 3 [Source:MGI Symbol;Acc:MGI:2441706]	108	2.594160556793213	0.29273757	Yes	
row_10	Ifi205	interferon activated gene 205 [Source:MGI Symbol;Acc:MGI:101847]	110	2.5839157104492188	0.31802168	Yes	
row_11	Xaf1	XIAP associated factor 1 [Source:MGI Symbol;Acc:MGI:3772572]	117	2.5493459701538086	0.34274286	Yes	
row_12	Ifi206	interferon activated gene 206 [Source:MGI Symbol;Acc:MGI:3646410]	122	2.533982038497925	0.36740303	Yes	
row_13	Ifi203	interferon activated gene 203 [Source:MGI Symbol;Acc:MGI:96428]	130	2.515658140182495	0.39174914	Yes	
row_14	Irgm2	immunity-related GTPase family M member 2 [Source:MGI Symbol;Acc:MGI:1926262]	165	2.359452247619629	0.41335398	Yes	
row_15	Tgtp2	T cell specific GTPase 2 [Source:MGI Symbol;Acc:MGI:3710083]	175	2.319833278656006	0.4356909	Yes	
row_16	Gm4951	predicted gene 4951 [Source:MGI Symbol;Acc:MGI:3644953]	180	2.3057918548583984	0.45811424	Yes	
row_17	Gbp2	guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]	193	2.271752119064331	0.47984537	Yes	
row_18	Bst2	bone marrow stromal cell antigen 2 [Source:MGI Symbol;Acc:MGI:1916800]	212	2.2215960025787354	0.5008159	Yes	
row_19	Ifi47	interferon gamma inducible protein 47 [Source:MGI Symbol;Acc:MGI:99448]	219	2.2064599990844727	0.52217597	Yes	
row_20	Irf1	interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]	226	2.1873421669006348	0.54334855	Yes	
row_21	Irgm1	immunity-related GTPase family M member 1 [Source:MGI Symbol;Acc:MGI:107567]	250	2.1035046577453613	0.56293744	Yes	
row_22	Acod1	aconitate decarboxylase 1 [Source:MGI Symbol;Acc:MGI:103206]	272	2.047245979309082	0.5820645	Yes	
row_23	Stat1	signal transducer and activator of transcription 1 [Source:MGI Symbol;Acc:MGI:103063]	324	1.9518613815307617	0.59891206	Yes	
row_24	Ifi213	interferon activated gene 213 [Source:MGI Symbol;Acc:MGI:3695276]	337	1.9310611486434937	0.61730355	Yes	
row_25	Ifitm3	interferon induced transmembrane protein 3 [Source:MGI Symbol;Acc:MGI:1913391]	342	1.9112056493759155	0.63585895	Yes	
row_26	Oas1a	2'-5' oligoadenylate synthetase 1A [Source:MGI Symbol;Acc:MGI:2180860]	355	1.8884226083755493	0.65383244	Yes	
row_27	Ifit1	interferon-induced protein with tetratricopeptide repeats 1 [Source:MGI Symbol;Acc:MGI:99450]	390	1.8194164037704468	0.6701436	Yes	
row_28	Ifi208	interferon activated gene 208 [Source:MGI Symbol;Acc:MGI:2442822]	449	1.751133918762207	0.6847098	Yes	
row_29	Gm5431	predicted gene 5431 [Source:MGI Symbol;Acc:MGI:3645205]	509	1.6958848237991333	0.6986895	Yes	
row_30	Gbp6	guanylate binding protein 6 [Source:MGI Symbol;Acc:MGI:2140937]	534	1.666930079460144	0.7139541	Yes	
row_31	Ifnb1	interferon beta 1, fibroblast [Source:MGI Symbol;Acc:MGI:107657]	565	1.6393029689788818	0.7286789	Yes	
row_32	Sting1	stimulator of interferon response cGAMP interactor 1 [Source:MGI Symbol;Acc:MGI:1919762]	597	1.6129461526870728	0.7431005	Yes	
row_33	Oas1c	2'-5' oligoadenylate synthetase 1C [Source:MGI Symbol;Acc:MGI:2149633]	641	1.5743937492370605	0.75660646	Yes	
row_34	Aim2	absent in melanoma 2 [Source:MGI Symbol;Acc:MGI:2686159]	648	1.564018964767456	0.7716689	Yes	
row_35	Oas1g	2'-5' oligoadenylate synthetase 1G [Source:MGI Symbol;Acc:MGI:97429]	714	1.4941664934158325	0.78340244	Yes	
row_36	Gm4841	predicted gene 4841 [Source:MGI Symbol;Acc:MGI:3643814]	753	1.4678019285202026	0.79608756	Yes	
row_37	Shfl	shiftless antiviral inhibitor of ribosomal frameshifting [Source:MGI Symbol;Acc:MGI:2441788]	924	1.3385322093963623	0.8015897	Yes	
row_38	9930111J21Rik1	RIKEN cDNA 9930111J21 gene 1 [Source:MGI Symbol;Acc:MGI:3041173]	930	1.3342665433883667	0.81444484	Yes	
row_39	Gm11772	predicted gene 11772 [Source:MGI Symbol;Acc:MGI:3649468]	1404	1.0999975204467773	0.8040292	Yes	
row_40	Ifnar2	interferon (alpha and beta) receptor 2 [Source:MGI Symbol;Acc:MGI:1098243]	1512	1.058693289756775	0.8096117	Yes	
row_41	Ifnar1	interferon (alpha and beta) receptor 1 [Source:MGI Symbol;Acc:MGI:107658]	1542	1.046834111213684	0.8185736	Yes	
row_42	Gbp3	guanylate binding protein 3 [Source:MGI Symbol;Acc:MGI:1926263]	1838	0.9496152997016907	0.81466126	No	
row_43	Mndal	myeloid nuclear differentiation antigen like [Source:MGI Symbol;Acc:MGI:3780953]	2211	0.8690314888954163	0.80650806	No	
row_44	Pnpt1	polyribonucleotide nucleotidyltransferase 1 [Source:MGI Symbol;Acc:MGI:1918951]	2544	0.802263081073761	0.7994931	No	
row_45	Ube2g2	ubiquitin-conjugating enzyme E2G 2 [Source:MGI Symbol;Acc:MGI:1343188]	3361	0.6739426255226135	0.7695288	No	
