NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Il1b	interleukin 1 beta [Source:MGI Symbol;Acc:MGI:96543]	0	4.553514003753662	0.012408991	Yes	
row_1	Oasl1	2'-5' oligoadenylate synthetase-like 1 [Source:MGI Symbol;Acc:MGI:2180849]	2	4.315937042236328	0.024125166	Yes	
row_2	Ikbke	inhibitor of kappaB kinase epsilon [Source:MGI Symbol;Acc:MGI:1929612]	6	3.995681047439575	0.03487783	Yes	
row_3	Rsad2	radical S-adenosyl methionine domain containing 2 [Source:MGI Symbol;Acc:MGI:1929628]	9	3.6838767528533936	0.04482616	Yes	
row_4	Ifit3	interferon-induced protein with tetratricopeptide repeats 3 [Source:MGI Symbol;Acc:MGI:1101055]	19	3.3696792125701904	0.05360057	Yes	
row_5	Irf7	interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]	21	3.3449161052703857	0.06267057	Yes	
row_6	Isg15	ISG15 ubiquitin-like modifier [Source:MGI Symbol;Acc:MGI:1855694]	23	3.3169949054718018	0.07166448	Yes	
row_7	Dhx58	DEXH (Asp-Glu-X-His) box polypeptide 58 [Source:MGI Symbol;Acc:MGI:1931560]	29	3.2233541011810303	0.080221675	Yes	
row_8	Cxcl9	chemokine (C-X-C motif) ligand 9 [Source:MGI Symbol;Acc:MGI:1352449]	30	3.21998929977417	0.08899661	Yes	
row_9	Oasl2	2'-5' oligoadenylate synthetase-like 2 [Source:MGI Symbol;Acc:MGI:1344390]	31	3.215667247772217	0.097759776	Yes	
row_10	Ddx60	DExD/H box helicase 60 [Source:MGI Symbol;Acc:MGI:2384570]	32	3.200589179992676	0.10648185	Yes	
row_11	Cd86	CD86 antigen [Source:MGI Symbol;Acc:MGI:101773]	39	3.1125850677490234	0.114691794	Yes	
row_12	Mx2	MX dynamin-like GTPase 2 [Source:MGI Symbol;Acc:MGI:97244]	56	2.9192843437194824	0.12192112	Yes	
row_13	Gm12250	predicted gene 12250 [Source:MGI Symbol;Acc:MGI:3649299]	63	2.8692069053649902	0.12946782	Yes	
row_14	Ifit3b	interferon-induced protein with tetratricopeptide repeats 3B [Source:MGI Symbol;Acc:MGI:3698419]	65	2.865330457687378	0.13723089	Yes	
row_15	Trim30c	tripartite motif-containing 30C [Source:MGI Symbol;Acc:MGI:4821257]	66	2.8589673042297363	0.14502199	Yes	
row_16	Ifit2	interferon-induced protein with tetratricopeptide repeats 2 [Source:MGI Symbol;Acc:MGI:99449]	76	2.790956974029541	0.1522193	Yes	
row_17	Rtp4	receptor transporter protein 4 [Source:MGI Symbol;Acc:MGI:1915025]	78	2.7645998001098633	0.15970784	Yes	
row_18	Fgl2	fibrinogen-like protein 2 [Source:MGI Symbol;Acc:MGI:103266]	79	2.758100986480713	0.16722408	Yes	
row_19	Samhd1	SAM domain and HD domain, 1 [Source:MGI Symbol;Acc:MGI:1927468]	86	2.7039804458618164	0.1743205	Yes	
row_20	Oas1b	2'-5' oligoadenylate synthetase 1B [Source:MGI Symbol;Acc:MGI:97430]	92	2.6617660522460938	0.1813473	Yes	
row_21	Igtp	interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729]	95	2.643606185913086	0.18846074	Yes	
row_22	Isg20	interferon-stimulated protein [Source:MGI Symbol;Acc:MGI:1928895]	98	2.6285760402679443	0.19553322	Yes	
row_23	Nlrc3	NLR family, CARD domain containing 3 [Source:MGI Symbol;Acc:MGI:2444070]	101	2.6223740577697754	0.2025888	Yes	
row_24	Ccl5	chemokine (C-C motif) ligand 5 [Source:MGI Symbol;Acc:MGI:98262]	104	2.607856512069702	0.20960483	Yes	
row_25	Traf3ip3	TRAF3 interacting protein 3 [Source:MGI Symbol;Acc:MGI:2441706]	108	2.594160556793213	0.21653815	Yes	
row_26	Trim30a	tripartite motif-containing 30A [Source:MGI Symbol;Acc:MGI:98178]	114	2.5716850757598877	0.22331944	Yes	
row_27	Stat2	signal transducer and activator of transcription 2 [Source:MGI Symbol;Acc:MGI:103039]	119	2.5368034839630127	0.23005106	Yes	
row_28	Tnf	tumor necrosis factor [Source:MGI Symbol;Acc:MGI:104798]	127	2.5261034965515137	0.23661737	Yes	
row_29	Apobec3	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 3 [Source:MGI Symbol;Acc:MGI:1933111]	128	2.5224266052246094	0.24349135	Yes	
row_30	Cxcl10	chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol;Acc:MGI:1352450]	144	2.4240663051605225	0.24941652	Yes	
row_31	Oas3	2'-5' oligoadenylate synthetase 3 [Source:MGI Symbol;Acc:MGI:2180850]	150	2.4026918411254883	0.25573727	Yes	
row_32	Bcl3	B cell leukemia/lymphoma 3 [Source:MGI Symbol;Acc:MGI:88140]	154	2.388843059539795	0.26211107	Yes	
row_33	Irgm2	immunity-related GTPase family M member 2 [Source:MGI Symbol;Acc:MGI:1926262]	165	2.359452247619629	0.2680871	Yes	
row_34	Oas2	2'-5' oligoadenylate synthetase 2 [Source:MGI Symbol;Acc:MGI:2180852]	182	2.300518035888672	0.27363017	Yes	
row_35	Nmi	N-myc (and STAT) interactor [Source:MGI Symbol;Acc:MGI:1928368]	194	2.2671127319335938	0.27930915	Yes	
row_36	Rnasel	ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent) [Source:MGI Symbol;Acc:MGI:1098272]	199	2.2568812370300293	0.28527796	Yes	
row_37	Zbp1	Z-DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1927449]	204	2.243920087814331	0.29121143	Yes	
row_38	Cd40	CD40 antigen [Source:MGI Symbol;Acc:MGI:88336]	205	2.2421929836273193	0.29732174	Yes	
row_39	Bst2	bone marrow stromal cell antigen 2 [Source:MGI Symbol;Acc:MGI:1916800]	212	2.2215960025787354	0.3031036	Yes	
row_40	Parp9	poly (ADP-ribose) polymerase family, member 9 [Source:MGI Symbol;Acc:MGI:1933117]	213	2.218306303024292	0.30914882	Yes	
row_41	Irf1	interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]	226	2.1873421669006348	0.31456503	Yes	
row_42	Mx1	MX dynamin-like GTPase 1 [Source:MGI Symbol;Acc:MGI:97243]	228	2.1780648231506348	0.3204552	Yes	
row_43	Mov10	Mov10 RISC complex RNA helicase [Source:MGI Symbol;Acc:MGI:97054]	236	2.1424639225006104	0.325976	Yes	
row_44	Myd88	myeloid differentiation primary response gene 88 [Source:MGI Symbol;Acc:MGI:108005]	242	2.123893976211548	0.33153704	Yes	
row_45	Irgm1	immunity-related GTPase family M member 1 [Source:MGI Symbol;Acc:MGI:107567]	250	2.1035046577453613	0.3369517	Yes	
row_46	Pmaip1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:MGI Symbol;Acc:MGI:1930146]	256	2.0849227905273438	0.34240648	Yes	
row_47	Ifit1bl2	interferon induced protein with tetratricopeptide repeats 1B like 2 [Source:MGI Symbol;Acc:MGI:2148249]	259	2.0840625762939453	0.3479951	Yes	
row_48	Acod1	aconitate decarboxylase 1 [Source:MGI Symbol;Acc:MGI:103206]	272	2.047245979309082	0.35302952	Yes	
row_49	Nlrp3	NLR family, pyrin domain containing 3 [Source:MGI Symbol;Acc:MGI:2653833]	283	2.025221586227417	0.35809472	Yes	
row_50	Trim5	tripartite motif-containing 5 [Source:MGI Symbol;Acc:MGI:3646853]	286	2.019533395767212	0.36350745	Yes	
row_51	Lgals9	lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]	287	2.0174989700317383	0.36900544	Yes	
row_52	Adar	adenosine deaminase, RNA-specific [Source:MGI Symbol;Acc:MGI:1889575]	288	2.0170538425445557	0.3745022	Yes	
row_53	Trim30d	tripartite motif-containing 30D [Source:MGI Symbol;Acc:MGI:3035181]	294	2.006635904312134	0.37974367	Yes	
row_54	Mlkl	mixed lineage kinase domain-like [Source:MGI Symbol;Acc:MGI:1921818]	300	1.9993029832839966	0.38496512	Yes	
row_55	Unc93b1	unc-93 homolog B1, TLR signaling regulator [Source:MGI Symbol;Acc:MGI:1859307]	305	1.9928171634674072	0.39021432	Yes	
row_56	Pou2f2	POU domain, class 2, transcription factor 2 [Source:MGI Symbol;Acc:MGI:101897]	306	1.9916353225708008	0.3956418	Yes	
row_57	Trim34a	tripartite motif-containing 34A [Source:MGI Symbol;Acc:MGI:2137359]	307	1.9873703718185425	0.4010577	Yes	
