NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Disc1	disrupted in schizophrenia 1 [Source:MGI Symbol;Acc:MGI:2447658]	257	2.0849063396453857	0.0015172124	No	
row_1	Psen2	presenilin 2 [Source:MGI Symbol;Acc:MGI:109284]	1046	1.2555508613586426	-0.02609179	No	
row_2	Rab8a	RAB8A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:96960]	1137	1.209280014038086	-0.02255135	No	
row_3	Bbs4	Bardet-Biedl syndrome 4 (human) [Source:MGI Symbol;Acc:MGI:2143311]	1571	1.03611159324646	-0.03554817	No	
row_4	Tbc1d31	TBC1 domain family, member 31 [Source:MGI Symbol;Acc:MGI:2684931]	1725	0.983493983745575	-0.03626338	No	
row_5	Rabep2	rabaptin, RAB GTPase binding effector protein 2 [Source:MGI Symbol;Acc:MGI:1917564]	2020	0.9099788069725037	-0.043791335	No	
row_6	Tbc1d30	TBC1 domain family, member 30 [Source:MGI Symbol;Acc:MGI:1921944]	2067	0.9016821384429932	-0.04020073	No	
row_7	Csnk1d	casein kinase 1, delta [Source:MGI Symbol;Acc:MGI:1355272]	2309	0.8473932147026062	-0.045734443	No	
row_8	Cdk10	cyclin-dependent kinase 10 [Source:MGI Symbol;Acc:MGI:2448549]	2463	0.8173756003379822	-0.047492884	No	
row_9	Cdc14a	CDC14 cell division cycle 14A [Source:MGI Symbol;Acc:MGI:2442676]	2492	0.8129584789276123	-0.043648686	No	
row_10	Poc1a	POC1 centriolar protein A [Source:MGI Symbol;Acc:MGI:1917485]	3070	0.7137305736541748	-0.06515626	No	
row_11	Mapre1	microtubule-associated protein, RP/EB family, member 1 [Source:MGI Symbol;Acc:MGI:891995]	3225	0.6916581392288208	-0.067749254	No	
row_12	Cep78	centrosomal protein 78 [Source:MGI Symbol;Acc:MGI:1924386]	3347	0.6753963828086853	-0.06895795	No	
row_13	Dnaaf2	dynein, axonemal assembly factor 2 [Source:MGI Symbol;Acc:MGI:1923566]	3360	0.6739656329154968	-0.065265946	No	
row_14	Rp2	retinitis pigmentosa 2 homolog [Source:MGI Symbol;Acc:MGI:1277953]	3538	0.650141716003418	-0.06915565	No	
row_15	Ccdc88a	coiled coil domain containing 88A [Source:MGI Symbol;Acc:MGI:1925177]	3707	0.6267944574356079	-0.07278659	No	
row_16	Cep250	centrosomal protein 250 [Source:MGI Symbol;Acc:MGI:108084]	4068	0.5807280540466309	-0.08535509	No	
row_17	Nedd1	neural precursor cell expressed, developmentally down-regulated gene 1 [Source:MGI Symbol;Acc:MGI:97293]	4087	0.5772421956062317	-0.082540765	No	
row_18	Tapt1	transmembrane anterior posterior transformation 1 [Source:MGI Symbol;Acc:MGI:2683537]	4346	0.5463373064994812	-0.09073085	No	
row_19	Entr1	endosome associated trafficking regulator 1 [Source:MGI Symbol;Acc:MGI:1915362]	5265	0.4453311860561371	-0.12928365	No	
row_20	Ccdc61	coiled-coil domain containing 61 [Source:MGI Symbol;Acc:MGI:2685005]	5375	0.4364677965641022	-0.1314523	No	
row_21	Hdac6	histone deacetylase 6 [Source:MGI Symbol;Acc:MGI:1333752]	6055	0.3688200116157532	-0.15972032	No	
row_22	Psmb4	proteasome (prosome, macropain) subunit, beta type 4 [Source:MGI Symbol;Acc:MGI:1098257]	6163	0.3579504191875458	-0.16229197	No	
row_23	C2cd3	C2 calcium-dependent domain containing 3 [Source:MGI Symbol;Acc:MGI:2142166]	6486	0.32724136114120483	-0.17474075	No	
row_24	Rttn	rotatin [Source:MGI Symbol;Acc:MGI:2179288]	7224	0.26534467935562134	-0.20627108	No	
