NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Gnat3	G protein subunit alpha transducin 3 [Source:MGI Symbol;Acc:MGI:3588268]	557	1.6505731344223022	-0.016299205	No	
row_1	Ctsh	cathepsin H [Source:MGI Symbol;Acc:MGI:107285]	949	1.3199279308319092	-0.02688304	No	
row_2	Lca5l	Leber congenital amaurosis 5-like [Source:MGI Symbol;Acc:MGI:3041157]	2207	0.8698359131813049	-0.078852415	No	
row_3	Atg14	autophagy related 14 [Source:MGI Symbol;Acc:MGI:1261775]	2851	0.7500959634780884	-0.10381349	No	
row_4	Atg16l1	autophagy related 16-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1924290]	3169	0.7002145648002625	-0.114361815	No	
row_5	Inpp5e	inositol polyphosphate-5-phosphatase E [Source:MGI Symbol;Acc:MGI:1927753]	3182	0.698184072971344	-0.1111884	No	
row_6	Septin7	septin 7 [Source:MGI Symbol;Acc:MGI:1335094]	3255	0.6868954300880432	-0.1107765	No	
row_7	Dync1i2	dynein cytoplasmic 1 intermediate chain 2 [Source:MGI Symbol;Acc:MGI:107750]	3557	0.6473163366317749	-0.120885804	No	
row_8	Cntrl	centriolin [Source:MGI Symbol;Acc:MGI:1889576]	3680	0.6303800344467163	-0.12302576	No	
row_9	Prkar1a	protein kinase, cAMP dependent regulatory, type I, alpha [Source:MGI Symbol;Acc:MGI:104878]	3784	0.6178788542747498	-0.124376744	No	
row_10	Atg5	autophagy related 5 [Source:MGI Symbol;Acc:MGI:1277186]	4038	0.5840338468551636	-0.13266146	No	
row_11	Ambra1	autophagy/beclin 1 regulator 1 [Source:MGI Symbol;Acc:MGI:2443564]	4855	0.4872784912586212	-0.16680978	No	
row_12	Atg7	autophagy related 7 [Source:MGI Symbol;Acc:MGI:1921494]	5449	0.42772170901298523	-0.19123437	No	
row_13	Map1lc3b	microtubule-associated protein 1 light chain 3 beta [Source:MGI Symbol;Acc:MGI:1914693]	6072	0.3672879934310913	-0.21728612	No	
row_14	Septin2	septin 2 [Source:MGI Symbol;Acc:MGI:97298]	6109	0.36360347270965576	-0.21697296	No	
row_15	Arl13b	ADP-ribosylation factor-like 13B [Source:MGI Symbol;Acc:MGI:1915396]	6128	0.3620084822177887	-0.21585785	No	
row_16	Prkaca	protein kinase, cAMP dependent, catalytic, alpha [Source:MGI Symbol;Acc:MGI:97592]	6353	0.33947089314460754	-0.22413771	No	
row_17	Ttc30a2	tetratricopeptide repeat domain 30A2 [Source:MGI Symbol;Acc:MGI:3700200]	6717	0.30609428882598877	-0.23885354	No	
row_18	Spef1l	sperm flagellar 1 like [Source:MGI Symbol;Acc:MGI:2685939]	6763	0.30257555842399597	-0.23927023	No	
row_19	Gli1	GLI-Kruppel family member GLI1 [Source:MGI Symbol;Acc:MGI:95727]	6954	0.2870476245880127	-0.24629809	No	
row_20	Dynlt2b	dynein light chain Tctex-type 2B [Source:MGI Symbol;Acc:MGI:1913311]	7276	0.2615422308444977	-0.25935987	No	
row_21	Ssna1	SS nuclear autoantigen 1 [Source:MGI Symbol;Acc:MGI:1915725]	7306	0.25896498560905457	-0.25928813	No	
row_22	Map4	microtubule-associated protein 4 [Source:MGI Symbol;Acc:MGI:97178]	7455	0.24765342473983765	-0.2646345	No	
row_23	Pik3r4	phosphoinositide-3-kinase regulatory subunit 4 [Source:MGI Symbol;Acc:MGI:1922919]	7759	0.22161322832107544	-0.2770982	No	
row_24	Tekt3	tektin 3 [Source:MGI Symbol;Acc:MGI:1918312]	8113	0.191517636179924	-0.29197326	No	
row_25	Spag6	sperm associated antigen 6 [Source:MGI Symbol;Acc:MGI:3040687]	8194	0.18469996750354767	-0.2945928	No	
row_26	Wdr11	WD repeat domain 11 [Source:MGI Symbol;Acc:MGI:1920230]	8632	0.15033060312271118	-0.313469	No	
row_27	Prkar2a	protein kinase, cAMP dependent regulatory, type II alpha [Source:MGI Symbol;Acc:MGI:108025]	9014	0.11938577145338058	-0.3299884	No	
row_28	Ttc30a1	tetratricopeptide repeat domain 30A1 [Source:MGI Symbol;Acc:MGI:1926052]	9032	0.11821749061346054	-0.330125	No	
row_29	Dnah17	dynein, axonemal, heavy chain 17 [Source:MGI Symbol;Acc:MGI:1917176]	9994	0.04045981168746948	-0.3731786	No	
row_30	Ift140	intraflagellar transport 140 [Source:MGI Symbol;Acc:MGI:2146906]	10160	0.027540728449821472	-0.3804612	No	
row_31	Dync2h1	dynein cytoplasmic 2 heavy chain 1 [Source:MGI Symbol;Acc:MGI:107736]	10526	-3.5530325840227306E-4	-0.39689332	No	
row_32	Cfap90	cilia and flagella associated protein 90 [Source:MGI Symbol;Acc:MGI:1916565]	11097	-0.046316392719745636	-0.4223111	No	
row_33	Cfap20	cilia and flagella associated protein 20 [Source:MGI Symbol;Acc:MGI:107428]	11159	-0.05109217390418053	-0.42478582	No	
row_34	Dnhd1	dynein heavy chain domain 1 [Source:MGI Symbol;Acc:MGI:1924755]	11410	-0.07409423589706421	-0.4356479	No	
row_35	Gabarap	gamma-aminobutyric acid receptor associated protein [Source:MGI Symbol;Acc:MGI:1861742]	11433	-0.07564743608236313	-0.43623608	No	
row_36	Sptbn5	spectrin beta, non-erythrocytic 5 [Source:MGI Symbol;Acc:MGI:2685200]	11902	-0.11383100599050522	-0.45670217	No	
row_37	Mapt	microtubule-associated protein tau [Source:MGI Symbol;Acc:MGI:97180]	12058	-0.12760986387729645	-0.46300226	No	
row_38	Nek4	NIMA (never in mitosis gene a)-related expressed kinase 4 [Source:MGI Symbol;Acc:MGI:1344404]	12604	-0.17098334431648254	-0.48663127	No	
row_39	Ift172	intraflagellar transport 172 [Source:MGI Symbol;Acc:MGI:2682064]	12825	-0.19063274562358856	-0.4955227	No	
row_40	Kifap3	kinesin-associated protein 3 [Source:MGI Symbol;Acc:MGI:107566]	12940	-0.2010132372379303	-0.49958634	No	
row_41	Gli2	GLI-Kruppel family member GLI2 [Source:MGI Symbol;Acc:MGI:95728]	13299	-0.23190182447433472	-0.5144717	No	
row_42	Lca5	Leber congenital amaurosis 5 (human) [Source:MGI Symbol;Acc:MGI:1923032]	13342	-0.23555007576942444	-0.5151098	No	
row_43	Togaram1	TOG array regulator of axonemal microtubules 1 [Source:MGI Symbol;Acc:MGI:2684313]	13493	-0.2475004345178604	-0.52054703	No	
row_44	Gas8	growth arrest specific 8 [Source:MGI Symbol;Acc:MGI:1202386]	13839	-0.27957960963249207	-0.53459346	No	
row_45	Kif17	kinesin family member 17 [Source:MGI Symbol;Acc:MGI:1098229]	14833	-0.37796398997306824	-0.5772926	No	
row_46	Ccdc63	coiled-coil domain containing 63 [Source:MGI Symbol;Acc:MGI:3607777]	14895	-0.38434359431266785	-0.57799476	No	
row_47	Bbs7	Bardet-Biedl syndrome 7 (human) [Source:MGI Symbol;Acc:MGI:1918742]	14905	-0.3855926990509033	-0.57634896	No	
row_48	Spag17	sperm associated antigen 17 [Source:MGI Symbol;Acc:MGI:1921612]	14958	-0.3908132314682007	-0.57661146	No	
row_49	Dnah3	dynein, axonemal, heavy chain 3 [Source:MGI Symbol;Acc:MGI:2683040]	14967	-0.39194852113723755	-0.57488686	No	
row_50	Tubb4a	tubulin, beta 4A class IVA [Source:MGI Symbol;Acc:MGI:107848]	15021	-0.39650458097457886	-0.57516414	No	
row_51	Ccsap	centriole, cilia and spindle associated protein [Source:MGI Symbol;Acc:MGI:1920670]	15249	-0.4212339520454407	-0.5831441	No	
row_52	Dnah7c	dynein, axonemal, heavy chain 7C [Source:MGI Symbol;Acc:MGI:3639762]	15538	-0.4499889016151428	-0.59371775	No	
row_53	Tmem67	transmembrane protein 67 [Source:MGI Symbol;Acc:MGI:1923928]	15563	-0.45255959033966064	-0.59239113	No	
row_54	Arfgef2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited) [Source:MGI Symbol;Acc:MGI:2139354]	15802	-0.4804636836051941	-0.60055137	No	
row_55	Nme7	NME/NM23 family member 7 [Source:MGI Symbol;Acc:MGI:2449121]	16417	-0.5549547076225281	-0.62524474	No	
row_56	Gli3	GLI-Kruppel family member GLI3 [Source:MGI Symbol;Acc:MGI:95729]	16442	-0.5575981736183167	-0.6233594	No	
row_57	Dnaaf1	dynein, axonemal assembly factor 1 [Source:MGI Symbol;Acc:MGI:1915520]	16713	-0.5957582592964172	-0.63234717	No	
row_58	Traf3ip1	TRAF3 interacting protein 1 [Source:MGI Symbol;Acc:MGI:1921269]	16764	-0.6027844548225403	-0.6313921	No	
row_59	Akap14	A kinase (PRKA) anchor protein 14 [Source:MGI Symbol;Acc:MGI:3618288]	17032	-0.6384295225143433	-0.64001787	No	
row_60	Dnah12	dynein, axonemal, heavy chain 12 [Source:MGI Symbol;Acc:MGI:107720]	17411	-0.6864230632781982	-0.65338606	No	
row_61	Ccdc40	coiled-coil domain containing 40 [Source:MGI Symbol;Acc:MGI:2443893]	17415	-0.6876903772354126	-0.64986324	No	
row_62	Kif3a	kinesin family member 3A [Source:MGI Symbol;Acc:MGI:107689]	17553	-0.7103618383407593	-0.6522531	No	
row_63	Ccdc173	coiled-coil domain containing 173 [Source:MGI Symbol;Acc:MGI:1923100]	17691	-0.7331423163414001	-0.6545218	No	
row_64	Fam166b	family with sequence similarity 166, member B [Source:MGI Symbol;Acc:MGI:2445194]	17875	-0.7637345790863037	-0.658699	No	
row_65	Dnah8	dynein, axonemal, heavy chain 8 [Source:MGI Symbol;Acc:MGI:107714]	17879	-0.7644346952438354	-0.65476793	No	
row_66	Lrrc43	leucine rich repeat containing 43 [Source:MGI Symbol;Acc:MGI:2685907]	18087	-0.7994781732559204	-0.6598355	No	
row_67	Fam166c	family with sequence similarity 166, member C [Source:MGI Symbol;Acc:MGI:1922684]	18175	-0.8149145245552063	-0.65941805	No	
row_68	Dnah2	dynein, axonemal, heavy chain 2 [Source:MGI Symbol;Acc:MGI:107731]	18292	-0.835319995880127	-0.6601978	Yes	
row_69	Bbs5	Bardet-Biedl syndrome 5 (human) [Source:MGI Symbol;Acc:MGI:1919819]	18324	-0.8400006294250488	-0.6571255	Yes	
row_70	Arl6	ADP-ribosylation factor-like 6 [Source:MGI Symbol;Acc:MGI:1927136]	18351	-0.8458295464515686	-0.6537971	Yes	
row_71	Camsap3	calmodulin regulated spectrin-associated protein family, member 3 [Source:MGI Symbol;Acc:MGI:1916947]	18533	-0.8813672065734863	-0.65725845	Yes	
row_72	Ift88	intraflagellar transport 88 [Source:MGI Symbol;Acc:MGI:98715]	18583	-0.8904038071632385	-0.65472853	Yes	
row_73	Ttll8	tubulin tyrosine ligase-like family, member 8 [Source:MGI Symbol;Acc:MGI:1922902]	18621	-0.8957818150520325	-0.6516297	Yes	
row_74	Dnah10	dynein, axonemal, heavy chain 10 [Source:MGI Symbol;Acc:MGI:1860299]	18631	-0.8981833457946777	-0.6472573	Yes	
row_75	Odad2	outer dynein arm docking complex subunit 2 [Source:MGI Symbol;Acc:MGI:1922184]	18663	-0.9040345549583435	-0.6438444	Yes	
row_76	Dnai2	dynein axonemal intermediate chain 2 [Source:MGI Symbol;Acc:MGI:2685574]	18709	-0.9144254922866821	-0.64100665	Yes	
row_77	Rpgrip1	retinitis pigmentosa GTPase regulator interacting protein 1 [Source:MGI Symbol;Acc:MGI:1932134]	18756	-0.9218246340751648	-0.6381745	Yes	
row_78	Dnah11	dynein, axonemal, heavy chain 11 [Source:MGI Symbol;Acc:MGI:1100864]	18807	-0.9303427338600159	-0.6354771	Yes	
row_79	Tuba1a	tubulin, alpha 1A [Source:MGI Symbol;Acc:MGI:98869]	18998	-0.9709963202476501	-0.63886696	Yes	
row_80	Arl3	ADP-ribosylation factor-like 3 [Source:MGI Symbol;Acc:MGI:1929699]	19020	-0.975049614906311	-0.6346261	Yes	
row_81	Tekt2	tektin 2 [Source:MGI Symbol;Acc:MGI:1346335]	19122	-0.9990944266319275	-0.6338593	Yes	
