NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Rims3	regulating synaptic membrane exocytosis 3 [Source:MGI Symbol;Acc:MGI:2443331]	500	1.700007677078247	-0.015848303	No	
row_1	Gnat3	G protein subunit alpha transducin 3 [Source:MGI Symbol;Acc:MGI:3588268]	557	1.6505731344223022	-0.011819843	No	
row_2	Ctsh	cathepsin H [Source:MGI Symbol;Acc:MGI:107285]	949	1.3199279308319092	-0.024250885	No	
row_3	Akr1b3	aldo-keto reductase family 1, member B3 (aldose reductase) [Source:MGI Symbol;Acc:MGI:1353494]	1784	0.9630637168884277	-0.05812832	No	
row_4	Map2k1	mitogen-activated protein kinase kinase 1 [Source:MGI Symbol;Acc:MGI:1346866]	2004	0.9132105112075806	-0.06439974	No	
row_5	Kif3c	kinesin family member 3C [Source:MGI Symbol;Acc:MGI:107979]	2152	0.8794708847999573	-0.06755015	No	
row_6	Lca5l	Leber congenital amaurosis 5-like [Source:MGI Symbol;Acc:MGI:3041157]	2207	0.8698359131813049	-0.06653432	No	
row_7	Ctnnd1	catenin (cadherin associated protein), delta 1 [Source:MGI Symbol;Acc:MGI:105100]	2417	0.8269810080528259	-0.072696365	No	
row_8	Madd	MAP-kinase activating death domain [Source:MGI Symbol;Acc:MGI:2444672]	2717	0.770975649356842	-0.0831499	No	
row_9	Atg14	autophagy related 14 [Source:MGI Symbol;Acc:MGI:1261775]	2851	0.7500959634780884	-0.086181566	No	
row_10	Atg16l1	autophagy related 16-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1924290]	3169	0.7002145648002625	-0.09773013	No	
row_11	Inpp5e	inositol polyphosphate-5-phosphatase E [Source:MGI Symbol;Acc:MGI:1927753]	3182	0.698184072971344	-0.09549771	No	
row_12	Septin7	septin 7 [Source:MGI Symbol;Acc:MGI:1335094]	3255	0.6868954300880432	-0.096022755	No	
row_13	Hamp	hepcidin antimicrobial peptide [Source:MGI Symbol;Acc:MGI:1933533]	3444	0.6626151204109192	-0.101888664	No	
row_14	Fmr1	fragile X messenger ribonucleoprotein 1 [Source:MGI Symbol;Acc:MGI:95564]	3480	0.6583625674247742	-0.100854345	No	
row_15	Pqbp1	polyglutamine binding protein 1 [Source:MGI Symbol;Acc:MGI:1859638]	3530	0.6511749029159546	-0.10048154	No	
row_16	Dync1i2	dynein cytoplasmic 1 intermediate chain 2 [Source:MGI Symbol;Acc:MGI:107750]	3557	0.6473163366317749	-0.09908423	No	
row_17	Cntrl	centriolin [Source:MGI Symbol;Acc:MGI:1889576]	3680	0.6303800344467163	-0.1020944	No	
row_18	Clta	clathrin, light polypeptide (Lca) [Source:MGI Symbol;Acc:MGI:894297]	3744	0.6228855848312378	-0.10246696	No	
row_19	Prkar1a	protein kinase, cAMP dependent regulatory, type I, alpha [Source:MGI Symbol;Acc:MGI:104878]	3784	0.6178788542747498	-0.10177439	No	
row_20	Hnrnpa2b1	heterogeneous nuclear ribonucleoprotein A2/B1 [Source:MGI Symbol;Acc:MGI:104819]	3918	0.5993959307670593	-0.10540501	No	
row_21	Atg5	autophagy related 5 [Source:MGI Symbol;Acc:MGI:1277186]	4038	0.5840338468551636	-0.10846376	No	
row_22	Abhd12	abhydrolase domain containing 12 [Source:MGI Symbol;Acc:MGI:1923442]	4153	0.5702110528945923	-0.111351386	No	
row_23	Map2k4	mitogen-activated protein kinase kinase 4 [Source:MGI Symbol;Acc:MGI:1346869]	4185	0.5661481618881226	-0.110502735	No	
row_24	Sfpq	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated) [Source:MGI Symbol;Acc:MGI:1918764]	4614	0.5133400559425354	-0.12781234	No	
row_25	Htt	huntingtin [Source:MGI Symbol;Acc:MGI:96067]	4637	0.5116565227508545	-0.12677337	No	
row_26	Ctnnb1	catenin (cadherin associated protein), beta 1 [Source:MGI Symbol;Acc:MGI:88276]	4759	0.4981936812400818	-0.13026372	No	
row_27	Ranbp1	RAN binding protein 1 [Source:MGI Symbol;Acc:MGI:96269]	4765	0.4973727762699127	-0.12851295	No	
row_28	Fabp1	fatty acid binding protein 1, liver [Source:MGI Symbol;Acc:MGI:95479]	4828	0.48994895815849304	-0.12936866	No	
row_29	Ambra1	autophagy/beclin 1 regulator 1 [Source:MGI Symbol;Acc:MGI:2443564]	4855	0.4872784912586212	-0.12860742	No	
row_30	Ctbp2	C-terminal binding protein 2 [Source:MGI Symbol;Acc:MGI:1201686]	4886	0.4835798442363739	-0.12804173	No	
row_31	Canx	calnexin [Source:MGI Symbol;Acc:MGI:88261]	5027	0.46918362379074097	-0.13250636	No	
row_32	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2) [Source:MGI Symbol;Acc:MGI:95815]	5128	0.4585971534252167	-0.13520466	No	
row_33	Pura	purine rich element binding protein A [Source:MGI Symbol;Acc:MGI:103079]	5277	0.4442726671695709	-0.14012997	No	
row_34	Stau1	staufen double-stranded RNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1338864]	5287	0.44345802068710327	-0.13877434	No	
row_35	Atg7	autophagy related 7 [Source:MGI Symbol;Acc:MGI:1921494]	5449	0.42772170901298523	-0.14435317	No	
row_36	Actr1a	ARP1 actin-related protein 1A, centractin alpha [Source:MGI Symbol;Acc:MGI:1858964]	5472	0.4254828691482544	-0.1436567	No	
row_37	Mark2	MAP/microtubule affinity regulating kinase 2 [Source:MGI Symbol;Acc:MGI:99638]	5492	0.4233880341053009	-0.14283292	No	
row_38	Rangap1	RAN GTPase activating protein 1 [Source:MGI Symbol;Acc:MGI:103071]	5530	0.4204205274581909	-0.14283472	No	
row_39	Cntf	ciliary neurotrophic factor [Source:MGI Symbol;Acc:MGI:88439]	5873	0.38606542348861694	-0.15676212	No	
row_40	Map1lc3b	microtubule-associated protein 1 light chain 3 beta [Source:MGI Symbol;Acc:MGI:1914693]	6072	0.3672879934310913	-0.16425392	No	
row_41	Septin2	septin 2 [Source:MGI Symbol;Acc:MGI:97298]	6109	0.36360347270965576	-0.16443633	No	
row_42	Arl13b	ADP-ribosylation factor-like 13B [Source:MGI Symbol;Acc:MGI:1915396]	6128	0.3620084822177887	-0.16381131	No	
row_43	Prkaca	protein kinase, cAMP dependent, catalytic, alpha [Source:MGI Symbol;Acc:MGI:97592]	6353	0.33947089314460754	-0.17258911	No	
row_44	Mapk8	mitogen-activated protein kinase 8 [Source:MGI Symbol;Acc:MGI:1346861]	6451	0.33036842942237854	-0.17566143	No	
row_45	Ttc30a2	tetratricopeptide repeat domain 30A2 [Source:MGI Symbol;Acc:MGI:3700200]	6717	0.30609428882598877	-0.1864255	No	
row_46	Spef1l	sperm flagellar 1 like [Source:MGI Symbol;Acc:MGI:2685939]	6763	0.30257555842399597	-0.18725736	No	
row_47	Ppfia3	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3 [Source:MGI Symbol;Acc:MGI:1924037]	6823	0.29820191860198975	-0.18873955	No	
