NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Gnat3	G protein subunit alpha transducin 3 [Source:MGI Symbol;Acc:MGI:3588268]	557	1.6505731344223022	-0.01758246	No	
row_1	Ctsh	cathepsin H [Source:MGI Symbol;Acc:MGI:107285]	949	1.3199279308319092	-0.029187065	No	
row_2	Akr1b3	aldo-keto reductase family 1, member B3 (aldose reductase) [Source:MGI Symbol;Acc:MGI:1353494]	1784	0.9630637168884277	-0.06241449	No	
row_3	Map2k1	mitogen-activated protein kinase kinase 1 [Source:MGI Symbol;Acc:MGI:1346866]	2004	0.9132105112075806	-0.06811855	No	
row_4	Kif3c	kinesin family member 3C [Source:MGI Symbol;Acc:MGI:107979]	2152	0.8794708847999573	-0.07072802	No	
row_5	Lca5l	Leber congenital amaurosis 5-like [Source:MGI Symbol;Acc:MGI:3041157]	2207	0.8698359131813049	-0.06918502	No	
row_6	Madd	MAP-kinase activating death domain [Source:MGI Symbol;Acc:MGI:2444672]	2717	0.770975649356842	-0.088625886	No	
row_7	Atg14	autophagy related 14 [Source:MGI Symbol;Acc:MGI:1261775]	2851	0.7500959634780884	-0.091195546	No	
row_8	Atg16l1	autophagy related 16-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1924290]	3169	0.7002145648002625	-0.10229629	No	
row_9	Inpp5e	inositol polyphosphate-5-phosphatase E [Source:MGI Symbol;Acc:MGI:1927753]	3182	0.698184072971344	-0.09964342	No	
row_10	Septin7	septin 7 [Source:MGI Symbol;Acc:MGI:1335094]	3255	0.6868954300880432	-0.099749655	No	
row_11	Fmr1	fragile X messenger ribonucleoprotein 1 [Source:MGI Symbol;Acc:MGI:95564]	3480	0.6583625674247742	-0.10684533	No	
row_12	Pqbp1	polyglutamine binding protein 1 [Source:MGI Symbol;Acc:MGI:1859638]	3530	0.6511749029159546	-0.10607713	No	
row_13	Dync1i2	dynein cytoplasmic 1 intermediate chain 2 [Source:MGI Symbol;Acc:MGI:107750]	3557	0.6473163366317749	-0.10428873	No	
row_14	Cntrl	centriolin [Source:MGI Symbol;Acc:MGI:1889576]	3680	0.6303800344467163	-0.106909744	No	
row_15	Prkar1a	protein kinase, cAMP dependent regulatory, type I, alpha [Source:MGI Symbol;Acc:MGI:104878]	3784	0.6178788542747498	-0.1087306	No	
row_16	Hnrnpa2b1	heterogeneous nuclear ribonucleoprotein A2/B1 [Source:MGI Symbol;Acc:MGI:104819]	3918	0.5993959307670593	-0.111989744	No	
row_17	Atg5	autophagy related 5 [Source:MGI Symbol;Acc:MGI:1277186]	4038	0.5840338468551636	-0.11468744	No	
row_18	Abhd12	abhydrolase domain containing 12 [Source:MGI Symbol;Acc:MGI:1923442]	4153	0.5702110528945923	-0.117222756	No	
row_19	Map2k4	mitogen-activated protein kinase kinase 4 [Source:MGI Symbol;Acc:MGI:1346869]	4185	0.5661481618881226	-0.116031334	No	
row_20	Sfpq	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated) [Source:MGI Symbol;Acc:MGI:1918764]	4614	0.5133400559425354	-0.13299589	No	
row_21	Htt	huntingtin [Source:MGI Symbol;Acc:MGI:96067]	4637	0.5116565227508545	-0.13164766	No	
row_22	Ranbp1	RAN binding protein 1 [Source:MGI Symbol;Acc:MGI:96269]	4765	0.4973727762699127	-0.13510285	No	
row_23	Ambra1	autophagy/beclin 1 regulator 1 [Source:MGI Symbol;Acc:MGI:2443564]	4855	0.4872784912586212	-0.13688949	No	
row_24	Canx	calnexin [Source:MGI Symbol;Acc:MGI:88261]	5027	0.46918362379074097	-0.14245911	No	
row_25	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2) [Source:MGI Symbol;Acc:MGI:95815]	5128	0.4585971534252167	-0.14487335	No	
row_26	Pura	purine rich element binding protein A [Source:MGI Symbol;Acc:MGI:103079]	5277	0.4442726671695709	-0.14951909	No	
row_27	Stau1	staufen double-stranded RNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1338864]	5287	0.44345802068710327	-0.14789627	No	
row_28	Atg7	autophagy related 7 [Source:MGI Symbol;Acc:MGI:1921494]	5449	0.42772170901298523	-0.15320435	No	
row_29	Rangap1	RAN GTPase activating protein 1 [Source:MGI Symbol;Acc:MGI:103071]	5530	0.4204205274581909	-0.15489078	No	
row_30	Cntf	ciliary neurotrophic factor [Source:MGI Symbol;Acc:MGI:88439]	5873	0.38606542348861694	-0.16855694	No	
row_31	Map1lc3b	microtubule-associated protein 1 light chain 3 beta [Source:MGI Symbol;Acc:MGI:1914693]	6072	0.3672879934310913	-0.17581113	No	
row_32	Septin2	septin 2 [Source:MGI Symbol;Acc:MGI:97298]	6109	0.36360347270965576	-0.17577203	No	
row_33	Arl13b	ADP-ribosylation factor-like 13B [Source:MGI Symbol;Acc:MGI:1915396]	6128	0.3620084822177887	-0.17492798	No	
row_34	Prkaca	protein kinase, cAMP dependent, catalytic, alpha [Source:MGI Symbol;Acc:MGI:97592]	6353	0.33947089314460754	-0.18348266	No	
row_35	Mapk8	mitogen-activated protein kinase 8 [Source:MGI Symbol;Acc:MGI:1346861]	6451	0.33036842942237854	-0.1863482	No	
row_36	Ttc30a2	tetratricopeptide repeat domain 30A2 [Source:MGI Symbol;Acc:MGI:3700200]	6717	0.30609428882598877	-0.19690569	No	
row_37	Spef1l	sperm flagellar 1 like [Source:MGI Symbol;Acc:MGI:2685939]	6763	0.30257555842399597	-0.19755192	No	
row_38	Gli1	GLI-Kruppel family member GLI1 [Source:MGI Symbol;Acc:MGI:95727]	6954	0.2870476245880127	-0.20481223	No	
row_39	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2 [Source:MGI Symbol;Acc:MGI:2137336]	7177	0.2695206105709076	-0.2135967	No	
row_40	Sod1	superoxide dismutase 1, soluble [Source:MGI Symbol;Acc:MGI:98351]	7200	0.26762744784355164	-0.21336497	No	
row_41	Dynlt2b	dynein light chain Tctex-type 2B [Source:MGI Symbol;Acc:MGI:1913311]	7276	0.2615422308444977	-0.21555267	No	
row_42	Ssna1	SS nuclear autoantigen 1 [Source:MGI Symbol;Acc:MGI:1915725]	7306	0.25896498560905457	-0.21567646	No	
row_43	Map4	microtubule-associated protein 4 [Source:MGI Symbol;Acc:MGI:97178]	7455	0.24765342473983765	-0.22122177	No	
row_44	Klhl17	kelch-like 17 [Source:MGI Symbol;Acc:MGI:2678948]	7652	0.23177838325500488	-0.2290057	No	
row_45	Hnrnpu	heterogeneous nuclear ribonucleoprotein U [Source:MGI Symbol;Acc:MGI:1858195]	7665	0.2302428036928177	-0.22849376	No	
row_46	Pik3r4	phosphoinositide-3-kinase regulatory subunit 4 [Source:MGI Symbol;Acc:MGI:1922919]	7759	0.22161322832107544	-0.2316764	No	
row_47	Tekt3	tektin 3 [Source:MGI Symbol;Acc:MGI:1918312]	8113	0.191517636179924	-0.24672905	No	
row_48	Spag6	sperm associated antigen 6 [Source:MGI Symbol;Acc:MGI:3040687]	8194	0.18469996750354767	-0.24949394	No	
row_49	Hnrnpab	heterogeneous nuclear ribonucleoprotein A/B [Source:MGI Symbol;Acc:MGI:1330294]	8605	0.15273408591747284	-0.2672961	No	
row_50	Wdr11	WD repeat domain 11 [Source:MGI Symbol;Acc:MGI:1920230]	8632	0.15033060312271118	-0.26778156	No	
row_51	Prkar2a	protein kinase, cAMP dependent regulatory, type II alpha [Source:MGI Symbol;Acc:MGI:108025]	9014	0.11938577145338058	-0.2844277	No	
row_52	Ttc30a1	tetratricopeptide repeat domain 30A1 [Source:MGI Symbol;Acc:MGI:1926052]	9032	0.11821749061346054	-0.28465393	No	
row_53	Mapk1	mitogen-activated protein kinase 1 [Source:MGI Symbol;Acc:MGI:1346858]	9096	0.11280205100774765	-0.28698066	No	
row_54	Eif4ebp2	eukaryotic translation initiation factor 4E binding protein 2 [Source:MGI Symbol;Acc:MGI:109198]	9097	0.11274392157793045	-0.28646484	No	
row_55	Uhmk1	U2AF homology motif (UHM) kinase 1 [Source:MGI Symbol;Acc:MGI:1341908]	9484	0.0811164379119873	-0.30351168	No	
row_56	Abhd13	abhydrolase domain containing 13 [Source:MGI Symbol;Acc:MGI:1916154]	9669	0.06603974103927612	-0.3115124	No	
