NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Oasl1	2'-5' oligoadenylate synthetase-like 1 [Source:MGI Symbol;Acc:MGI:2180849]	2	4.315937042236328	0.015156949	Yes	
row_1	Rsad2	radical S-adenosyl methionine domain containing 2 [Source:MGI Symbol;Acc:MGI:1929628]	9	3.6838767528533936	0.027900768	Yes	
row_2	Cmpk2	cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:99830]	11	3.430480718612671	0.03997469	Yes	
row_3	Ifit3	interferon-induced protein with tetratricopeptide repeats 3 [Source:MGI Symbol;Acc:MGI:1101055]	19	3.3696792125701904	0.051563475	Yes	
row_4	Irf7	interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]	21	3.3449161052703857	0.06333512	Yes	
row_5	Isg15	ISG15 ubiquitin-like modifier [Source:MGI Symbol;Acc:MGI:1855694]	23	3.3169949054718018	0.07500813	Yes	
row_6	Lgals3bp	lectin, galactoside-binding, soluble, 3 binding protein [Source:MGI Symbol;Acc:MGI:99554]	26	3.2735393047332764	0.08648256	Yes	
row_7	Dhx58	DEXH (Asp-Glu-X-His) box polypeptide 58 [Source:MGI Symbol;Acc:MGI:1931560]	29	3.2233541011810303	0.097779706	Yes	
row_8	Cxcl9	chemokine (C-X-C motif) ligand 9 [Source:MGI Symbol;Acc:MGI:1352449]	30	3.21998929977417	0.109155074	Yes	
row_9	Ddx60	DExD/H box helicase 60 [Source:MGI Symbol;Acc:MGI:2384570]	32	3.200589179992676	0.12041686	Yes	
row_10	Cd86	CD86 antigen [Source:MGI Symbol;Acc:MGI:101773]	39	3.1125850677490234	0.13114245	Yes	
row_11	Epsti1	epithelial stromal interaction 1 (breast) [Source:MGI Symbol;Acc:MGI:1915168]	51	2.9668710231781006	0.14112799	Yes	
row_12	Usp18	ubiquitin specific peptidase 18 [Source:MGI Symbol;Acc:MGI:1344364]	55	2.9246113300323486	0.15132469	Yes	
row_13	Mx2	MX dynamin-like GTPase 2 [Source:MGI Symbol;Acc:MGI:97244]	56	2.9192843437194824	0.16163775	Yes	
row_14	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated) [Source:MGI Symbol;Acc:MGI:96534]	59	2.8837435245513916	0.17173514	Yes	
row_15	Fpr1	formyl peptide receptor 1 [Source:MGI Symbol;Acc:MGI:107443]	60	2.8779265880584717	0.1819021	Yes	
row_16	Il18bp	interleukin 18 binding protein [Source:MGI Symbol;Acc:MGI:1333800]	68	2.8385562896728516	0.19161457	Yes	
row_17	Ifit2	interferon-induced protein with tetratricopeptide repeats 2 [Source:MGI Symbol;Acc:MGI:99449]	76	2.790956974029541	0.20115888	Yes	
row_18	Rtp4	receptor transporter protein 4 [Source:MGI Symbol;Acc:MGI:1915025]	78	2.7645998001098633	0.21088041	Yes	
row_19	Fgl2	fibrinogen-like protein 2 [Source:MGI Symbol;Acc:MGI:103266]	79	2.758100986480713	0.22062406	Yes	
row_20	Tap1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) [Source:MGI Symbol;Acc:MGI:98483]	80	2.752228021621704	0.23034695	Yes	
row_21	Helz2	helicase with zinc finger 2, transcriptional coactivator [Source:MGI Symbol;Acc:MGI:2385169]	81	2.747972011566162	0.24005482	Yes	
row_22	Samhd1	SAM domain and HD domain, 1 [Source:MGI Symbol;Acc:MGI:1927468]	86	2.7039804458618164	0.24942704	Yes	
row_23	Sp110	Sp110 nuclear body protein [Source:MGI Symbol;Acc:MGI:1923364]	88	2.698460340499878	0.25891492	Yes	
row_24	Isg20	interferon-stimulated protein [Source:MGI Symbol;Acc:MGI:1928895]	98	2.6285760402679443	0.26779547	Yes	
row_25	B2m	beta-2 microglobulin [Source:MGI Symbol;Acc:MGI:88127]	99	2.6254208087921143	0.27707037	Yes	
row_26	Ccl5	chemokine (C-C motif) ligand 5 [Source:MGI Symbol;Acc:MGI:98262]	104	2.607856512069702	0.286103	Yes	
row_27	Xaf1	XIAP associated factor 1 [Source:MGI Symbol;Acc:MGI:3772572]	117	2.5493459701538086	0.2945685	Yes	
row_28	Stat2	signal transducer and activator of transcription 2 [Source:MGI Symbol;Acc:MGI:103039]	119	2.5368034839630127	0.3034853	Yes	
row_29	Icam1	intercellular adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:96392]	124	2.530332565307617	0.31224406	Yes	
row_30	Herc6	hect domain and RLD 6 [Source:MGI Symbol;Acc:MGI:1914388]	131	2.5090529918670654	0.32083756	Yes	
row_31	Tnfsf10	tumor necrosis factor (ligand) superfamily, member 10 [Source:MGI Symbol;Acc:MGI:107414]	138	2.47387957572937	0.32930675	Yes	
row_32	Cxcl10	chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol;Acc:MGI:1352450]	144	2.4240663051605225	0.33764505	Yes	
row_33	Oas3	2'-5' oligoadenylate synthetase 3 [Source:MGI Symbol;Acc:MGI:2180850]	150	2.4026918411254883	0.34590784	Yes	
row_34	Oas2	2'-5' oligoadenylate synthetase 2 [Source:MGI Symbol;Acc:MGI:2180852]	182	2.300518035888672	0.35263819	Yes	
row_35	Fcgr1	Fc receptor, IgG, high affinity I [Source:MGI Symbol;Acc:MGI:95498]	188	2.2911596298217773	0.36050698	Yes	
row_36	Trafd1	TRAF type zinc finger domain containing 1 [Source:MGI Symbol;Acc:MGI:1923551]	190	2.283745765686035	0.3685298	Yes	
row_37	Nmi	N-myc (and STAT) interactor [Source:MGI Symbol;Acc:MGI:1928368]	194	2.2671127319335938	0.37640372	Yes	
row_38	Zbp1	Z-DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1927449]	204	2.243920087814331	0.38392538	Yes	
row_39	Cd40	CD40 antigen [Source:MGI Symbol;Acc:MGI:88336]	205	2.2421929836273193	0.39184645	Yes	
row_40	Bst2	bone marrow stromal cell antigen 2 [Source:MGI Symbol;Acc:MGI:1916800]	212	2.2215960025787354	0.39942443	Yes	
row_41	Ly6e	lymphocyte antigen 6 complex, locus E [Source:MGI Symbol;Acc:MGI:106651]	220	2.2032387256622314	0.40689248	Yes	
row_42	Lcp2	lymphocyte cytosolic protein 2 [Source:MGI Symbol;Acc:MGI:1321402]	223	2.1945278644561768	0.41455504	Yes	
row_43	Irf1	interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]	226	2.1873421669006348	0.42219225	Yes	
row_44	Nlrc5	NLR family, CARD domain containing 5 [Source:MGI Symbol;Acc:MGI:3612191]	235	2.1447503566741943	0.4294086	Yes	
row_45	Ptpn6	protein tyrosine phosphatase, non-receptor type 6 [Source:MGI Symbol;Acc:MGI:96055]	237	2.1374995708465576	0.43691477	Yes	
row_46	Myd88	myeloid differentiation primary response gene 88 [Source:MGI Symbol;Acc:MGI:108005]	242	2.123893976211548	0.4442377	Yes	
row_47	Slamf7	SLAM family member 7 [Source:MGI Symbol;Acc:MGI:1922595]	251	2.096104860305786	0.45128223	Yes	
row_48	Tapbp	TAP binding protein [Source:MGI Symbol;Acc:MGI:1201689]	263	2.0719292163848877	0.4581062	Yes	
row_49	Sod2	superoxide dismutase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:98352]	264	2.0710949897766113	0.4654228	Yes	
row_50	Ifi35	interferon-induced protein 35 [Source:MGI Symbol;Acc:MGI:1917360]	265	2.065082550048828	0.4727182	Yes	
row_51	Ifi44	interferon-induced protein 44 [Source:MGI Symbol;Acc:MGI:2443016]	269	2.0505199432373047	0.479827	Yes	
row_52	Cd69	CD69 antigen [Source:MGI Symbol;Acc:MGI:88343]	273	2.038971185684204	0.48689494	Yes	
row_53	Adar	adenosine deaminase, RNA-specific [Source:MGI Symbol;Acc:MGI:1889575]	288	2.0170538425445557	0.49338987	Yes	
row_54	Casp4	caspase 4, apoptosis-related cysteine peptidase [Source:MGI Symbol;Acc:MGI:107700]	291	2.009270191192627	0.500398	Yes	
row_55	Parp12	poly (ADP-ribose) polymerase family, member 12 [Source:MGI Symbol;Acc:MGI:2143990]	298	2.0016555786132812	0.5071989	Yes	
row_56	Psmb8	proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7) [Source:MGI Symbol;Acc:MGI:1346527]	299	2.001326084136963	0.5142691	Yes	
row_57	Il4ra	interleukin 4 receptor, alpha [Source:MGI Symbol;Acc:MGI:105367]	312	1.9753220081329346	0.5207067	Yes	
row_58	Stat1	signal transducer and activator of transcription 1 [Source:MGI Symbol;Acc:MGI:103063]	324	1.9518613815307617	0.52710646	Yes	
row_59	Trim14	tripartite motif-containing 14 [Source:MGI Symbol;Acc:MGI:1921985]	330	1.9412230253219604	0.53373903	Yes	
row_60	Batf2	basic leucine zipper transcription factor, ATF-like 2 [Source:MGI Symbol;Acc:MGI:1921731]	338	1.9303083419799805	0.5402429	Yes	
row_61	Cmklr1	chemerin chemokine-like receptor 1 [Source:MGI Symbol;Acc:MGI:109603]	339	1.9297391176223755	0.54706013	Yes	
