NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Aoah	acyloxyacyl hydrolase [Source:MGI Symbol;Acc:MGI:1350928]	1	4.453059196472168	0.01862647	Yes	
row_1	Il2rg	interleukin 2 receptor, gamma chain [Source:MGI Symbol;Acc:MGI:96551]	10	3.4644277095794678	0.03279243	Yes	
row_2	Ly6i	lymphocyte antigen 6 complex, locus I [Source:MGI Symbol;Acc:MGI:1888480]	35	3.1771233081817627	0.045033243	Yes	
row_3	Cd300ld	CD300 molecule like family member d [Source:MGI Symbol;Acc:MGI:2442358]	41	3.093877077102661	0.057780594	Yes	
row_4	Ifi209	interferon activated gene 209 [Source:MGI Symbol;Acc:MGI:2138243]	42	3.047785520553589	0.07055984	Yes	
row_5	Hck	hemopoietic cell kinase [Source:MGI Symbol;Acc:MGI:96052]	49	2.981877326965332	0.08279254	Yes	
row_6	Epsti1	epithelial stromal interaction 1 (breast) [Source:MGI Symbol;Acc:MGI:1915168]	51	2.9668710231781006	0.095187485	Yes	
row_7	Scimp	SLP adaptor and CSK interacting membrane protein [Source:MGI Symbol;Acc:MGI:3610314]	52	2.9619243144989014	0.10760672	Yes	
row_8	Tarm1	T cell-interacting, activating receptor on myeloid cells 1 [Source:MGI Symbol;Acc:MGI:2442280]	54	2.9371278285980225	0.11987695	Yes	
row_9	Il18bp	interleukin 18 binding protein [Source:MGI Symbol;Acc:MGI:1333800]	68	2.8385562896728516	0.1311935	Yes	
row_10	Gbp9	guanylate-binding protein 9 [Source:MGI Symbol;Acc:MGI:3605620]	73	2.798969030380249	0.14274934	Yes	
row_11	Il21r	interleukin 21 receptor [Source:MGI Symbol;Acc:MGI:1890475]	74	2.7973854541778564	0.15447867	Yes	
row_12	Fgl2	fibrinogen-like protein 2 [Source:MGI Symbol;Acc:MGI:103266]	79	2.758100986480713	0.16586316	Yes	
row_13	Klra2	killer cell lectin-like receptor, subfamily A, member 2 [Source:MGI Symbol;Acc:MGI:101906]	87	2.7029316425323486	0.17688122	Yes	
row_14	Igtp	interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729]	95	2.643606185913086	0.18765055	Yes	
row_15	Slfn1	schlafen 1 [Source:MGI Symbol;Acc:MGI:1313259]	96	2.6435697078704834	0.19873492	Yes	
row_16	B2m	beta-2 microglobulin [Source:MGI Symbol;Acc:MGI:88127]	99	2.6254208087921143	0.20965315	Yes	
row_17	Ifi205	interferon activated gene 205 [Source:MGI Symbol;Acc:MGI:101847]	110	2.5839157104492188	0.2200371	Yes	
row_18	Gpr132	G protein-coupled receptor 132 [Source:MGI Symbol;Acc:MGI:1890220]	123	2.5309088230133057	0.23010872	Yes	
row_19	Themis2	thymocyte selection associated family member 2 [Source:MGI Symbol;Acc:MGI:2446213]	133	2.4973506927490234	0.24017474	Yes	
row_20	Lag3	lymphocyte-activation gene 3 [Source:MGI Symbol;Acc:MGI:106588]	149	2.4054253101348877	0.24958514	Yes	
row_21	Slfn5	schlafen 5 [Source:MGI Symbol;Acc:MGI:1329004]	159	2.3760101795196533	0.25914237	Yes	
row_22	Cd244a	CD244 molecule A [Source:MGI Symbol;Acc:MGI:109294]	189	2.2837798595428467	0.26741228	Yes	
row_23	Gbp2	guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]	193	2.271752119064331	0.27680254	Yes	
row_24	Parp9	poly (ADP-ribose) polymerase family, member 9 [Source:MGI Symbol;Acc:MGI:1933117]	213	2.218306303024292	0.28524825	Yes	
row_25	Gpr65	G-protein coupled receptor 65 [Source:MGI Symbol;Acc:MGI:108031]	218	2.206463098526001	0.29431972	Yes	
row_26	Ifi47	interferon gamma inducible protein 47 [Source:MGI Symbol;Acc:MGI:99448]	219	2.2064599990844727	0.3035713	Yes	
row_27	Fgr	FGR proto-oncogene, Src family tyrosine kinase [Source:MGI Symbol;Acc:MGI:95527]	225	2.1928036212921143	0.3125405	Yes	
row_28	Irf1	interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]	226	2.1873421669006348	0.32171196	Yes	
row_29	Slamf7	SLAM family member 7 [Source:MGI Symbol;Acc:MGI:1922595]	251	2.096104860305786	0.3294201	Yes	
row_30	Acod1	aconitate decarboxylase 1 [Source:MGI Symbol;Acc:MGI:103206]	272	2.047245979309082	0.3371035	Yes	
row_31	Cd69	CD69 antigen [Source:MGI Symbol;Acc:MGI:88343]	273	2.038971185684204	0.34565282	Yes	
row_32	Trim30d	tripartite motif-containing 30D [Source:MGI Symbol;Acc:MGI:3035181]	294	2.006635904312134	0.35316595	Yes	
row_33	C1ra	complement component 1, r subcomponent A [Source:MGI Symbol;Acc:MGI:1355313]	297	2.0027501583099365	0.36147335	Yes	
row_34	Hrh2	histamine receptor H2 [Source:MGI Symbol;Acc:MGI:108482]	303	1.9980038404464722	0.36962575	Yes	
row_35	Tapbpl	TAP binding protein-like [Source:MGI Symbol;Acc:MGI:2384853]	308	1.98310124874115	0.37776068	Yes	
row_36	Nfam1	Nfat activating molecule with ITAM motif 1 [Source:MGI Symbol;Acc:MGI:1921289]	311	1.9757494926452637	0.38595486	Yes	
row_37	Cd300lf	CD300 molecule like family member F [Source:MGI Symbol;Acc:MGI:2442359]	313	1.974982500076294	0.39419085	Yes	
row_38	Stat1	signal transducer and activator of transcription 1 [Source:MGI Symbol;Acc:MGI:103063]	324	1.9518613815307617	0.4019246	Yes	
row_39	AB124611	cDNA sequence AB124611 [Source:MGI Symbol;Acc:MGI:3043001]	331	1.9409010410308838	0.40979254	Yes	
row_40	Cst7	cystatin F (leukocystatin) [Source:MGI Symbol;Acc:MGI:1298217]	340	1.9230457544326782	0.41749555	Yes	
row_41	Irf5	interferon regulatory factor 5 [Source:MGI Symbol;Acc:MGI:1350924]	366	1.8660202026367188	0.42419395	Yes	
row_42	Clec12a	C-type lectin domain family 12, member a [Source:MGI Symbol;Acc:MGI:3040968]	375	1.848021149635315	0.43158236	Yes	
row_43	Lacc1	laccase domain containing 1 [Source:MGI Symbol;Acc:MGI:2445077]	384	1.8283635377883911	0.43888837	Yes	
row_44	Itgal	integrin alpha L [Source:MGI Symbol;Acc:MGI:96606]	387	1.8257098197937012	0.44645345	Yes	
row_45	Cybb	cytochrome b-245, beta polypeptide [Source:MGI Symbol;Acc:MGI:88574]	395	1.8144333362579346	0.45374608	Yes	
row_46	Slamf6	SLAM family member 6 [Source:MGI Symbol;Acc:MGI:1353620]	432	1.772109866142273	0.45955536	Yes	
row_47	Map3k8	mitogen-activated protein kinase kinase kinase 8 [Source:MGI Symbol;Acc:MGI:1346878]	440	1.761289119720459	0.46662515	Yes	
row_48	Il10ra	interleukin 10 receptor, alpha [Source:MGI Symbol;Acc:MGI:96538]	461	1.7352914810180664	0.47300056	Yes	
row_49	Cd274	CD274 antigen [Source:MGI Symbol;Acc:MGI:1926446]	466	1.7323538064956665	0.48008412	Yes	
row_50	Cd5	CD5 antigen [Source:MGI Symbol;Acc:MGI:88340]	475	1.7219070196151733	0.48694375	Yes	
row_51	Pdcd1	programmed cell death 1 [Source:MGI Symbol;Acc:MGI:104879]	476	1.7193068265914917	0.49415272	Yes	
row_52	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide [Source:MGI Symbol;Acc:MGI:95496]	480	1.7169053554534912	0.5012166	Yes	
row_53	Myo1g	myosin IG [Source:MGI Symbol;Acc:MGI:1927091]	482	1.7154721021652222	0.50836444	Yes	
row_54	Pik3cg	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:MGI Symbol;Acc:MGI:1353576]	505	1.6980191469192505	0.51449347	Yes	
row_55	Pdcd1lg2	programmed cell death 1 ligand 2 [Source:MGI Symbol;Acc:MGI:1930125]	507	1.6973066329956055	0.5215652	Yes	
row_56	Trpm2	transient receptor potential cation channel, subfamily M, member 2 [Source:MGI Symbol;Acc:MGI:1351901]	520	1.685076355934143	0.5280903	Yes	
row_57	Gbp6	guanylate binding protein 6 [Source:MGI Symbol;Acc:MGI:2140937]	534	1.666930079460144	0.5344943	Yes	
row_58	Parvg	parvin, gamma [Source:MGI Symbol;Acc:MGI:2158329]	540	1.662083625793457	0.5412381	Yes	
row_59	Ptpro	protein tyrosine phosphatase, receptor type, O [Source:MGI Symbol;Acc:MGI:1097152]	541	1.6611813306808472	0.5482034	Yes	
row_60	Prr5l	proline rich 5 like [Source:MGI Symbol;Acc:MGI:1919696]	559	1.6455144882202148	0.5543375	Yes	
row_61	Arl5c	ADP-ribosylation factor-like 5C [Source:MGI Symbol;Acc:MGI:3028577]	566	1.638830304145813	0.56093884	Yes	
row_62	Snx20	sorting nexin 20 [Source:MGI Symbol;Acc:MGI:1918857]	579	1.6272152662277222	0.56722134	Yes	
row_63	Rnf213	ring finger protein 213 [Source:MGI Symbol;Acc:MGI:1289196]	586	1.6243970394134521	0.5737622	Yes	
row_64	Pirb	paired Ig-like receptor B [Source:MGI Symbol;Acc:MGI:894311]	587	1.623924732208252	0.58057123	Yes	
row_65	Il27	interleukin 27 [Source:MGI Symbol;Acc:MGI:2384409]	588	1.623626470565796	0.58737904	Yes	
