NAME	TITLE	SCORE	
Il1b	interleukin 1 beta [Source:MGI Symbol;Acc:MGI:96543]	4.553514	
Aoah	acyloxyacyl hydrolase [Source:MGI Symbol;Acc:MGI:1350928]	4.453059	
Oasl1	2'-5' oligoadenylate synthetase-like 1 [Source:MGI Symbol;Acc:MGI:2180849]	4.315937	
H2-Oa	histocompatibility 2, O region alpha locus [Source:MGI Symbol;Acc:MGI:95924]	4.1867495	
Hcar2	hydroxycarboxylic acid receptor 2 [Source:MGI Symbol;Acc:MGI:1933383]	4.023459	
Gm7335	predicted gene 7335 [Source:MGI Symbol;Acc:MGI:3644473]	4.0211024	
Ikbke	inhibitor of kappaB kinase epsilon [Source:MGI Symbol;Acc:MGI:1929612]	3.995681	
Cd72	CD72 antigen [Source:MGI Symbol;Acc:MGI:88345]	3.9265642	
H2-Q4	histocompatibility 2, Q region locus 4 [Source:MGI Symbol;Acc:MGI:95933]	3.7174563	
Rsad2	radical S-adenosyl methionine domain containing 2 [Source:MGI Symbol;Acc:MGI:1929628]	3.6838768	
Il2rg	interleukin 2 receptor, gamma chain [Source:MGI Symbol;Acc:MGI:96551]	3.4644277	
Cmpk2	cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:99830]	3.4304807	
Clec4n	C-type lectin domain family 4, member n [Source:MGI Symbol;Acc:MGI:1861231]	3.4293814	
H2-Q6	histocompatibility 2, Q region locus 6 [Source:MGI Symbol;Acc:MGI:95935]	3.4210966	
Srgn	serglycin [Source:MGI Symbol;Acc:MGI:97756]	3.4198225	
Uba7	ubiquitin-like modifier activating enzyme 7 [Source:MGI Symbol;Acc:MGI:1349462]	3.4153183	
Pilra	paired immunoglobin-like type 2 receptor alpha [Source:MGI Symbol;Acc:MGI:2450529]	3.393549	
H2-T24	histocompatibility 2, T region locus 24 [Source:MGI Symbol;Acc:MGI:95958]	3.3897445	
Phf11	PHD finger protein 11 [Source:MGI Symbol;Acc:MGI:3644962]	3.3793743	
Ifit3	interferon-induced protein with tetratricopeptide repeats 3 [Source:MGI Symbol;Acc:MGI:1101055]	3.3696792	
Ifi211	interferon activated gene 211 [Source:MGI Symbol;Acc:MGI:3041120]	3.3519979	
Irf7	interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]	3.344916	
Pilrb2	paired immunoglobin-like type 2 receptor beta 2 [Source:MGI Symbol;Acc:MGI:2450535]	3.3343582	
Isg15	ISG15 ubiquitin-like modifier [Source:MGI Symbol;Acc:MGI:1855694]	3.316995	
Carmil1	capping protein regulator and myosin 1 linker 1 [Source:MGI Symbol;Acc:MGI:1915982]	3.3086324	
Phf11d	PHD finger protein 11D [Source:MGI Symbol;Acc:MGI:1277133]	3.2893198	
Lgals3bp	lectin, galactoside-binding, soluble, 3 binding protein [Source:MGI Symbol;Acc:MGI:99554]	3.2735393	
Arhgap4	Rho GTPase activating protein 4 [Source:MGI Symbol;Acc:MGI:2159577]	3.2505465	
Gm57204	predicted gene, 57204 [Source:MGI Symbol;Acc:MGI:7338321]	3.2344017	
Dhx58	DEXH (Asp-Glu-X-His) box polypeptide 58 [Source:MGI Symbol;Acc:MGI:1931560]	3.223354	
Cxcl9	chemokine (C-X-C motif) ligand 9 [Source:MGI Symbol;Acc:MGI:1352449]	3.2199893	
Oasl2	2'-5' oligoadenylate synthetase-like 2 [Source:MGI Symbol;Acc:MGI:1344390]	3.2156672	
Ddx60	DExD/H box helicase 60 [Source:MGI Symbol;Acc:MGI:2384570]	3.2005892	
Lst1	leukocyte specific transcript 1 [Source:MGI Symbol;Acc:MGI:1096324]	3.1865876	
Cxcl2	chemokine (C-X-C motif) ligand 2 [Source:MGI Symbol;Acc:MGI:1340094]	3.1810102	
Ly6i	lymphocyte antigen 6 complex, locus I [Source:MGI Symbol;Acc:MGI:1888480]	3.1771233	
