NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Neurl1a	neuralized E3 ubiquitin protein ligase 1A [Source:MGI Symbol;Acc:MGI:1334263]	1547	1.0432624816894531	-0.06047661	No	
row_1	Dnaaf2	dynein, axonemal assembly factor 2 [Source:MGI Symbol;Acc:MGI:1923566]	3360	0.6739656329154968	-0.13601168	No	
row_2	Cntrl	centriolin [Source:MGI Symbol;Acc:MGI:1889576]	3680	0.6303800344467163	-0.14492172	No	
row_3	Dcx	doublecortin [Source:MGI Symbol;Acc:MGI:1277171]	4570	0.5194966793060303	-0.18036142	No	
row_4	Spag6	sperm associated antigen 6 [Source:MGI Symbol;Acc:MGI:3040687]	8194	0.18469996750354767	-0.34136075	No	
row_5	Tpgs1	tubulin polyglutamylase complex subunit 1 [Source:MGI Symbol;Acc:MGI:106618]	8785	0.13813194632530212	-0.36665273	No	
row_6	Lrrc61	leucine rich repeat containing 61 [Source:MGI Symbol;Acc:MGI:2652848]	9184	0.10642567276954651	-0.38360053	No	
row_7	Ttll1	tubulin tyrosine ligase-like 1 [Source:MGI Symbol;Acc:MGI:2443047]	9815	0.054738111793994904	-0.41140258	No	
row_8	Dnah17	dynein, axonemal, heavy chain 17 [Source:MGI Symbol;Acc:MGI:1917176]	9994	0.04045981168746948	-0.41904348	No	
row_9	Ube2b	ubiquitin-conjugating enzyme E2B [Source:MGI Symbol;Acc:MGI:102944]	12601	-0.17071157693862915	-0.5345246	No	
row_10	Nisch	nischarin [Source:MGI Symbol;Acc:MGI:1928323]	13685	-0.2636569142341614	-0.5808638	No	
row_11	Gas8	growth arrest specific 8 [Source:MGI Symbol;Acc:MGI:1202386]	13839	-0.27957960963249207	-0.58533245	No	
row_12	Dnaaf5	dynein, axonemal assembly factor 5 [Source:MGI Symbol;Acc:MGI:3616079]	14117	-0.30709394812583923	-0.5951297	No	
row_13	Cluap1	clusterin associated protein 1 [Source:MGI Symbol;Acc:MGI:1924029]	14463	-0.34178316593170166	-0.6076811	No	
row_14	Ttc12	tetratricopeptide repeat domain 12 [Source:MGI Symbol;Acc:MGI:2444588]	14626	-0.3566262423992157	-0.611893	No	
row_15	Ccdc63	coiled-coil domain containing 63 [Source:MGI Symbol;Acc:MGI:3607777]	14895	-0.38434359431266785	-0.62062407	No	
row_16	Spag17	sperm associated antigen 17 [Source:MGI Symbol;Acc:MGI:1921612]	14958	-0.3908132314682007	-0.6200553	No	
row_17	Jhy	junctional cadherin complex regulator [Source:MGI Symbol;Acc:MGI:1918239]	15012	-0.39604130387306213	-0.61903787	No	
row_18	Dnaaf3	dynein, axonemal assembly factor 3 [Source:MGI Symbol;Acc:MGI:3588207]	15331	-0.42892196774482727	-0.62963045	No	
row_19	Dnah7c	dynein, axonemal, heavy chain 7C [Source:MGI Symbol;Acc:MGI:3639762]	15538	-0.4499889016151428	-0.6350163	No	
row_20	Cfap97d1	CFAP97 domain containing 1 [Source:MGI Symbol;Acc:MGI:1922687]	15808	-0.4813176393508911	-0.6429607	No	
row_21	Dnaaf1	dynein, axonemal assembly factor 1 [Source:MGI Symbol;Acc:MGI:1915520]	16713	-0.5957582592964172	-0.67841965	No	
row_22	Tbc1d21	TBC1 domain family, member 21 [Source:MGI Symbol;Acc:MGI:1921536]	16881	-0.6193516850471497	-0.6806032	No	
row_23	Cplane2	ciliogenesis and planar polarity effector 2 [Source:MGI Symbol;Acc:MGI:1923416]	16976	-0.6305590867996216	-0.6794148	No	
row_24	Tbc1d32	TBC1 domain family, member 32 [Source:MGI Symbol;Acc:MGI:2442827]	17335	-0.6777703166007996	-0.68966866	Yes	
row_25	Ccdc40	coiled-coil domain containing 40 [Source:MGI Symbol;Acc:MGI:2443893]	17415	-0.6876903772354126	-0.68731725	Yes	
row_26	Pla2g3	phospholipase A2, group III [Source:MGI Symbol;Acc:MGI:2444945]	17491	-0.7015511989593506	-0.68466747	Yes	
row_27	Cfap157	cilia and flagella associated protein 157 [Source:MGI Symbol;Acc:MGI:2447809]	17546	-0.7088720798492432	-0.6810125	Yes	
row_28	Ift46	intraflagellar transport 46 [Source:MGI Symbol;Acc:MGI:1923818]	17794	-0.7497797608375549	-0.68566775	Yes	
row_29	Dnaaf11	dynein axonemal assembly factor 11 [Source:MGI Symbol;Acc:MGI:1859553]	17877	-0.7638670206069946	-0.6827978	Yes	
row_30	Dnah8	dynein, axonemal, heavy chain 8 [Source:MGI Symbol;Acc:MGI:107714]	17879	-0.7644346952438354	-0.67628807	Yes	
row_31	Drc7	dynein regulatory complex subunit 7 [Source:MGI Symbol;Acc:MGI:2685616]	17998	-0.785152792930603	-0.6748511	Yes	
row_32	Lrrc43	leucine rich repeat containing 43 [Source:MGI Symbol;Acc:MGI:2685907]	18087	-0.7994781732559204	-0.67194504	Yes	
row_33	Lrguk	leucine-rich repeats and guanylate kinase domain containing [Source:MGI Symbol;Acc:MGI:1921604]	18133	-0.8073331713676453	-0.667042	Yes	
row_34	Daw1	dynein assembly factor with WDR repeat domains 1 [Source:MGI Symbol;Acc:MGI:1923089]	18196	-0.8176718354225159	-0.6628132	Yes	
row_35	Dnah2	dynein, axonemal, heavy chain 2 [Source:MGI Symbol;Acc:MGI:107731]	18292	-0.835319995880127	-0.65991396	Yes	
row_36	Ift88	intraflagellar transport 88 [Source:MGI Symbol;Acc:MGI:98715]	18583	-0.8904038071632385	-0.66529304	Yes	
row_37	Odad2	outer dynein arm docking complex subunit 2 [Source:MGI Symbol;Acc:MGI:1922184]	18663	-0.9040345549583435	-0.66108656	Yes	
row_38	Dnai2	dynein axonemal intermediate chain 2 [Source:MGI Symbol;Acc:MGI:2685574]	18709	-0.9144254922866821	-0.6552653	Yes	
row_39	Tekt2	tektin 2 [Source:MGI Symbol;Acc:MGI:1346335]	19122	-0.9990944266319275	-0.6651872	Yes	
row_40	Bbs2	Bardet-Biedl syndrome 2 (human) [Source:MGI Symbol;Acc:MGI:2135267]	19178	-1.0123893022537231	-0.65897465	Yes	
row_41	Spag1	sperm associated antigen 1 [Source:MGI Symbol;Acc:MGI:1349387]	19193	-1.0171175003051758	-0.6508817	Yes	
row_42	Dnaaf4	dynein axonemal assembly factor 4 [Source:MGI Symbol;Acc:MGI:1914935]	19219	-1.021766185760498	-0.6432425	Yes	
