NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Rhox5	reproductive homeobox 5 [Source:MGI Symbol;Acc:MGI:97538]	747	1.4714775085449219	-0.026459834	No	
row_1	Adcy3	adenylate cyclase 3 [Source:MGI Symbol;Acc:MGI:99675]	1454	1.0833325386047363	-0.0529732	No	
row_2	Neurl1a	neuralized E3 ubiquitin protein ligase 1A [Source:MGI Symbol;Acc:MGI:1334263]	1547	1.0432624816894531	-0.052008994	No	
row_3	Bbs4	Bardet-Biedl syndrome 4 (human) [Source:MGI Symbol;Acc:MGI:2143311]	1571	1.03611159324646	-0.047969896	No	
row_4	Inpp5b	inositol polyphosphate-5-phosphatase B [Source:MGI Symbol;Acc:MGI:103257]	1731	0.9816681742668152	-0.05032722	No	
row_5	Ly6k	lymphocyte antigen 6 complex, locus K [Source:MGI Symbol;Acc:MGI:1923736]	1868	0.9428033232688904	-0.051838294	No	
row_6	Met	met proto-oncogene [Source:MGI Symbol;Acc:MGI:96969]	2584	0.7951075434684753	-0.08016927	No	
row_7	Dnaaf2	dynein, axonemal assembly factor 2 [Source:MGI Symbol;Acc:MGI:1923566]	3360	0.6739656329154968	-0.11179799	No	
row_8	Dnaja1	DnaJ heat shock protein family (Hsp40) member A1 [Source:MGI Symbol;Acc:MGI:1270129]	3445	0.6623978018760681	-0.112339005	No	
row_9	Tmf1	TATA element modulatory factor 1 [Source:MGI Symbol;Acc:MGI:2684999]	4024	0.585447371006012	-0.13552229	No	
row_10	Ddx4	DEAD box helicase 4 [Source:MGI Symbol;Acc:MGI:102670]	4125	0.5736809372901917	-0.13721906	No	
row_11	Tppp2	tubulin polymerization-promoting protein family member 2 [Source:MGI Symbol;Acc:MGI:2684923]	4179	0.5668863654136658	-0.13683076	No	
row_12	Ash1l	ASH1 like histone lysine methyltransferase [Source:MGI Symbol;Acc:MGI:2183158]	4256	0.5588964819908142	-0.13751824	No	
row_13	Vdac3	voltage-dependent anion channel 3 [Source:MGI Symbol;Acc:MGI:106922]	5694	0.4038868546485901	-0.20030732	No	
row_14	Adam3	a disintegrin and metallopeptidase domain 3 (cyritestin) [Source:MGI Symbol;Acc:MGI:102518]	6615	0.3157028555870056	-0.24022648	No	
row_15	Septin4	septin 4 [Source:MGI Symbol;Acc:MGI:1270156]	7254	0.26303038001060486	-0.26769352	No	
