NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Disc1	disrupted in schizophrenia 1 [Source:MGI Symbol;Acc:MGI:2447658]	257	2.0849063396453857	-0.005969994	No	
row_1	Ehd1	EH-domain containing 1 [Source:MGI Symbol;Acc:MGI:1341878]	463	1.733481526374817	-0.01053883	No	
row_2	Alpk1	alpha-kinase 1 [Source:MGI Symbol;Acc:MGI:1918731]	483	1.7142841815948486	-0.006699639	No	
row_3	Septin6	septin 6 [Source:MGI Symbol;Acc:MGI:1888939]	613	1.60081148147583	-0.00817542	No	
row_4	Trappc14	trafficking protein particle complex 14 [Source:MGI Symbol;Acc:MGI:2385896]	665	1.5419374704360962	-0.006264698	No	
row_5	Ccdc28b	coiled coil domain containing 28B [Source:MGI Symbol;Acc:MGI:1913514]	716	1.4915971755981445	-0.0044466066	No	
row_6	Kcnj10	potassium inwardly-rectifying channel, subfamily J, member 10 [Source:MGI Symbol;Acc:MGI:1194504]	1011	1.2799148559570312	-0.014308286	No	
row_7	Ehd4	EH-domain containing 4 [Source:MGI Symbol;Acc:MGI:1919619]	1053	1.2514562606811523	-0.012739676	No	
row_8	Rab8a	RAB8A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:96960]	1137	1.209280014038086	-0.013197266	No	
row_9	Actr2	ARP2 actin-related protein 2 [Source:MGI Symbol;Acc:MGI:1913963]	1183	1.1890041828155518	-0.011981956	No	
row_10	Snx10	sorting nexin 10 [Source:MGI Symbol;Acc:MGI:1919232]	1271	1.1563870906829834	-0.012766617	No	
row_11	Neurl1a	neuralized E3 ubiquitin protein ligase 1A [Source:MGI Symbol;Acc:MGI:1334263]	1547	1.0432624816894531	-0.02241333	No	
row_12	Bbs4	Bardet-Biedl syndrome 4 (human) [Source:MGI Symbol;Acc:MGI:2143311]	1571	1.03611159324646	-0.020616783	No	
row_13	Hyls1	HYLS1, centriolar and ciliogenesis associated [Source:MGI Symbol;Acc:MGI:1924082]	1663	1.0017244815826416	-0.02200774	No	
row_14	Tbc1d31	TBC1 domain family, member 31 [Source:MGI Symbol;Acc:MGI:2684931]	1725	0.983493983745575	-0.022084087	No	
row_15	Cep135	centrosomal protein 135 [Source:MGI Symbol;Acc:MGI:2681869]	1735	0.9789377450942993	-0.019807579	No	
row_16	Rabep2	rabaptin, RAB GTPase binding effector protein 2 [Source:MGI Symbol;Acc:MGI:1917564]	2020	0.9099788069725037	-0.03022937	No	
row_17	Tbc1d30	TBC1 domain family, member 30 [Source:MGI Symbol;Acc:MGI:1921944]	2067	0.9016821384429932	-0.029847868	No	
row_18	E2f4	E2F transcription factor 4 [Source:MGI Symbol;Acc:MGI:103012]	2082	0.8975945711135864	-0.028021978	No	
row_19	Lca5l	Leber congenital amaurosis 5-like [Source:MGI Symbol;Acc:MGI:3041157]	2207	0.8698359131813049	-0.031275887	No	
