NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Rhox5	reproductive homeobox 5 [Source:MGI Symbol;Acc:MGI:97538]	747	1.4714775085449219	-0.024147976	No	
row_1	Adcy3	adenylate cyclase 3 [Source:MGI Symbol;Acc:MGI:99675]	1454	1.0833325386047363	-0.04894696	No	
row_2	Neurl1a	neuralized E3 ubiquitin protein ligase 1A [Source:MGI Symbol;Acc:MGI:1334263]	1547	1.0432624816894531	-0.046378285	No	
row_3	Bbs4	Bardet-Biedl syndrome 4 (human) [Source:MGI Symbol;Acc:MGI:2143311]	1571	1.03611159324646	-0.040751114	No	
row_4	Inpp5b	inositol polyphosphate-5-phosphatase B [Source:MGI Symbol;Acc:MGI:103257]	1731	0.9816681742668152	-0.041592967	No	
row_5	Ly6k	lymphocyte antigen 6 complex, locus K [Source:MGI Symbol;Acc:MGI:1923736]	1868	0.9428033232688904	-0.041649885	No	
row_6	Met	met proto-oncogene [Source:MGI Symbol;Acc:MGI:96969]	2584	0.7951075434684753	-0.068707034	No	
row_7	Dnaaf2	dynein, axonemal assembly factor 2 [Source:MGI Symbol;Acc:MGI:1923566]	3360	0.6739656329154968	-0.099242635	No	
row_8	Dnaja1	DnaJ heat shock protein family (Hsp40) member A1 [Source:MGI Symbol;Acc:MGI:1270129]	3445	0.6623978018760681	-0.09876291	No	
row_9	Tmf1	TATA element modulatory factor 1 [Source:MGI Symbol;Acc:MGI:2684999]	4024	0.585447371006012	-0.12100418	No	
row_10	Ddx4	DEAD box helicase 4 [Source:MGI Symbol;Acc:MGI:102670]	4125	0.5736809372901917	-0.12181476	No	
row_11	Tppp2	tubulin polymerization-promoting protein family member 2 [Source:MGI Symbol;Acc:MGI:2684923]	4179	0.5668863654136658	-0.12055438	No	
row_12	Ash1l	ASH1 like histone lysine methyltransferase [Source:MGI Symbol;Acc:MGI:2183158]	4256	0.5588964819908142	-0.12038021	No	
row_13	Vdac3	voltage-dependent anion channel 3 [Source:MGI Symbol;Acc:MGI:106922]	5694	0.4038868546485901	-0.1824373	No	
row_14	Adam3	a disintegrin and metallopeptidase domain 3 (cyritestin) [Source:MGI Symbol;Acc:MGI:102518]	6615	0.3157028555870056	-0.22180036	No	
row_15	Septin4	septin 4 [Source:MGI Symbol;Acc:MGI:1270156]	7254	0.26303038001060486	-0.24881424	No	
row_16	Rnase10	ribonuclease, RNase A family, 10 (non-active) [Source:MGI Symbol;Acc:MGI:1922269]	7257	0.2628272473812103	-0.2472143	No	
row_17	Tekt3	tektin 3 [Source:MGI Symbol;Acc:MGI:1918312]	8113	0.191517636179924	-0.28445134	No	
row_18	AU040320	expressed sequence AU040320 [Source:MGI Symbol;Acc:MGI:2140475]	8161	0.1874317079782486	-0.28536084	No	
row_19	Spag6	sperm associated antigen 6 [Source:MGI Symbol;Acc:MGI:3040687]	8194	0.18469996750354767	-0.285613	No	
row_20	Sord	sorbitol dehydrogenase [Source:MGI Symbol;Acc:MGI:98266]	8355	0.171956866979599	-0.29170612	No	
row_21	Tpgs1	tubulin polyglutamylase complex subunit 1 [Source:MGI Symbol;Acc:MGI:106618]	8785	0.13813194632530212	-0.3101197	No	
row_22	Ttll1	tubulin tyrosine ligase-like 1 [Source:MGI Symbol;Acc:MGI:2443047]	9815	0.054738111793994904	-0.35606486	No	
row_23	Dnah17	dynein, axonemal, heavy chain 17 [Source:MGI Symbol;Acc:MGI:1917176]	9994	0.04045981168746948	-0.36381334	No	
row_24	Misfa	mitochondrial sheath formation associated [Source:MGI Symbol;Acc:MGI:3642801]	10468	0.002939149970188737	-0.38507584	No	
row_25	Dync2h1	dynein cytoplasmic 2 heavy chain 1 [Source:MGI Symbol;Acc:MGI:107736]	10526	-3.5530325840227306E-4	-0.38763812	No	
row_26	Cfap20	cilia and flagella associated protein 20 [Source:MGI Symbol;Acc:MGI:107428]	11159	-0.05109217390418053	-0.41574475	No	
