NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Oasl1	2'-5' oligoadenylate synthetase-like 1 [Source:MGI Symbol;Acc:MGI:2180849]	2	4.315937042236328	0.026456932	Yes	
row_1	Rsad2	radical S-adenosyl methionine domain containing 2 [Source:MGI Symbol;Acc:MGI:1929628]	9	3.6838767528533936	0.048846267	Yes	
row_2	Irf7	interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]	21	3.3449161052703857	0.06892586	Yes	
row_3	Dhx58	DEXH (Asp-Glu-X-His) box polypeptide 58 [Source:MGI Symbol;Acc:MGI:1931560]	29	3.2233541011810303	0.0884376	Yes	
row_4	Ddx60	DExD/H box helicase 60 [Source:MGI Symbol;Acc:MGI:2384570]	32	3.200589179992676	0.10803415	Yes	
row_5	Cd86	CD86 antigen [Source:MGI Symbol;Acc:MGI:101773]	39	3.1125850677490234	0.12690952	Yes	
row_6	Scimp	SLP adaptor and CSK interacting membrane protein [Source:MGI Symbol;Acc:MGI:3610314]	52	2.9619243144989014	0.14458841	Yes	
row_7	Gm12250	predicted gene 12250 [Source:MGI Symbol;Acc:MGI:3649299]	63	2.8692069053649902	0.16178693	Yes	
row_8	Oas1b	2'-5' oligoadenylate synthetase 1B [Source:MGI Symbol;Acc:MGI:97430]	92	2.6617660522460938	0.17690012	Yes	
row_9	Igtp	interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729]	95	2.643606185913086	0.19307072	Yes	
row_10	Nlrc3	NLR family, CARD domain containing 3 [Source:MGI Symbol;Acc:MGI:2444070]	101	2.6223740577697754	0.20897584	Yes	
row_11	Trim30a	tripartite motif-containing 30A [Source:MGI Symbol;Acc:MGI:98178]	114	2.5716850757598877	0.2242544	Yes	
row_12	Colec12	collectin sub-family member 12 [Source:MGI Symbol;Acc:MGI:2152907]	118	2.5474328994750977	0.23978849	Yes	
row_13	Tnf	tumor necrosis factor [Source:MGI Symbol;Acc:MGI:104798]	127	2.5261034965515137	0.25496656	Yes	
row_14	Oas3	2'-5' oligoadenylate synthetase 3 [Source:MGI Symbol;Acc:MGI:2180850]	150	2.4026918411254883	0.268756	Yes	
row_15	Irgm2	immunity-related GTPase family M member 2 [Source:MGI Symbol;Acc:MGI:1926262]	165	2.359452247619629	0.2826392	Yes	
row_16	Nod2	nucleotide-binding oligomerization domain containing 2 [Source:MGI Symbol;Acc:MGI:2429397]	167	2.3582799434661865	0.29709977	Yes	
row_17	Gbp2	guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]	193	2.271752119064331	0.30994892	Yes	
row_18	Irf1	interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]	226	2.1873421669006348	0.32196411	Yes	
row_19	Myd88	myeloid differentiation primary response gene 88 [Source:MGI Symbol;Acc:MGI:108005]	242	2.123893976211548	0.33435348	Yes	
row_20	Irgm1	immunity-related GTPase family M member 1 [Source:MGI Symbol;Acc:MGI:107567]	250	2.1035046577453613	0.34697714	Yes	
row_21	Cd36	CD36 molecule [Source:MGI Symbol;Acc:MGI:107899]	274	2.033891201019287	0.35845315	Yes	
row_22	Nlrp3	NLR family, pyrin domain containing 3 [Source:MGI Symbol;Acc:MGI:2653833]	283	2.025221586227417	0.37055036	Yes	
row_23	Casp4	caspase 4, apoptosis-related cysteine peptidase [Source:MGI Symbol;Acc:MGI:107700]	291	2.009270191192627	0.3825944	Yes	
row_24	Unc93b1	unc-93 homolog B1, TLR signaling regulator [Source:MGI Symbol;Acc:MGI:1859307]	305	1.9928171634674072	0.39426744	Yes	
row_25	Slc15a3	solute carrier family 15, member 3 [Source:MGI Symbol;Acc:MGI:1929691]	319	1.9648847579956055	0.4057687	Yes	
row_26	Oas1a	2'-5' oligoadenylate synthetase 1A [Source:MGI Symbol;Acc:MGI:2180860]	355	1.8884226083755493	0.41581035	Yes	
row_27	Zc3hav1	zinc finger CCCH type, antiviral 1 [Source:MGI Symbol;Acc:MGI:1926031]	379	1.8341647386550903	0.42605788	Yes	
row_28	Lacc1	laccase domain containing 1 [Source:MGI Symbol;Acc:MGI:2445077]	384	1.8283635377883911	0.4371241	Yes	
row_29	Cgas	cyclic GMP-AMP synthase [Source:MGI Symbol;Acc:MGI:2442261]	385	1.8281912803649902	0.4483691	Yes	
row_30	Tasl	TLR adaptor interacting with endolysosomal SLC15A4 [Source:MGI Symbol;Acc:MGI:1918648]	415	1.7852177619934082	0.45804575	Yes	
row_31	Tnfaip3	tumor necrosis factor, alpha-induced protein 3 [Source:MGI Symbol;Acc:MGI:1196377]	418	1.7840964794158936	0.46892962	Yes	
row_32	Pik3ap1	phosphoinositide-3-kinase adaptor protein 1 [Source:MGI Symbol;Acc:MGI:1933177]	420	1.7830792665481567	0.47985217	Yes	
row_33	Tnip2	TNFAIP3 interacting protein 2 [Source:MGI Symbol;Acc:MGI:2386643]	424	1.7786554098129272	0.4906576	Yes	
row_34	Rigi	RNA sensor RIG-I [Source:MGI Symbol;Acc:MGI:2442858]	464	1.7332141399383545	0.49956474	Yes	
