NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Il1b	interleukin 1 beta [Source:MGI Symbol;Acc:MGI:96543]	0	4.553514003753662	0.00917462	Yes	
row_1	Oasl1	2'-5' oligoadenylate synthetase-like 1 [Source:MGI Symbol;Acc:MGI:2180849]	2	4.315937042236328	0.01782494	Yes	
row_2	Ikbke	inhibitor of kappaB kinase epsilon [Source:MGI Symbol;Acc:MGI:1929612]	6	3.995681047439575	0.025738759	Yes	
row_3	H2-Q4	histocompatibility 2, Q region locus 4 [Source:MGI Symbol;Acc:MGI:95933]	8	3.717456340789795	0.033183236	Yes	
row_4	Rsad2	radical S-adenosyl methionine domain containing 2 [Source:MGI Symbol;Acc:MGI:1929628]	9	3.6838767528533936	0.04060567	Yes	
row_5	Clec4n	C-type lectin domain family 4, member n [Source:MGI Symbol;Acc:MGI:1861231]	12	3.4293813705444336	0.047424104	Yes	
row_6	H2-Q6	histocompatibility 2, Q region locus 6 [Source:MGI Symbol;Acc:MGI:95935]	13	3.4210965633392334	0.05431708	Yes	
row_7	Ifi211	interferon activated gene 211 [Source:MGI Symbol;Acc:MGI:3041120]	20	3.3519978523254395	0.06079712	Yes	
row_8	Irf7	interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]	21	3.3449161052703857	0.06753661	Yes	
row_9	Dhx58	DEXH (Asp-Glu-X-His) box polypeptide 58 [Source:MGI Symbol;Acc:MGI:1931560]	29	3.2233541011810303	0.073711835	Yes	
row_10	Ddx60	DExD/H box helicase 60 [Source:MGI Symbol;Acc:MGI:2384570]	32	3.200589179992676	0.08006928	Yes	
row_11	H2-M2	histocompatibility 2, M region locus 2 [Source:MGI Symbol;Acc:MGI:95914]	38	3.1185615062713623	0.08612461	Yes	
row_12	Cd86	CD86 antigen [Source:MGI Symbol;Acc:MGI:101773]	39	3.1125850677490234	0.092395976	Yes	
row_13	Ifi209	interferon activated gene 209 [Source:MGI Symbol;Acc:MGI:2138243]	42	3.047785520553589	0.09844555	Yes	
row_14	Tlr1	toll-like receptor 1 [Source:MGI Symbol;Acc:MGI:1341295]	43	3.035881996154785	0.10456238	Yes	
row_15	Nupr1	nuclear protein transcription regulator 1 [Source:MGI Symbol;Acc:MGI:1891834]	44	3.033252477645874	0.11067391	Yes	
row_16	Ptger4	prostaglandin E receptor 4 (subtype EP4) [Source:MGI Symbol;Acc:MGI:104311]	50	2.9778435230255127	0.11644571	Yes	
row_17	Scimp	SLP adaptor and CSK interacting membrane protein [Source:MGI Symbol;Acc:MGI:3610314]	52	2.9619243144989014	0.1223679	Yes	
row_18	Clec7a	C-type lectin domain family 7, member a [Source:MGI Symbol;Acc:MGI:1861431]	58	2.911472797393799	0.12800598	Yes	
row_19	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated) [Source:MGI Symbol;Acc:MGI:96534]	59	2.8837435245513916	0.13381627	Yes	
row_20	Gm12250	predicted gene 12250 [Source:MGI Symbol;Acc:MGI:3649299]	63	2.8692069053649902	0.13946041	Yes	
row_21	H2-K1	histocompatibility 2, K1, K region [Source:MGI Symbol;Acc:MGI:95904]	64	2.86655855178833	0.14523609	Yes	
row_22	Trim30c	tripartite motif-containing 30C [Source:MGI Symbol;Acc:MGI:4821257]	66	2.8589673042297363	0.15095083	Yes	
row_23	Ifi214	interferon activated gene 214 [Source:MGI Symbol;Acc:MGI:3584522]	70	2.828890562057495	0.15651377	Yes	
row_24	Ifi204	interferon activated gene 204 [Source:MGI Symbol;Acc:MGI:96429]	72	2.805983781814575	0.16212176	Yes	
row_25	Oas1b	2'-5' oligoadenylate synthetase 1B [Source:MGI Symbol;Acc:MGI:97430]	92	2.6617660522460938	0.16661805	Yes	
row_26	Igtp	interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729]	95	2.643606185913086	0.17185327	Yes	
row_27	Nlrc3	NLR family, CARD domain containing 3 [Source:MGI Symbol;Acc:MGI:2444070]	101	2.6223740577697754	0.17690885	Yes	
row_28	Ccl5	chemokine (C-C motif) ligand 5 [Source:MGI Symbol;Acc:MGI:98262]	104	2.607856512069702	0.18207204	Yes	
row_29	Ifi205	interferon activated gene 205 [Source:MGI Symbol;Acc:MGI:101847]	110	2.5839157104492188	0.18705013	Yes	
row_30	Trim30a	tripartite motif-containing 30A [Source:MGI Symbol;Acc:MGI:98178]	114	2.5716850757598877	0.19209482	Yes	
row_31	Colec12	collectin sub-family member 12 [Source:MGI Symbol;Acc:MGI:2152907]	118	2.5474328994750977	0.19709066	Yes	
row_32	Ccl24	chemokine (C-C motif) ligand 24 [Source:MGI Symbol;Acc:MGI:1928953]	121	2.534881353378296	0.2021068	Yes	
row_33	Ifi206	interferon activated gene 206 [Source:MGI Symbol;Acc:MGI:3646410]	122	2.533982038497925	0.20721237	Yes	
row_34	Tnf	tumor necrosis factor [Source:MGI Symbol;Acc:MGI:104798]	127	2.5261034965515137	0.21211961	Yes	
row_35	Cd14	CD14 antigen [Source:MGI Symbol;Acc:MGI:88318]	129	2.517256021499634	0.21714588	Yes	
row_36	Ifi203	interferon activated gene 203 [Source:MGI Symbol;Acc:MGI:96428]	130	2.515658140182495	0.22221453	Yes	
row_37	H2-D1	histocompatibility 2, D region locus 1 [Source:MGI Symbol;Acc:MGI:95896]	147	2.4097537994384766	0.2263399	Yes	
row_38	Lag3	lymphocyte-activation gene 3 [Source:MGI Symbol;Acc:MGI:106588]	149	2.4054253101348877	0.23114085	Yes	
row_39	Oas3	2'-5' oligoadenylate synthetase 3 [Source:MGI Symbol;Acc:MGI:2180850]	150	2.4026918411254883	0.2359819	Yes	
row_40	Irgm2	immunity-related GTPase family M member 2 [Source:MGI Symbol;Acc:MGI:1926262]	165	2.359452247619629	0.24009717	Yes	
row_41	Nod2	nucleotide-binding oligomerization domain containing 2 [Source:MGI Symbol;Acc:MGI:2429397]	167	2.3582799434661865	0.24480312	Yes	
row_42	H2-T23	histocompatibility 2, T region locus 23 [Source:MGI Symbol;Acc:MGI:95957]	169	2.3377151489257812	0.24946763	Yes	
row_43	Ctss	cathepsin S [Source:MGI Symbol;Acc:MGI:107341]	172	2.324878454208374	0.25406066	Yes	
row_44	Tnip3	TNFAIP3 interacting protein 3 [Source:MGI Symbol;Acc:MGI:3041165]	174	2.3210182189941406	0.25869152	Yes	
row_45	Fcgr1	Fc receptor, IgG, high affinity I [Source:MGI Symbol;Acc:MGI:95498]	188	2.2911596298217773	0.26271483	Yes	
row_46	Gbp2	guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]	193	2.271752119064331	0.26710957	Yes	
row_47	Nmi	N-myc (and STAT) interactor [Source:MGI Symbol;Acc:MGI:1928368]	194	2.2671127319335938	0.27167746	Yes	
row_48	Lyn	LYN proto-oncogene, Src family tyrosine kinase [Source:MGI Symbol;Acc:MGI:96892]	200	2.2551956176757812	0.27599323	Yes	
row_49	Zbp1	Z-DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1927449]	204	2.243920087814331	0.2803775	Yes	
row_50	Cd40	CD40 antigen [Source:MGI Symbol;Acc:MGI:88336]	205	2.2421929836273193	0.28489518	Yes	
row_51	Parp9	poly (ADP-ribose) polymerase family, member 9 [Source:MGI Symbol;Acc:MGI:1933117]	213	2.218306303024292	0.2890454	Yes	
row_52	H2-T10	histocompatibility 2, T region locus 10 [Source:MGI Symbol;Acc:MGI:95942]	222	2.196104049682617	0.29310527	Yes	
row_53	Irf1	interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]	226	2.1873421669006348	0.29737556	Yes	
row_54	Nlrc5	NLR family, CARD domain containing 5 [Source:MGI Symbol;Acc:MGI:3612191]	235	2.1447503566741943	0.30133194	Yes	
row_55	Myd88	myeloid differentiation primary response gene 88 [Source:MGI Symbol;Acc:MGI:108005]	242	2.123893976211548	0.30533755	Yes	
row_56	Gsdmd	gasdermin D [Source:MGI Symbol;Acc:MGI:1916396]	246	2.1108624935150146	0.30945376	Yes	
row_57	Irgm1	immunity-related GTPase family M member 1 [Source:MGI Symbol;Acc:MGI:107567]	250	2.1035046577453613	0.31355515	Yes	
row_58	Ifi35	interferon-induced protein 35 [Source:MGI Symbol;Acc:MGI:1917360]	265	2.065082550048828	0.3170773	Yes	
row_59	Sh2d1b1	SH2 domain containing 1B1 [Source:MGI Symbol;Acc:MGI:1349420]	267	2.057333469390869	0.3211769	Yes	
row_60	Arrb2	arrestin, beta 2 [Source:MGI Symbol;Acc:MGI:99474]	270	2.050076723098755	0.32521623	Yes	
row_61	Acod1	aconitate decarboxylase 1 [Source:MGI Symbol;Acc:MGI:103206]	272	2.047245979309082	0.3292955	Yes	
row_62	Cd36	CD36 molecule [Source:MGI Symbol;Acc:MGI:107899]	274	2.033891201019287	0.33334786	Yes	
row_63	Nlrp3	NLR family, pyrin domain containing 3 [Source:MGI Symbol;Acc:MGI:2653833]	283	2.025221586227417	0.3370634	Yes	
row_64	Trim5	tripartite motif-containing 5 [Source:MGI Symbol;Acc:MGI:3646853]	286	2.019533395767212	0.3410412	Yes	
row_65	Lgals9	lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]	287	2.0174989700317383	0.34510615	Yes	
row_66	Vav1	vav 1 oncogene [Source:MGI Symbol;Acc:MGI:98923]	290	2.0110762119293213	0.34906694	Yes	
row_67	Casp4	caspase 4, apoptosis-related cysteine peptidase [Source:MGI Symbol;Acc:MGI:107700]	291	2.009270191192627	0.3531153	Yes	
row_68	Trim30d	tripartite motif-containing 30D [Source:MGI Symbol;Acc:MGI:3035181]	294	2.006635904312134	0.3570671	Yes	
row_69	Ccr5	chemokine (C-C motif) receptor 5 [Source:MGI Symbol;Acc:MGI:107182]	302	1.9982730150222778	0.360774	Yes	
row_70	Unc93b1	unc-93 homolog B1, TLR signaling regulator [Source:MGI Symbol;Acc:MGI:1859307]	305	1.9928171634674072	0.36469796	Yes	
row_71	Cd300lf	CD300 molecule like family member F [Source:MGI Symbol;Acc:MGI:2442359]	313	1.974982500076294	0.36835793	Yes	
row_72	Slc15a3	solute carrier family 15, member 3 [Source:MGI Symbol;Acc:MGI:1929691]	319	1.9648847579956055	0.37208876	Yes	
row_73	H2-Q7	histocompatibility 2, Q region locus 7 [Source:MGI Symbol;Acc:MGI:95936]	322	1.953878402709961	0.3759343	Yes	
row_74	Trim30b	tripartite motif-containing 30B [Source:MGI Symbol;Acc:MGI:4821256]	326	1.9499837160110474	0.37972635	Yes	
row_75	Tlr2	toll-like receptor 2 [Source:MGI Symbol;Acc:MGI:1346060]	332	1.9407626390457153	0.3834086	Yes	
row_76	Ifi213	interferon activated gene 213 [Source:MGI Symbol;Acc:MGI:3695276]	337	1.9310611486434937	0.3871169	Yes	
row_77	Trim12a	tripartite motif-containing 12A [Source:MGI Symbol;Acc:MGI:1923931]	348	1.9040340185165405	0.39049706	Yes	
row_78	Oas1a	2'-5' oligoadenylate synthetase 1A [Source:MGI Symbol;Acc:MGI:2180860]	355	1.8884226083755493	0.39402822	Yes	
row_79	Nr1h3	nuclear receptor subfamily 1, group H, member 3 [Source:MGI Symbol;Acc:MGI:1352462]	370	1.859959363937378	0.3971371	Yes	
row_80	Zc3hav1	zinc finger CCCH type, antiviral 1 [Source:MGI Symbol;Acc:MGI:1926031]	379	1.8341647386550903	0.4004677	Yes	
row_81	Lacc1	laccase domain containing 1 [Source:MGI Symbol;Acc:MGI:2445077]	384	1.8283635377883911	0.4039691	Yes	
row_82	Cgas	cyclic GMP-AMP synthase [Source:MGI Symbol;Acc:MGI:2442261]	385	1.8281912803649902	0.40765262	Yes	
row_83	Fpr2	formyl peptide receptor 2 [Source:MGI Symbol;Acc:MGI:1278319]	389	1.8226659297943115	0.41118816	Yes	
row_84	Casp1	caspase 1 [Source:MGI Symbol;Acc:MGI:96544]	393	1.8158252239227295	0.4147099	Yes	
row_85	Card9	caspase recruitment domain family, member 9 [Source:MGI Symbol;Acc:MGI:2685628]	399	1.8089077472686768	0.41812646	Yes	
row_86	Tnfrsf11a	tumor necrosis factor receptor superfamily, member 11a, NFKB activator [Source:MGI Symbol;Acc:MGI:1314891]	401	1.8070281744003296	0.42172173	Yes	
row_87	Gpsm3	G-protein signalling modulator 3 (AGS3-like, C. elegans) [Source:MGI Symbol;Acc:MGI:2146785]	409	1.7914659976959229	0.42501193	Yes	
row_88	Csf1r	colony stimulating factor 1 receptor [Source:MGI Symbol;Acc:MGI:1339758]	413	1.7877168655395508	0.42847705	Yes	
row_89	Tasl	TLR adaptor interacting with endolysosomal SLC15A4 [Source:MGI Symbol;Acc:MGI:1918648]	415	1.7852177619934082	0.43202835	Yes	
row_90	Tnfaip3	tumor necrosis factor, alpha-induced protein 3 [Source:MGI Symbol;Acc:MGI:1196377]	418	1.7840964794158936	0.4355318	Yes	
row_91	Pik3ap1	phosphoinositide-3-kinase adaptor protein 1 [Source:MGI Symbol;Acc:MGI:1933177]	420	1.7830792665481567	0.4390788	Yes	
