NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Actb	actin, beta [Source:MGI Symbol;Acc:MGI:87904]	1171	1.196276068687439	-0.040883034	No	
row_1	Lcp1	lymphocyte cytosolic protein 1 [Source:MGI Symbol;Acc:MGI:104808]	1201	1.1808916330337524	-0.0306663	No	
row_2	Tpm3	tropomyosin 3, gamma [Source:MGI Symbol;Acc:MGI:1890149]	1282	1.154291033744812	-0.02299776	No	
row_3	Fhod1	formin homology 2 domain containing 1 [Source:MGI Symbol;Acc:MGI:2679008]	1679	0.9967929720878601	-0.031046638	No	
row_4	Pxn	paxillin [Source:MGI Symbol;Acc:MGI:108295]	1773	0.966361403465271	-0.02579453	No	
row_5	Coro1b	coronin, actin binding protein 1B [Source:MGI Symbol;Acc:MGI:1345963]	1878	0.940207302570343	-0.021291174	No	
row_6	Fscn1	fascin actin-bundling protein 1 [Source:MGI Symbol;Acc:MGI:1352745]	2071	0.9008218050003052	-0.021121176	No	
row_7	Fhl3	four and a half LIM domains 3 [Source:MGI Symbol;Acc:MGI:1341092]	2730	0.7694113254547119	-0.04314573	No	
row_8	Septin7	septin 7 [Source:MGI Symbol;Acc:MGI:1335094]	3255	0.6868954300880432	-0.059961576	No	
row_9	Sh2b2	SH2B adaptor protein 2 [Source:MGI Symbol;Acc:MGI:1345171]	4456	0.5327550172805786	-0.1086179	No	
row_10	Pstpip1	proline-serine-threonine phosphatase-interacting protein 1 [Source:MGI Symbol;Acc:MGI:1321396]	4467	0.5319134593009949	-0.1038785	No	
row_11	Dctn4	dynactin 4 [Source:MGI Symbol;Acc:MGI:1914915]	5106	0.46121612191200256	-0.12801158	No	
row_12	Cyba	cytochrome b-245, alpha polypeptide [Source:MGI Symbol;Acc:MGI:1316658]	5400	0.43293941020965576	-0.13693781	No	
row_13	Vangl2	VANGL planar cell polarity 2 [Source:MGI Symbol;Acc:MGI:2135272]	5416	0.4316566288471222	-0.13340068	No	
row_14	Tlnrd1	talin rod domain containing 1 [Source:MGI Symbol;Acc:MGI:1891420]	5644	0.40873053669929504	-0.13960114	No	
row_15	Tpm4	tropomyosin 4 [Source:MGI Symbol;Acc:MGI:2449202]	5735	0.40014517307281494	-0.13973716	No	
row_16	Myl12b	myosin, light chain 12B, regulatory [Source:MGI Symbol;Acc:MGI:107494]	6007	0.3733311891555786	-0.14825751	No	
row_17	Dst	dystonin [Source:MGI Symbol;Acc:MGI:104627]	6149	0.35970064997673035	-0.15107675	No	
row_18	Klhl2	kelch-like 2, Mayven [Source:MGI Symbol;Acc:MGI:1924363]	8235	0.1813189834356308	-0.24287729	No	
row_19	Pdcd6ip	programmed cell death 6 interacting protein [Source:MGI Symbol;Acc:MGI:1333753]	8299	0.17667032778263092	-0.24398135	No	
row_20	Stx1a	syntaxin 1A (brain) [Source:MGI Symbol;Acc:MGI:109355]	8613	0.1516682207584381	-0.25654858	No	
row_21	Prickle4	prickle planar cell polarity protein 4 [Source:MGI Symbol;Acc:MGI:2685785]	10051	0.035840924829244614	-0.32068762	No	
row_22	Anxa2	annexin A2 [Source:MGI Symbol;Acc:MGI:88246]	10249	0.020286304876208305	-0.32933056	No	
row_23	Pdlim4	PDZ and LIM domain 4 [Source:MGI Symbol;Acc:MGI:1353470]	10280	0.01743958704173565	-0.3305068	No	
row_24	Ilk	integrin linked kinase [Source:MGI Symbol;Acc:MGI:1195267]	10632	-0.009659095667302608	-0.3461645	No	
row_25	Septin11	septin 11 [Source:MGI Symbol;Acc:MGI:1277214]	11135	-0.04902021959424019	-0.36821476	No	
row_26	Mst1r	macrophage stimulating 1 receptor (c-met-related tyrosine kinase) [Source:MGI Symbol;Acc:MGI:99614]	11621	-0.09128410369157791	-0.38908985	No	
row_27	Lpp	LIM domain containing preferred translocation partner in lipoma [Source:MGI Symbol;Acc:MGI:2441849]	12267	-0.1455167680978775	-0.41661635	No	
row_28	Zyx	zyxin [Source:MGI Symbol;Acc:MGI:103072]	12305	-0.147963285446167	-0.4168336	No	
row_29	Fblim1	filamin binding LIM protein 1 [Source:MGI Symbol;Acc:MGI:1921452]	12386	-0.15533995628356934	-0.41890863	No	
row_30	Kat2b	K(lysine) acetyltransferase 2B [Source:MGI Symbol;Acc:MGI:1343094]	12765	-0.18549084663391113	-0.434063	No	
row_31	Bag3	BCL2-associated athanogene 3 [Source:MGI Symbol;Acc:MGI:1352493]	13274	-0.22976520657539368	-0.45461956	No	
row_32	Myh6	myosin, heavy polypeptide 6, cardiac muscle, alpha [Source:MGI Symbol;Acc:MGI:97255]	13548	-0.2522391378879547	-0.46441075	No	
row_33	Myo5a	myosin VA [Source:MGI Symbol;Acc:MGI:105976]	13669	-0.26241379976272583	-0.4672365	No	
row_34	Myl12a	myosin, light chain 12A, regulatory, non-sarcomeric [Source:MGI Symbol;Acc:MGI:1914518]	14332	-0.32838311791419983	-0.49374226	No	
row_35	Ablim3	actin binding LIM protein family, member 3 [Source:MGI Symbol;Acc:MGI:2442582]	14608	-0.35480019450187683	-0.50262284	No	
row_36	Ptpn11	protein tyrosine phosphatase, non-receptor type 11 [Source:MGI Symbol;Acc:MGI:99511]	15339	-0.4296799898147583	-0.53119224	No	
row_37	Hdac4	histone deacetylase 4 [Source:MGI Symbol;Acc:MGI:3036234]	15532	-0.44933661818504333	-0.53542596	No	
row_38	Tek	TEK receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:98664]	15788	-0.47869399189949036	-0.54220057	No	
row_39	Pdlim5	PDZ and LIM domain 5 [Source:MGI Symbol;Acc:MGI:1927489]	15907	-0.4932703971862793	-0.5426848	No	
row_40	Gas2l1	growth arrest-specific 2 like 1 [Source:MGI Symbol;Acc:MGI:1926176]	16127	-0.52055823802948	-0.5474355	No	
row_41	Synpo2	synaptopodin 2 [Source:MGI Symbol;Acc:MGI:2153070]	16905	-0.6220003366470337	-0.5762383	No	
row_42	Fermt2	fermitin family member 2 [Source:MGI Symbol;Acc:MGI:2385001]	17383	-0.6826246976852417	-0.59098655	No	
row_43	Trip6	thyroid hormone receptor interactor 6 [Source:MGI Symbol;Acc:MGI:1343458]	17766	-0.7454519271850586	-0.6008587	No	
row_44	Septin5	septin 5 [Source:MGI Symbol;Acc:MGI:1195461]	17882	-0.7649024724960327	-0.59855884	No	
row_45	Daam1	dishevelled associated activator of morphogenesis 1 [Source:MGI Symbol;Acc:MGI:1914596]	17908	-0.7694700956344604	-0.59217554	No	
row_46	Tpm1	tropomyosin 1, alpha [Source:MGI Symbol;Acc:MGI:98809]	18287	-0.8340601921081543	-0.6010039	Yes	
row_47	Cdc42bpb	CDC42 binding protein kinase beta [Source:MGI Symbol;Acc:MGI:2136459]	18304	-0.8367917537689209	-0.59356004	Yes	
row_48	Pdlim2	PDZ and LIM domain 2 [Source:MGI Symbol;Acc:MGI:2384850]	18350	-0.8458125591278076	-0.5873296	Yes	
row_49	Sipa1l3	signal-induced proliferation-associated 1 like 3 [Source:MGI Symbol;Acc:MGI:1921456]	18497	-0.8732912540435791	-0.5853638	Yes	
row_50	Xirp1	xin actin-binding repeat containing 1 [Source:MGI Symbol;Acc:MGI:1333878]	18531	-0.8812623620033264	-0.5782491	Yes	
row_51	Enah	ENAH actin regulator [Source:MGI Symbol;Acc:MGI:108360]	18568	-0.8875337839126587	-0.5712078	Yes	
row_52	Sorbs1	sorbin and SH3 domain containing 1 [Source:MGI Symbol;Acc:MGI:700014]	18744	-0.9207205176353455	-0.5700808	Yes	
row_53	Ptk2	PTK2 protein tyrosine kinase 2 [Source:MGI Symbol;Acc:MGI:95481]	18765	-0.9236833453178406	-0.561969	Yes	
row_54	Lurap1	leucine rich adaptor protein 1 [Source:MGI Symbol;Acc:MGI:1915325]	18994	-0.9688137173652649	-0.56275135	Yes	
row_55	Shroom4	shroom family member 4 [Source:MGI Symbol;Acc:MGI:2685570]	19082	-0.9898372292518616	-0.557001	Yes	
row_56	Palld	palladin, cytoskeletal associated protein [Source:MGI Symbol;Acc:MGI:1919583]	19202	-1.018937587738037	-0.5524029	Yes	
row_57	Cnn2	calponin 2 [Source:MGI Symbol;Acc:MGI:105093]	19284	-1.0361042022705078	-0.545932	Yes	
row_58	Myh9	myosin, heavy polypeptide 9, non-muscle [Source:MGI Symbol;Acc:MGI:107717]	19362	-1.0576306581497192	-0.5390716	Yes	
row_59	Septin9	septin 9 [Source:MGI Symbol;Acc:MGI:1858222]	19630	-1.1238635778427124	-0.54009193	Yes	
