NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Comp	cartilage oligomeric matrix protein [Source:MGI Symbol;Acc:MGI:88469]	37	3.167114496231079	0.020685969	No	
row_1	Tgfbi	transforming growth factor, beta induced [Source:MGI Symbol;Acc:MGI:99959]	210	2.228189706802368	0.028681314	No	
row_2	Postn	periostin, osteoblast specific factor [Source:MGI Symbol;Acc:MGI:1926321]	380	1.8331278562545776	0.034023743	No	
row_3	Emilin2	elastin microfibril interfacer 2 [Source:MGI Symbol;Acc:MGI:2389136]	577	1.6298998594284058	0.03671908	No	
row_4	Agrn	agrin [Source:MGI Symbol;Acc:MGI:87961]	902	1.3534717559814453	0.031713095	No	
row_5	Col27a1	collagen, type XXVII, alpha 1 [Source:MGI Symbol;Acc:MGI:2672118]	1505	1.0600996017456055	0.012147082	No	
row_6	Dcn	decorin [Source:MGI Symbol;Acc:MGI:94872]	3379	0.6711037755012512	-0.06726689	No	
row_7	Dpt	dermatopontin [Source:MGI Symbol;Acc:MGI:1928392]	3582	0.6440656781196594	-0.07179752	No	
row_8	Col10a1	collagen, type X, alpha 1 [Source:MGI Symbol;Acc:MGI:88445]	3645	0.6349405646324158	-0.07010267	No	
row_9	Mfap1a	microfibrillar-associated protein 1A [Source:MGI Symbol;Acc:MGI:1914782]	4465	0.5319372415542603	-0.103144884	No	
row_10	Vwa5a	von Willebrand factor A domain containing 5A [Source:MGI Symbol;Acc:MGI:1915026]	4481	0.5307112336158752	-0.10007391	No	
row_11	Col13a1	collagen, type XIII, alpha 1 [Source:MGI Symbol;Acc:MGI:1277201]	4606	0.5153266191482544	-0.10200862	No	
row_12	Fn1	fibronectin 1 [Source:MGI Symbol;Acc:MGI:95566]	4806	0.4922136664390564	-0.10747599	No	
row_13	Col15a1	collagen, type XV, alpha 1 [Source:MGI Symbol;Acc:MGI:88449]	5848	0.38823768496513367	-0.15150614	No	
row_14	Lamb3	laminin, beta 3 [Source:MGI Symbol;Acc:MGI:99915]	6056	0.36862418055534363	-0.15820503	No	
row_15	Aspn	asporin [Source:MGI Symbol;Acc:MGI:1913945]	6359	0.3391258716583252	-0.16938019	No	
row_16	Abi3bp	ABI family member 3 binding protein [Source:MGI Symbol;Acc:MGI:2444583]	6533	0.32270896434783936	-0.17487553	No	
row_17	Mfap1b	microfibrillar-associated protein 1B [Source:MGI Symbol;Acc:MGI:3694697]	7105	0.27561038732528687	-0.19858442	No	
