NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Lgals3bp	lectin, galactoside-binding, soluble, 3 binding protein [Source:MGI Symbol;Acc:MGI:99554]	26	3.2735393047332764	0.027189462	No	
row_1	Tgfbi	transforming growth factor, beta induced [Source:MGI Symbol;Acc:MGI:99959]	210	2.228189706802368	0.038275767	No	
row_2	Ctsc	cathepsin C [Source:MGI Symbol;Acc:MGI:109553]	512	1.690800428390503	0.03940982	No	
row_3	Itgb5	integrin beta 5 [Source:MGI Symbol;Acc:MGI:96614]	2105	0.8902615308761597	-0.024345446	No	
row_4	Txnip	thioredoxin interacting protein [Source:MGI Symbol;Acc:MGI:1889549]	2368	0.8382462859153748	-0.028845778	No	
row_5	Cped1	cadherin-like and PC-esterase domain containing 1 [Source:MGI Symbol;Acc:MGI:2444814]	3038	0.7189794778823853	-0.052650027	No	
row_6	Rbm47	RNA binding motif protein 47 [Source:MGI Symbol;Acc:MGI:2384294]	3102	0.70921790599823	-0.049334668	No	
row_7	Pbxip1	pre B cell leukemia transcription factor interacting protein 1 [Source:MGI Symbol;Acc:MGI:2441670]	4293	0.5528095960617065	-0.097966745	No	
row_8	Rnaset2a	ribonuclease T2A [Source:MGI Symbol;Acc:MGI:1915445]	4339	0.5472349524497986	-0.0952465	No	
row_9	Dusp22	dual specificity phosphatase 22 [Source:MGI Symbol;Acc:MGI:1915926]	4589	0.5177671313285828	-0.10193935	No	
row_10	Cfh	complement component factor h [Source:MGI Symbol;Acc:MGI:88385]	5182	0.45306867361068726	-0.12459039	No	
row_11	Tmprss11a	transmembrane protease, serine 11a [Source:MGI Symbol;Acc:MGI:2684853]	5192	0.45230287313461304	-0.12107639	No	
row_12	Stra6	stimulated by retinoic acid gene 6 [Source:MGI Symbol;Acc:MGI:107742]	6697	0.30740928649902344	-0.1859301	No	
row_13	Lrp10	low-density lipoprotein receptor-related protein 10 [Source:MGI Symbol;Acc:MGI:1929480]	6767	0.3025222420692444	-0.18640704	No	
row_14	Mroh7	maestro heat-like repeat family member 7 [Source:MGI Symbol;Acc:MGI:2685873]	6787	0.30114564299583435	-0.18465135	No	
row_15	Cpq	carboxypeptidase Q [Source:MGI Symbol;Acc:MGI:1889205]	7018	0.28242263197898865	-0.1925299	No	
row_16	Tbc1d9	TBC1 domain family, member 9 [Source:MGI Symbol;Acc:MGI:1918560]	7998	0.20202575623989105	-0.23472853	No	
row_17	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1 [Source:MGI Symbol;Acc:MGI:87874]	8533	0.15756769478321075	-0.2573356	No	
row_18	Tcn2	transcobalamin 2 [Source:MGI Symbol;Acc:MGI:98534]	9636	0.06817149370908737	-0.30621535	No	
row_19	Myo7a	myosin VIIA [Source:MGI Symbol;Acc:MGI:104510]	9721	0.06200611591339111	-0.3094491	No	
row_20	Slc6a20a	solute carrier family 6 (neurotransmitter transporter), member 20A [Source:MGI Symbol;Acc:MGI:2143217]	9885	0.048639919608831406	-0.31634507	No	
