NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cd72	CD72 antigen [Source:MGI Symbol;Acc:MGI:88345]	7	3.9265642166137695	0.011224031	Yes	
row_1	H2-Q4	histocompatibility 2, Q region locus 4 [Source:MGI Symbol;Acc:MGI:95933]	8	3.717456340789795	0.02214973	Yes	
row_2	Cmpk2	cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:99830]	11	3.430480718612671	0.032141645	Yes	
row_3	Srgn	serglycin [Source:MGI Symbol;Acc:MGI:97756]	14	3.4198224544525146	0.042102236	Yes	
row_4	Uba7	ubiquitin-like modifier activating enzyme 7 [Source:MGI Symbol;Acc:MGI:1349462]	15	3.415318250656128	0.05213994	Yes	
row_5	H2-T24	histocompatibility 2, T region locus 24 [Source:MGI Symbol;Acc:MGI:95958]	17	3.389744520187378	0.062057313	Yes	
row_6	Ifit3	interferon-induced protein with tetratricopeptide repeats 3 [Source:MGI Symbol;Acc:MGI:1101055]	19	3.3696792125701904	0.07191571	Yes	
row_7	Irf7	interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]	21	3.3449161052703857	0.08170132	Yes	
row_8	Isg15	ISG15 ubiquitin-like modifier [Source:MGI Symbol;Acc:MGI:1855694]	23	3.3169949054718018	0.09140488	Yes	
row_9	Lgals3bp	lectin, galactoside-binding, soluble, 3 binding protein [Source:MGI Symbol;Acc:MGI:99554]	26	3.2735393047332764	0.10093554	Yes	
row_10	Lst1	leukocyte specific transcript 1 [Source:MGI Symbol;Acc:MGI:1096324]	33	3.1865875720977783	0.110029936	Yes	
row_11	Cxcl2	chemokine (C-X-C motif) ligand 2 [Source:MGI Symbol;Acc:MGI:1340094]	34	3.1810102462768555	0.11937901	Yes	
row_12	Nupr1	nuclear protein transcription regulator 1 [Source:MGI Symbol;Acc:MGI:1891834]	44	3.033252477645874	0.12788722	Yes	
row_13	Glrx	glutaredoxin [Source:MGI Symbol;Acc:MGI:2135625]	45	3.0242373943328857	0.13677552	Yes	
row_14	Iigp1	interferon inducible GTPase 1 [Source:MGI Symbol;Acc:MGI:1926259]	46	3.016521453857422	0.14564116	Yes	
row_15	Hck	hemopoietic cell kinase [Source:MGI Symbol;Acc:MGI:96052]	49	2.981877326965332	0.15431462	Yes	
row_16	Usp18	ubiquitin specific peptidase 18 [Source:MGI Symbol;Acc:MGI:1344364]	55	2.9246113300323486	0.16268425	Yes	
row_17	Gatm	glycine amidinotransferase (L-arginine:glycine amidinotransferase) [Source:MGI Symbol;Acc:MGI:1914342]	57	2.918698787689209	0.17121719	Yes	
row_18	Fpr1	formyl peptide receptor 1 [Source:MGI Symbol;Acc:MGI:107443]	60	2.8779265880584717	0.17958514	Yes	
row_19	H2-K1	histocompatibility 2, K1, K region [Source:MGI Symbol;Acc:MGI:95904]	64	2.86655855178833	0.1878745	Yes	
row_20	Il18bp	interleukin 18 binding protein [Source:MGI Symbol;Acc:MGI:1333800]	68	2.8385562896728516	0.19608155	Yes	
row_21	H2-Q5	histocompatibility 2, Q region locus 5 [Source:MGI Symbol;Acc:MGI:95934]	69	2.836726188659668	0.20441876	Yes	
row_22	Ifi204	interferon activated gene 204 [Source:MGI Symbol;Acc:MGI:96429]	72	2.805983781814575	0.21257527	Yes	
row_23	Ch25h	cholesterol 25-hydroxylase [Source:MGI Symbol;Acc:MGI:1333869]	75	2.795668601989746	0.22070146	Yes	
row_24	Ifit2	interferon-induced protein with tetratricopeptide repeats 2 [Source:MGI Symbol;Acc:MGI:99449]	76	2.790956974029541	0.22890414	Yes	
row_25	Tap1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) [Source:MGI Symbol;Acc:MGI:98483]	80	2.752228021621704	0.23685749	Yes	
row_26	Igtp	interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729]	95	2.643606185913086	0.24399462	Yes	
row_27	Rac2	Rac family small GTPase 2 [Source:MGI Symbol;Acc:MGI:97846]	97	2.636812448501587	0.25169912	Yes	
row_28	Isg20	interferon-stimulated protein [Source:MGI Symbol;Acc:MGI:1928895]	98	2.6285760402679443	0.25942457	Yes	
row_29	Ccl5	chemokine (C-C motif) ligand 5 [Source:MGI Symbol;Acc:MGI:98262]	104	2.607856512069702	0.26686323	Yes	
row_30	Bcl2a1a	B cell leukemia/lymphoma 2 related protein A1a [Source:MGI Symbol;Acc:MGI:102687]	111	2.5834333896636963	0.27418494	Yes	
row_31	Sp100	nuclear antigen Sp100 [Source:MGI Symbol;Acc:MGI:109561]	113	2.581181287765503	0.2817259	Yes	
row_32	Trim30a	tripartite motif-containing 30A [Source:MGI Symbol;Acc:MGI:98178]	114	2.5716850757598877	0.28928417	Yes	
row_33	Ifi203	interferon activated gene 203 [Source:MGI Symbol;Acc:MGI:96428]	130	2.515658140182495	0.2960001	Yes	
row_34	Cxcl10	chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol;Acc:MGI:1352450]	144	2.4240663051605225	0.30253717	Yes	
row_35	H2-D1	histocompatibility 2, D region locus 1 [Source:MGI Symbol;Acc:MGI:95896]	147	2.4097537994384766	0.30952916	Yes	
row_36	H2-T23	histocompatibility 2, T region locus 23 [Source:MGI Symbol;Acc:MGI:95957]	169	2.3377151489257812	0.31545103	Yes	
row_37	Mcoln2	mucolipin 2 [Source:MGI Symbol;Acc:MGI:1915529]	177	2.313481569290161	0.32193416	Yes	
row_38	Adgre1	adhesion G protein-coupled receptor E1 [Source:MGI Symbol;Acc:MGI:106912]	184	2.298123836517334	0.32841736	Yes	
row_39	Slfn2	schlafen 2 [Source:MGI Symbol;Acc:MGI:1313258]	186	2.294006586074829	0.33511433	Yes	
row_40	Fcgr1	Fc receptor, IgG, high affinity I [Source:MGI Symbol;Acc:MGI:95498]	188	2.2911596298217773	0.34180292	Yes	
row_41	Gbp2	guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]	193	2.271752119064331	0.34829894	Yes	
row_42	Tmem229b	transmembrane protein 229B [Source:MGI Symbol;Acc:MGI:2444389]	206	2.2420883178710938	0.35434636	Yes	
row_43	Ncf4	neutrophil cytosolic factor 4 [Source:MGI Symbol;Acc:MGI:109186]	209	2.2292497158050537	0.36080784	Yes	
