NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Srgn	serglycin [Source:MGI Symbol;Acc:MGI:97756]	14	3.4198224544525146	0.013995669	No	
row_1	Comp	cartilage oligomeric matrix protein [Source:MGI Symbol;Acc:MGI:88469]	37	3.167114496231079	0.02654932	No	
row_2	Fgl2	fibrinogen-like protein 2 [Source:MGI Symbol;Acc:MGI:103266]	79	2.758100986480713	0.036495864	No	
row_3	Tgfbi	transforming growth factor, beta induced [Source:MGI Symbol;Acc:MGI:99959]	210	2.228189706802368	0.040158488	No	
row_4	Postn	periostin, osteoblast specific factor [Source:MGI Symbol;Acc:MGI:1926321]	380	1.8331278562545776	0.040370908	No	
row_5	Slamf6	SLAM family member 6 [Source:MGI Symbol;Acc:MGI:1353620]	432	1.772109866142273	0.045648687	No	
row_6	Emilin2	elastin microfibril interfacer 2 [Source:MGI Symbol;Acc:MGI:2389136]	577	1.6298998594284058	0.046120305	No	
row_7	Agrn	agrin [Source:MGI Symbol;Acc:MGI:87961]	902	1.3534717559814453	0.037284613	No	
row_8	Mfap3	microfibrillar-associated protein 3 [Source:MGI Symbol;Acc:MGI:1924068]	1131	1.2128801345825195	0.032180868	No	
row_9	Spp1	secreted phosphoprotein 1 [Source:MGI Symbol;Acc:MGI:98389]	1299	1.1462769508361816	0.029545698	No	
row_10	Col27a1	collagen, type XXVII, alpha 1 [Source:MGI Symbol;Acc:MGI:2672118]	1505	1.0600996017456055	0.024826655	No	
row_11	Ntng2	netrin G2 [Source:MGI Symbol;Acc:MGI:2159341]	2216	0.8660529255867004	-0.0035173642	No	
row_12	Ints14	integrator complex subunit 14 [Source:MGI Symbol;Acc:MGI:1917132]	3003	0.723912239074707	-0.035899892	No	
row_13	Dcn	decorin [Source:MGI Symbol;Acc:MGI:94872]	3379	0.6711037755012512	-0.049956348	No	
row_14	Dpt	dermatopontin [Source:MGI Symbol;Acc:MGI:1928392]	3582	0.6440656781196594	-0.056319475	No	
row_15	Col10a1	collagen, type X, alpha 1 [Source:MGI Symbol;Acc:MGI:88445]	3645	0.6349405646324158	-0.056402236	No	
row_16	Lgi3	leucine-rich repeat LGI family, member 3 [Source:MGI Symbol;Acc:MGI:2182619]	3827	0.6123073101043701	-0.061953295	No	
