NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
8030451A03Rik	1	ENSMUSG00000073821	
Adora2b	1	ENSMUSG00000018500	
Adora2a	1	ENSMUSG00000020178	
Gm20743	1	ENSMUSG00000104117	
Gm4342	1	ENSMUSG00000083911	
Gm5673	1	ENSMUSG00000115493	
Rrp1	1	ENSMUSG00000061032	
Fam50a	1	ENSMUSG00000001962	
Vps35	1	ENSMUSG00000031696	
Elk1	1	ENSMUSG00000009406	
Vps36	1	ENSMUSG00000031479	
Cyb561d2	1	ENSMUSG00000037190	
Cyb561d1	1	ENSMUSG00000048796	
Elk3	1	ENSMUSG00000008398	
Rrp9	1	ENSMUSG00000041506	
Vps39	1	ENSMUSG00000027291	
Rrp8	1	ENSMUSG00000030888	
Tektip1	1	ENSMUSG00000020234	
Vps29	1	ENSMUSG00000029462	
Elk4	1	ENSMUSG00000026436	
Abcb6	1	ENSMUSG00000026198	
Abcb7	1	ENSMUSG00000031333	
Abcb4	1	ENSMUSG00000042476	
Gm3005	1	ENSMUSG00000095195	
Gm31409	1	ENSMUSG00000109896	
Osbpl11	1	ENSMUSG00000022807	
Tcp11l1	1	ENSMUSG00000027175	
Abcb8	1	ENSMUSG00000028973	
Osbpl10	1	ENSMUSG00000040875	
Abcb9	1	ENSMUSG00000029408	
Tcp11l2	1	ENSMUSG00000020034	
Tent4a	1	ENSMUSG00000034575	
Tent4b	1	ENSMUSG00000036779	
Pcnx3	1	ENSMUSG00000054874	
Pcnx4	1	ENSMUSG00000034501	
Gm4353	1	ENSMUSG00000091900	
Pcnx2	1	ENSMUSG00000060212	
Gm20732	1	ENSMUSG00000093387	
Gm5686	1	ENSMUSG00000117552	
Thegl	1	ENSMUSG00000029248	
Gm5687	1	ENSMUSG00000080866	
A330069K06Rik	1	ENSMUSG00000103181	
Hus1	1	ENSMUSG00000020413	
Vps25	1	ENSMUSG00000078656	
Potefam3b	1	ENSMUSG00000095294	
Cdr1os	1	ENSMUSG00000071753	
Gm19744	1	ENSMUSG00000100706	
Gm31410	1	ENSMUSG00000111324	
Vps28	1	ENSMUSG00000115987	
Vps18	1	ENSMUSG00000034216	
Chid1	1	ENSMUSG00000025512	
Gm32742	1	ENSMUSG00000110266	
Abcc3	1	ENSMUSG00000020865	
Abcc4	1	ENSMUSG00000032849	
Abcc1	1	ENSMUSG00000023088	
Abcc2	1	ENSMUSG00000025194	
Abcc8	1	ENSMUSG00000040136	
Gm31416	1	ENSMUSG00000120434	
Abcc5	1	ENSMUSG00000022822	
Tent5a	1	ENSMUSG00000032265	
Abcc9	1	ENSMUSG00000030249	
Tent5d	1	ENSMUSG00000073007	
Tent5b	1	ENSMUSG00000046694	
Tent5c	1	ENSMUSG00000044468	
Gm17112	1	ENSMUSG00000090873	
Gm19774	1	ENSMUSG00000099488	
Ghrhr	1	ENSMUSG00000004654	
Gm6981	1	ENSMUSG00000098076	
Gm20768	1	ENSMUSG00000106190	
Gm5652	1	ENSMUSG00000097977	
Gm4322	1	ENSMUSG00000100690	
Mcam	1	ENSMUSG00000032135	
D030055H07Rik	1	ENSMUSG00000086296	
Gm20769	1	ENSMUSG00000114798	
Gm5655	1	ENSMUSG00000113903	
Gm6988	1	ENSMUSG00000113198	
Vps11	1	ENSMUSG00000032127	
Gm6989	1	ENSMUSG00000112776	
Mcat	1	ENSMUSG00000048755	
Vps16	1	ENSMUSG00000027411	
Ankra2	1	ENSMUSG00000021661	
Gm18445	1	ENSMUSG00000103588	
Gm17115	1	ENSMUSG00000091968	
Abr	1	ENSMUSG00000017631	
Bcan	1	ENSMUSG00000004892	
4933431C10Rik	1	ENSMUSG00000108923	
Wdhd1	1	ENSMUSG00000037572	
Chic2	1	ENSMUSG00000029229	
Bcam	1	ENSMUSG00000002980	
Chic1	1	ENSMUSG00000031327	
Gm32717	1	ENSMUSG00000112216	
Rrs1	1	ENSMUSG00000061024	
Gm20760	1	ENSMUSG00000093919	
Gm20762	1	ENSMUSG00000118197	
Gm20753	1	ENSMUSG00000101583	
Plk5	1	ENSMUSG00000035486	
Nfe2	1	ENSMUSG00000058794	
Gm17102	1	ENSMUSG00000091864	
Plk3	1	ENSMUSG00000028680	
Ace	1	ENSMUSG00000020681	
Plk4	1	ENSMUSG00000025758	
Acd	1	ENSMUSG00000038000	
Gm6992	1	ENSMUSG00000112546	
Gm4332	1	ENSMUSG00000106037	
Plk1	1	ENSMUSG00000030867	
Gm20757	1	ENSMUSG00000098040	
Gm6995	1	ENSMUSG00000117831	
Plk2	1	ENSMUSG00000021701	
Trbc2	1	ENSMUSG00000076498	
Gm6997	1	ENSMUSG00000115539	
Trbc1	1	ENSMUSG00000076490	
Gm4335	1	ENSMUSG00000097989	
Bmpr1a	1	ENSMUSG00000021796	
Cyb561a3	1	ENSMUSG00000034445	
Bmpr1b	1	ENSMUSG00000052430	
Ell2	1	ENSMUSG00000001542	
Ell3	1	ENSMUSG00000027246	
Abca1	1	ENSMUSG00000015243	
Abca2	1	ENSMUSG00000026944	
Abca5	1	ENSMUSG00000018800	
Abca6	1	ENSMUSG00000044749	
Abca3	1	ENSMUSG00000024130	
Abca4	1	ENSMUSG00000028125	
Abca9	1	ENSMUSG00000041797	
Gm44705	1	ENSMUSG00000108506	
Abca7	1	ENSMUSG00000035722	
Atp5mpl	1	ENSMUSG00000021290	
Ada	1	ENSMUSG00000017697	
Glcci1	1	ENSMUSG00000029638	
Pllp	1	ENSMUSG00000031775	
4933433G19Rik	1	ENSMUSG00000114362	
Rrp12	1	ENSMUSG00000035049	
Adk	1	ENSMUSG00000039197	
Adm	1	ENSMUSG00000030790	
Rrp15	1	ENSMUSG00000001305	
6430590A07Rik	1	ENSMUSG00000097583	
Ado	1	ENSMUSG00000057134	
Gm19710	1	ENSMUSG00000105552	
Rpl37rt	1	ENSMUSG00000072692	
Chia1	1	ENSMUSG00000062778	
Gm19719	1	ENSMUSG00000107317	
Gm3047	1	ENSMUSG00000090472	
Zik1	1	ENSMUSG00000030393	
A930035D04Rik	1	ENSMUSG00000052241	
Folh1	1	ENSMUSG00000001773	
Lrrc7	1	ENSMUSG00000028176	
Nup85	1	ENSMUSG00000020739	
Edrf1	1	ENSMUSG00000039990	
Lrrc9	1	ENSMUSG00000021090	
Gm19705	1	ENSMUSG00000097113	
Aen	1	ENSMUSG00000030609	
Nup88	1	ENSMUSG00000040667	
Diras1	1	ENSMUSG00000043670	
Gm19709	1	ENSMUSG00000111188	
Diras2	1	ENSMUSG00000047842	
Gm19708	1	ENSMUSG00000105296	
Irak1bp1	1	ENSMUSG00000032251	
Gm32707	1	ENSMUSG00000121203	
Appbp2os	1	ENSMUSG00000085628	
C78283	1	ENSMUSG00000106968	
Zfp335os	1	ENSMUSG00000085436	
Nup93	1	ENSMUSG00000032939	
Gm5693	1	ENSMUSG00000117793	
Lmbr1	1	ENSMUSG00000010721	
Gm4366	1	ENSMUSG00000107383	
Gm19739	1	ENSMUSG00000105644	
Ep300	1	ENSMUSG00000055024	
Gemin6	1	ENSMUSG00000055760	
Afm	1	ENSMUSG00000029369	
Gemin7	1	ENSMUSG00000044709	
Afp	1	ENSMUSG00000054932	
Nup98	1	ENSMUSG00000063550	
Gemin4	1	ENSMUSG00000049396	
Rrp36	1	ENSMUSG00000023971	
Gemin5	1	ENSMUSG00000037275	
Gemin8	1	ENSMUSG00000040621	
Tbccd1	1	ENSMUSG00000004462	
Nfib	1	ENSMUSG00000008575	
Nfia	1	ENSMUSG00000028565	
Acvrl1	1	ENSMUSG00000000530	
Nfic	1	ENSMUSG00000055053	
4930578G10Rik	1	ENSMUSG00000054885	
Lrrc3	1	ENSMUSG00000051652	
Rrp1b	1	ENSMUSG00000058392	
Lrrc4	1	ENSMUSG00000049939	
Fosb	1	ENSMUSG00000003545	
Aga	1	ENSMUSG00000031521	
Lrrc1	1	ENSMUSG00000032352	
Lrrc2	1	ENSMUSG00000032495	
Gm4374	1	ENSMUSG00000107639	
Ankrd9	1	ENSMUSG00000037904	
Agk	1	ENSMUSG00000029916	
Tgif2-ps2	1	ENSMUSG00000045842	
Tex19.1	1	ENSMUSG00000039329	
Mcf2	1	ENSMUSG00000031139	
Agl	1	ENSMUSG00000033400	
Elp2	1	ENSMUSG00000024271	
Scand1	1	ENSMUSG00000046229	
Elp1	1	ENSMUSG00000028431	
Ankrd2	1	ENSMUSG00000025172	
Elp4	1	ENSMUSG00000027167	
Ankrd1	1	ENSMUSG00000024803	
Elp3	1	ENSMUSG00000022031	
Elp6	1	ENSMUSG00000054836	
Pdzrn4	1	ENSMUSG00000036218	
Ankrd6	1	ENSMUSG00000040183	
Elp5	1	ENSMUSG00000018565	
Pdzrn3	1	ENSMUSG00000035357	
Agt	1	ENSMUSG00000031980	
Gm19721	1	ENSMUSG00000102324	
A930024E05Rik	1	ENSMUSG00000056735	
Mcee	1	ENSMUSG00000033429	
Gemin2	1	ENSMUSG00000060121	
Cyp21a1	1	ENSMUSG00000024365	
Plp2	1	ENSMUSG00000031146	
Eloa	1	ENSMUSG00000028668	
Eloc	1	ENSMUSG00000079658	
Plp1	1	ENSMUSG00000031425	
Elob	1	ENSMUSG00000055839	
Gm3055	1	ENSMUSG00000094622	
Gm3052	1	ENSMUSG00000101462	
E130202H07Rik	1	ENSMUSG00000115092	
Atxn3	1	ENSMUSG00000021189	
Bche	1	ENSMUSG00000027792	
Gm43464	1	ENSMUSG00000106227	
Atxn1	1	ENSMUSG00000046876	
Atxn2	1	ENSMUSG00000042605	
Atxn7	1	ENSMUSG00000021738	
Antkmt	1	ENSMUSG00000057411	
Ripply3	1	ENSMUSG00000022941	
Rimbp2	1	ENSMUSG00000029420	
Dino	1	ENSMUSG00000117050	
Ripply1	1	ENSMUSG00000072945	
Rimbp3	1	ENSMUSG00000071636	
B930059L03Rik	1	ENSMUSG00000113361	
Ahr	1	ENSMUSG00000019256	
Mtrex	1	ENSMUSG00000016018	
Gm54112	1	ENSMUSG00000121171	
Gm29155	1	ENSMUSG00000100764	
Gm6929	1	ENSMUSG00000110173	
Gm29152	1	ENSMUSG00000100437	
Gm29154	1	ENSMUSG00000099722	
Oip5	1	ENSMUSG00000072980	
Pls3	1	ENSMUSG00000016382	
Pls1	1	ENSMUSG00000049493	
4933425M03Rik	1	ENSMUSG00000106508	
Cerox1	1	ENSMUSG00000091475	
Nfix	1	ENSMUSG00000001911	
Gm42141	1	ENSMUSG00000105826	
Mtrf1	1	ENSMUSG00000022022	
Ak1	1	ENSMUSG00000026817	
Gm43471	1	ENSMUSG00000105397	
Dio1	1	ENSMUSG00000034785	
Dio2	1	ENSMUSG00000007682	
Cfl1	1	ENSMUSG00000056201	
Ak3	1	ENSMUSG00000024782	
Ak2	1	ENSMUSG00000028792	
Gm5602	1	ENSMUSG00000086108	
Dio3	1	ENSMUSG00000075707	
Cfl2	1	ENSMUSG00000062929	
Aip	1	ENSMUSG00000024847	
