NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ly6i	lymphocyte antigen 6 complex, locus I [Source:MGI Symbol;Acc:MGI:1888480]	35	3.1771233081817627	0.025264738	Yes	
row_1	Gm12250	predicted gene 12250 [Source:MGI Symbol;Acc:MGI:3649299]	63	2.8692069053649902	0.048287626	Yes	
row_2	H2-K2	histocompatibility 2, K region locus 2 [Source:MGI Symbol;Acc:MGI:95906]	67	2.8534250259399414	0.072253935	Yes	
row_3	Il18bp	interleukin 18 binding protein [Source:MGI Symbol;Acc:MGI:1333800]	68	2.8385562896728516	0.09622924	Yes	
row_4	Il21r	interleukin 21 receptor [Source:MGI Symbol;Acc:MGI:1890475]	74	2.7973854541778564	0.1196325	Yes	
row_5	Fgl2	fibrinogen-like protein 2 [Source:MGI Symbol;Acc:MGI:103266]	79	2.758100986480713	0.1427488	Yes	
row_6	Tap1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) [Source:MGI Symbol;Acc:MGI:98483]	80	2.752228021621704	0.16599496	Yes	
row_7	Igtp	interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729]	95	2.643606185913086	0.18769558	Yes	
row_8	B2m	beta-2 microglobulin [Source:MGI Symbol;Acc:MGI:88127]	99	2.6254208087921143	0.20973608	Yes	
row_9	H2-D1	histocompatibility 2, D region locus 1 [Source:MGI Symbol;Acc:MGI:95896]	147	2.4097537994384766	0.22798103	Yes	
row_10	Lag3	lymphocyte-activation gene 3 [Source:MGI Symbol;Acc:MGI:106588]	149	2.4054253101348877	0.24825312	Yes	
row_11	Neurl3	neuralized E3 ubiquitin protein ligase 3 [Source:MGI Symbol;Acc:MGI:2429944]	161	2.368497848510742	0.2677647	Yes	
row_12	Irgm2	immunity-related GTPase family M member 2 [Source:MGI Symbol;Acc:MGI:1926262]	165	2.359452247619629	0.28755873	Yes	
row_13	Tgtp2	T cell specific GTPase 2 [Source:MGI Symbol;Acc:MGI:3710083]	175	2.319833278656006	0.306749	Yes	
row_14	Gbp2	guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]	193	2.271752119064331	0.3251742	Yes	
row_15	Tmem229b	transmembrane protein 229B [Source:MGI Symbol;Acc:MGI:2444389]	206	2.2420883178710938	0.3435732	Yes	
row_16	H2-T10	histocompatibility 2, T region locus 10 [Source:MGI Symbol;Acc:MGI:95942]	222	2.196104049682617	0.36144924	Yes	
row_17	Mag	myelin-associated glycoprotein [Source:MGI Symbol;Acc:MGI:96912]	231	2.1594226360321045	0.37932947	Yes	
row_18	Nlrc5	NLR family, CARD domain containing 5 [Source:MGI Symbol;Acc:MGI:3612191]	235	2.1447503566741943	0.3973101	Yes	
row_19	Ccl8	chemokine (C-C motif) ligand 8 [Source:MGI Symbol;Acc:MGI:101878]	241	2.128448247909546	0.4150633	Yes	
row_20	Psmb8	proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7) [Source:MGI Symbol;Acc:MGI:1346527]	299	2.001326084136963	0.42940992	Yes	
row_21	Tapbpl	TAP binding protein-like [Source:MGI Symbol;Acc:MGI:2384853]	308	1.98310124874115	0.44580087	Yes	
row_22	Slc15a3	solute carrier family 15, member 3 [Source:MGI Symbol;Acc:MGI:1929691]	319	1.9648847579956055	0.46194828	Yes	
row_23	Stat1	signal transducer and activator of transcription 1 [Source:MGI Symbol;Acc:MGI:103063]	324	1.9518613815307617	0.47825482	Yes	
row_24	Gbp4	guanylate binding protein 4 [Source:MGI Symbol;Acc:MGI:97072]	368	1.860465168952942	0.49203977	Yes	
row_25	C1qb	complement component 1, q subcomponent, beta polypeptide [Source:MGI Symbol;Acc:MGI:88224]	374	1.8540472984313965	0.5074753	Yes	
row_26	Clec12a	C-type lectin domain family 12, member a [Source:MGI Symbol;Acc:MGI:3040968]	375	1.848021149635315	0.5230842	Yes	
row_27	H2-Eb1	histocompatibility 2, class II antigen E beta [Source:MGI Symbol;Acc:MGI:95901]	381	1.8327717781066895	0.5383401	Yes	
row_28	Ccl4	chemokine (C-C motif) ligand 4 [Source:MGI Symbol;Acc:MGI:98261]	391	1.8173683881759644	0.5532864	Yes	
row_29	Dusp2	dual specificity phosphatase 2 [Source:MGI Symbol;Acc:MGI:101911]	416	1.7850056886672974	0.5672863	Yes	
row_30	H2-T22	histocompatibility 2, T region locus 22 [Source:MGI Symbol;Acc:MGI:95956]	436	1.767622470855713	0.5813638	Yes	
row_31	Fcgr4	Fc receptor, IgG, low affinity IV [Source:MGI Symbol;Acc:MGI:2179523]	445	1.75822114944458	0.59585536	Yes	
row_32	H2-Q1	histocompatibility 2, Q region locus 1 [Source:MGI Symbol;Acc:MGI:95928]	474	1.7230552434921265	0.6091527	Yes	
row_33	Pdcd1	programmed cell death 1 [Source:MGI Symbol;Acc:MGI:104879]	476	1.7193068265914917	0.62362957	Yes	
row_34	Psmb9	proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2) [Source:MGI Symbol;Acc:MGI:1346526]	489	1.708016276359558	0.63751763	Yes	
row_35	Gbp6	guanylate binding protein 6 [Source:MGI Symbol;Acc:MGI:2140937]	534	1.666930079460144	0.64962304	Yes	
row_36	H2-Ab1	histocompatibility 2, class II antigen A, beta 1 [Source:MGI Symbol;Acc:MGI:103070]	551	1.6521375179290771	0.66285974	Yes	
row_37	Aif1	allograft inflammatory factor 1 [Source:MGI Symbol;Acc:MGI:1343098]	583	1.6262094974517822	0.6752044	Yes	
row_38	Il27	interleukin 27 [Source:MGI Symbol;Acc:MGI:2384409]	588	1.623626470565796	0.6887386	Yes	
row_39	AW112010	expressed sequence AW112010 [Source:MGI Symbol;Acc:MGI:2147706]	620	1.593363881111145	0.7008059	Yes	
row_40	H2-M3	histocompatibility 2, M region locus 3 [Source:MGI Symbol;Acc:MGI:95915]	637	1.5770299434661865	0.7134082	Yes	
row_41	Plek	pleckstrin [Source:MGI Symbol;Acc:MGI:1860485]	697	1.5072861909866333	0.7234922	Yes	
