NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Il1b	interleukin 1 beta [Source:MGI Symbol;Acc:MGI:96543]	0	4.553514003753662	0.017652646	Yes	
row_1	H2-Q4	histocompatibility 2, Q region locus 4 [Source:MGI Symbol;Acc:MGI:95933]	8	3.717456340789795	0.03174871	Yes	
row_2	Clec4n	C-type lectin domain family 4, member n [Source:MGI Symbol;Acc:MGI:1861231]	12	3.4293813705444336	0.044908237	Yes	
row_3	Pilra	paired immunoglobin-like type 2 receptor alpha [Source:MGI Symbol;Acc:MGI:2450529]	16	3.3935489654541016	0.057928853	Yes	
row_4	Cxcl9	chemokine (C-X-C motif) ligand 9 [Source:MGI Symbol;Acc:MGI:1352449]	30	3.21998929977417	0.069826014	Yes	
row_5	Lst1	leukocyte specific transcript 1 [Source:MGI Symbol;Acc:MGI:1096324]	33	3.1865875720977783	0.082089365	Yes	
row_6	Cd86	CD86 antigen [Source:MGI Symbol;Acc:MGI:101773]	39	3.1125850677490234	0.09393064	Yes	
row_7	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated) [Source:MGI Symbol;Acc:MGI:96534]	59	2.8837435245513916	0.10425391	Yes	
row_8	H2-K1	histocompatibility 2, K1, K region [Source:MGI Symbol;Acc:MGI:95904]	64	2.86655855178833	0.115186475	Yes	
row_9	Il21r	interleukin 21 receptor [Source:MGI Symbol;Acc:MGI:1890475]	74	2.7973854541778564	0.12562557	Yes	
row_10	Gpr35	G protein-coupled receptor 35 [Source:MGI Symbol;Acc:MGI:1929509]	83	2.730264902114868	0.13584952	Yes	
row_11	Rac2	Rac family small GTPase 2 [Source:MGI Symbol;Acc:MGI:97846]	97	2.636812448501587	0.14548588	Yes	
row_12	B2m	beta-2 microglobulin [Source:MGI Symbol;Acc:MGI:88127]	99	2.6254208087921143	0.1556188	Yes	
row_13	Ccl5	chemokine (C-C motif) ligand 5 [Source:MGI Symbol;Acc:MGI:98262]	104	2.607856512069702	0.16554846	Yes	
row_14	Traf3ip3	TRAF3 interacting protein 3 [Source:MGI Symbol;Acc:MGI:2441706]	108	2.594160556793213	0.17547008	Yes	
row_15	Bcl2a1a	B cell leukemia/lymphoma 2 related protein A1a [Source:MGI Symbol;Acc:MGI:102687]	111	2.5834333896636963	0.18539517	Yes	
row_16	Gpr132	G protein-coupled receptor 132 [Source:MGI Symbol;Acc:MGI:1890220]	123	2.5309088230133057	0.19471109	Yes	
row_17	Cyth4	cytohesin 4 [Source:MGI Symbol;Acc:MGI:2441702]	143	2.424243688583374	0.20325302	Yes	
