NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
ABBUD_LIF_SIGNALING_1_DN	28	26		
ABBUD_LIF_SIGNALING_1_UP	43	39		
AFFAR_YY1_TARGETS_DN	276	243		
AFFAR_YY1_TARGETS_UP	206	186		
APRELIKOVA_BRCA1_TARGETS	48	47		
BAFNA_MUC4_TARGETS_UP	5		Rejected!	
BAKER_HEMATOPOESIS_STAT1_TARGETS	10		Rejected!	
BAKER_HEMATOPOESIS_STAT5_TARGETS	7		Rejected!	
BAKER_HEMATOPOIESIS_STAT3_TARGETS	15	15		
BAKKER_FOXO3_TARGETS_DN	180	167		
BAKKER_FOXO3_TARGETS_UP	56	54		
BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN	15		Rejected!	
BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP	20	20		
BAUS_TFF2_TARGETS_DN	17		Rejected!	
BAUS_TFF2_TARGETS_UP	38	31		
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	48	48		
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP	29	28		
BERENJENO_TRANSFORMED_BY_RHOA_DN	405	400		
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN	30	29		
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP	22	22		
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN	31	31		
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP	10		Rejected!	
BERENJENO_TRANSFORMED_BY_RHOA_UP	561		Rejected!	
BERGER_MBD2_TARGETS	7		Rejected!	
BIERIE_INFLAMMATORY_RESPONSE_TGFB1	5		Rejected!	
BILANGES_RAPAMYCIN_SENSITIVE_GENES	38	38		
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2	75	72		
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	70	70		
BILANGES_SERUM_RESPONSE_TRANSLATION	38	33		
BILANGES_SERUM_SENSITIVE_GENES	87	79		
BILANGES_SERUM_SENSITIVE_VIA_TSC1	21	20		
BILANGES_SERUM_SENSITIVE_VIA_TSC2	32	31		
BOCHKIS_FOXA2_TARGETS	461	393		
BORLAK_LIVER_CANCER_EGF_UP	56	52		
BOYLAN_MULTIPLE_MYELOMA_C_CLUSTER_DN	32	32		
BOYLAN_MULTIPLE_MYELOMA_C_CLUSTER_UP	37	35		
BOYLAN_MULTIPLE_MYELOMA_C_DN	61	59		
BOYLAN_MULTIPLE_MYELOMA_C_D_DN	303	272		
BOYLAN_MULTIPLE_MYELOMA_C_D_UP	144	139		
BOYLAN_MULTIPLE_MYELOMA_C_UP	52	48		
BOYLAN_MULTIPLE_MYELOMA_D_CLUSTER_DN	37	37		
BOYLAN_MULTIPLE_MYELOMA_D_CLUSTER_UP	28	27		
BOYLAN_MULTIPLE_MYELOMA_D_DN	83	82		
BOYLAN_MULTIPLE_MYELOMA_D_UP	94	89		
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	10		Rejected!	
BOYLAN_MULTIPLE_MYELOMA_PCA1_UP	142	115		
BOYLAN_MULTIPLE_MYELOMA_PCA3_DN	75	68		
BOYLAN_MULTIPLE_MYELOMA_PCA3_UP	86	81		
BRACHAT_RESPONSE_TO_CAMPTOTHECIN_DN	43	43		
BRACHAT_RESPONSE_TO_CAMPTOTHECIN_UP	26	26		
BRACHAT_RESPONSE_TO_CISPLATIN	24	23		
BRACHAT_RESPONSE_TO_METHOTREXATE_DN	26	26		
BRACHAT_RESPONSE_TO_METHOTREXATE_UP	24	24		
BREDEMEYER_RAG_SIGNALING_NOT_VIA_ATM_DN	65	63		
BREDEMEYER_RAG_SIGNALING_NOT_VIA_ATM_UP	65	59		
BREDEMEYER_RAG_SIGNALING_VIA_ATM_NOT_VIA_NFKB_DN	44	44		
BREDEMEYER_RAG_SIGNALING_VIA_ATM_NOT_VIA_NFKB_UP	53	53		
BRIDEAU_IMPRINTED_GENES	69	63		
BROWN_MYELOID_CELL_DEVELOPMENT_DN	141	129		
BROWN_MYELOID_CELL_DEVELOPMENT_UP	189	173		
BRUINS_UVC_RESPONSE_EARLY_LATE	354	317		
BRUINS_UVC_RESPONSE_LATE	1194		Rejected!	
BRUINS_UVC_RESPONSE_MIDDLE	105	104		
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_A	999		Rejected!	
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_C	105	88		
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_D	335	270		
BRUNO_HEMATOPOIESIS	69	65		
BURTON_ADIPOGENESIS_1	32	32		
BURTON_ADIPOGENESIS_10	30	30		
BURTON_ADIPOGENESIS_11	54	54		
BURTON_ADIPOGENESIS_12	34	34		
BURTON_ADIPOGENESIS_2	73	71		
BURTON_ADIPOGENESIS_3	105	105		
BURTON_ADIPOGENESIS_4	46	45		
BURTON_ADIPOGENESIS_5	119	117		
BURTON_ADIPOGENESIS_6	193	189		
BURTON_ADIPOGENESIS_7	52	52		
BURTON_ADIPOGENESIS_8	80	80		
BURTON_ADIPOGENESIS_9	87	87		
BURTON_ADIPOGENESIS_PEAK_AT_0HR	65	65		
BURTON_ADIPOGENESIS_PEAK_AT_16HR	44	43		
BURTON_ADIPOGENESIS_PEAK_AT_24HR	49	47		
BURTON_ADIPOGENESIS_PEAK_AT_2HR	46	46		
BURTON_ADIPOGENESIS_PEAK_AT_8HR	40	40		
BYSTROEM_CORRELATED_WITH_IL5_DN	60	59		
BYSTROEM_CORRELATED_WITH_IL5_UP	43	39		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_AND_BRAIN_QTL_CIS	69	69		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_AND_BRAIN_QTL_TRANS	164	153		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_FGF3	8		Rejected!	
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_FLI1	8		Rejected!	
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_IL3RA	9		Rejected!	
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_QTL_CIS	140	133		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_QTL_TRANS	823		Rejected!	
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_RUNX1	8		Rejected!	
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_SCP2_QTL_TRANS	27	23		
BYSTRYKH_SCP2_QTL	7		Rejected!	
CADWELL_ATG16L1_TARGETS_DN	74	68		
CADWELL_ATG16L1_TARGETS_UP	110	92		
CAIRO_LIVER_DEVELOPMENT_DN	225	196		
CAIRO_LIVER_DEVELOPMENT_UP	166	160		
CAIRO_PML_TARGETS_BOUND_BY_MYC_DN	13		Rejected!	
CAIRO_PML_TARGETS_BOUND_BY_MYC_UP	22	22		
CARDOSO_RESPONSE_TO_GAMMA_RADIATION_AND_3AB	14		Rejected!	
CASTELLANO_HRAS_AND_NRAS_TARGETS_DN	9		Rejected!	
CASTELLANO_HRAS_AND_NRAS_TARGETS_UP	6		Rejected!	
CASTELLANO_HRAS_TARGETS_DN	7		Rejected!	
CASTELLANO_HRAS_TARGETS_UP	5		Rejected!	
CASTELLANO_NRAS_TARGETS_DN	14		Rejected!	
CASTELLANO_NRAS_TARGETS_UP	82	80		
CHANGOLKAR_H2AFY_TARGETS_DN	45	43		
CHANGOLKAR_H2AFY_TARGETS_UP	50	47		
CHEBOTAEV_GR_TARGETS_DN	132	128		
CHEBOTAEV_GR_TARGETS_UP	80	76		
CHENG_TAF7L_TARGETS	6		Rejected!	
CHEN_ETV5_TARGETS_SERTOLI	30	25		
CHEN_ETV5_TARGETS_TESTIS	25	23		
CHEN_LIVER_METABOLISM_QTL_CIS	99	94		
CHEN_METABOLIC_SYNDROM_NETWORK	1291		Rejected!	
CHEN_PDGF_TARGETS	18	18		
CHESLER_BRAIN_D6MIT150_QTL_CIS	6		Rejected!	
CHESLER_BRAIN_D6MIT150_QTL_TRANS	9		Rejected!	
CHESLER_BRAIN_HIGHEST_EXPRESSION	42	42		
CHESLER_BRAIN_HIGHEST_GENETIC_VARIANCE	41	40		
CHESLER_BRAIN_QTL_CIS	76	73		
CHESLER_BRAIN_QTL_TRANS	6		Rejected!	
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	158	157		
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_UP	128	126		
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_CDC25_DN	55	54		
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_CDC25_UP	64	60		
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	145	145		
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_UP	137	132		
CHYLA_CBFA2T3_TARGETS_DN	280	250		
CHYLA_CBFA2T3_TARGETS_UP	429	392		
CLASPER_LYMPHATIC_VESSELS_DURING_METASTASIS_DN	35	35		
CLASPER_LYMPHATIC_VESSELS_DURING_METASTASIS_UP	20	19		
COATES_MACROPHAGE_M1_VS_M2_DN	88	87		
COATES_MACROPHAGE_M1_VS_M2_UP	95	93		
CUI_TCF21_TARGETS_2_DN	868		Rejected!	
CUI_TCF21_TARGETS_2_UP	449	434		
CUI_TCF21_TARGETS_DN	34	32		
CUI_TCF21_TARGETS_UP	36	36		
DARWICHE_PAPILLOMA_PROGRESSION_RISK	93	68		
DARWICHE_PAPILLOMA_RISK_HIGH_DN	197	176		
DARWICHE_PAPILLOMA_RISK_HIGH_UP	172	142		
DARWICHE_PAPILLOMA_RISK_LOW_DN	186	167		
DARWICHE_PAPILLOMA_RISK_LOW_UP	184	151		
DARWICHE_SKIN_TUMOR_PROMOTER_DN	211	178		
DARWICHE_SKIN_TUMOR_PROMOTER_UP	158	140		
DARWICHE_SQUAMOUS_CELL_CARCINOMA_DN	198	172		
DARWICHE_SQUAMOUS_CELL_CARCINOMA_UP	171	146		
DAWSON_METHYLATED_IN_LYMPHOMA_TCL1	61	57		
DELACROIX_RARG_BOUND_MEF	371	358		
DELACROIX_RAR_BOUND_ES	472	439		
DELACROIX_RAR_TARGETS_DN	26	26		
DELACROIX_RAR_TARGETS_UP	48	46		
DELASERNA_MYOD_TARGETS_DN	57	57		
DELASERNA_MYOD_TARGETS_UP	87	82		
DELASERNA_TARGETS_OF_MYOD_AND_SMARCA4	11		Rejected!	
DURAND_STROMA_NS_UP	172	167		
DURAND_STROMA_S_UP	309	298		
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	269	257		
DURCHDEWALD_SKIN_CARCINOGENESIS_UP	98	83		
ELLWOOD_MYC_TARGETS_DN	43	41		
ELLWOOD_MYC_TARGETS_UP	15		Rejected!	
FOSTER_KDM1A_TARGETS_DN	204	201		
FOSTER_KDM1A_TARGETS_UP	298	224		
FOSTER_TOLERANT_MACROPHAGE_DN	426	423		
FOSTER_TOLERANT_MACROPHAGE_UP	186	178		
FUJIWARA_PARK2_HEPATOCYTE_PROLIFERATION_DN	10		Rejected!	
FUJIWARA_PARK2_HEPATOCYTE_PROLIFERATION_UP	13		Rejected!	
FUJIWARA_PARK2_IN_LIVER_CANCER_DN	6		Rejected!	
FUJIWARA_PARK2_IN_LIVER_CANCER_UP	8		Rejected!	
FUKUSHIMA_TNFSF11_TARGETS	16		Rejected!	
GALIE_TUMOR_ANGIOGENESIS	8		Rejected!	
GALIE_TUMOR_STEMNESS_GENES	6		Rejected!	
GALINDO_IMMUNE_RESPONSE_TO_ENTEROTOXIN	81	81		
GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_DN	101	93		
GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_UP	201	193		
GAUSSMANN_MLL_AF4_FUSION_TARGETS_B_DN	8		Rejected!	
GAUSSMANN_MLL_AF4_FUSION_TARGETS_B_UP	28	28		
