NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_CILIARY_PLASM	GOCC_CILIARY_PLASM	Details ...	169	-0.66464096	-2.6486816	0.0	0.0	0.0	4088	tags=60%, list=18%, signal=73%	
GOBP_AXONEME_ASSEMBLY	GOBP_AXONEME_ASSEMBLY	Details ...	95	-0.69548017	-2.5627422	0.0	0.0	0.0	5045	tags=75%, list=23%, signal=96%	
GOBP_CILIUM_MOVEMENT	GOBP_CILIUM_MOVEMENT	Details ...	192	-0.63176614	-2.5458324	0.0	0.0	0.0	4503	tags=58%, list=20%, signal=72%	
GOBP_MICROTUBULE_BUNDLE_FORMATION	GOBP_MICROTUBULE_BUNDLE_FORMATION	Details ...	128	-0.6539427	-2.5142012	0.0	0.0	0.0	4586	tags=66%, list=20%, signal=82%	
GOCC_AXONEMAL_MICROTUBULE	GOCC_AXONEMAL_MICROTUBULE	Details ...	39	-0.7798033	-2.47698	0.0	0.0	0.0	3382	tags=77%, list=15%, signal=90%	
GOCC_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_CYTOPLASM	GOCC_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_CYTOPLASM	Details ...	218	-0.6162444	-2.472271	0.0	0.0	0.0	4088	tags=51%, list=18%, signal=62%	
GOCC_CYTOPLASMIC_REGION	GOCC_CYTOPLASMIC_REGION	Details ...	260	-0.5929239	-2.454173	0.0	0.0	0.0	4293	tags=50%, list=19%, signal=61%	
GOCC_MOTILE_CILIUM	GOCC_MOTILE_CILIUM	Details ...	246	-0.5953672	-2.431397	0.0	0.0	0.0	3847	tags=50%, list=17%, signal=59%	
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	Details ...	153	-0.6118775	-2.3806508	0.0	0.0	0.0	5349	tags=61%, list=24%, signal=80%	
GOBP_MOTILE_CILIUM_ASSEMBLY	GOBP_MOTILE_CILIUM_ASSEMBLY	Details ...	69	-0.6604266	-2.3516223	0.0	0.0	0.0	5667	tags=70%, list=25%, signal=93%	
