NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	185	0.79157203	3.8721771	0.0	0.0	0.0	1513	tags=64%, list=7%, signal=68%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	94	0.85133314	3.7315207	0.0	0.0	0.0	1467	tags=73%, list=7%, signal=78%	
ZENG_GU_ICB_CONTROL_METAGENE_8_PRECICTIVE_ICB_RESPONSE	ZENG_GU_ICB_CONTROL_METAGENE_8_PRECICTIVE_ICB_RESPONSE	Details ...	172	0.7598431	3.6372256	0.0	0.0	0.0	2076	tags=65%, list=9%, signal=71%	
ZENG_GU_POST_ICB_METAGENE_31	ZENG_GU_POST_ICB_METAGENE_31	Details ...	182	0.73250157	3.5991642	0.0	0.0	0.0	3554	tags=69%, list=16%, signal=81%	
ZENG_GU_ICB_CONTROL_METAGENE_25_PRECICTIVE_ICB_RESPONSE	ZENG_GU_ICB_CONTROL_METAGENE_25_PRECICTIVE_ICB_RESPONSE	Details ...	187	0.7282928	3.5634143	0.0	0.0	0.0	1722	tags=59%, list=8%, signal=63%	
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP	WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP	Details ...	69	0.84279037	3.4932752	0.0	0.0	0.0	1532	tags=70%, list=7%, signal=74%	
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP	ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP	Details ...	123	0.76608634	3.4734805	0.0	0.0	0.0	1513	tags=58%, list=7%, signal=62%	
ZEMEK_IMMUNE_CHECKPOINT_BLOCKADE_OVARIAN_CANCER_OVERLAP_UP	ZEMEK_IMMUNE_CHECKPOINT_BLOCKADE_OVARIAN_CANCER_OVERLAP_UP	Details ...	89	0.7945898	3.461066	0.0	0.0	0.0	2029	tags=63%, list=9%, signal=69%	
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	Details ...	260	0.6822853	3.4400837	0.0	0.0	0.0	2729	tags=49%, list=12%, signal=55%	
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS	GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS	Details ...	363	0.6484991	3.4262786	0.0	0.0	0.0	2729	tags=47%, list=12%, signal=52%	
GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_SIGNALING_PATHWAY	GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_SIGNALING_PATHWAY	Details ...	224	0.6667525	3.3913338	0.0	0.0	0.0	2729	tags=48%, list=12%, signal=54%	
ZEMEK_IMMUNE_CHECKPOINT_BLOCKADE_OVARIAN_CANCER_RENCA_UP	ZEMEK_IMMUNE_CHECKPOINT_BLOCKADE_OVARIAN_CANCER_RENCA_UP	Details ...	92	0.7844366	3.386502	0.0	0.0	0.0	2029	tags=61%, list=9%, signal=67%	
GOBP_CYTOSOLIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	GOBP_CYTOSOLIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	Details ...	140	0.70634294	3.355765	0.0	0.0	0.0	1999	tags=50%, list=9%, signal=55%	
GOBP_RESPONSE_TO_VIRUS	GOBP_RESPONSE_TO_VIRUS	Details ...	345	0.6331948	3.3463192	0.0	0.0	0.0	2764	tags=44%, list=12%, signal=50%	
