NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ly6i	lymphocyte antigen 6 complex, locus I [Source:MGI Symbol;Acc:MGI:1888480]	35	3.1771233081817627	0.02495638	Yes	
row_1	Gm12250	predicted gene 12250 [Source:MGI Symbol;Acc:MGI:3649299]	63	2.8692069053649902	0.04770082	Yes	
row_2	H2-K2	histocompatibility 2, K region locus 2 [Source:MGI Symbol;Acc:MGI:95906]	67	2.8534250259399414	0.07139035	Yes	
row_3	Il18bp	interleukin 18 binding protein [Source:MGI Symbol;Acc:MGI:1333800]	68	2.8385562896728516	0.09509035	Yes	
row_4	Il21r	interleukin 21 receptor [Source:MGI Symbol;Acc:MGI:1890475]	74	2.7973854541778564	0.11822226	Yes	
row_5	Fgl2	fibrinogen-like protein 2 [Source:MGI Symbol;Acc:MGI:103266]	79	2.758100986480713	0.14107104	Yes	
row_6	Tap1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) [Source:MGI Symbol;Acc:MGI:98483]	80	2.752228021621704	0.16405025	Yes	
row_7	Igtp	interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729]	95	2.643606185913086	0.18549438	Yes	
row_8	B2m	beta-2 microglobulin [Source:MGI Symbol;Acc:MGI:88127]	99	2.6254208087921143	0.20728023	Yes	
row_9	H2-D1	histocompatibility 2, D region locus 1 [Source:MGI Symbol;Acc:MGI:95896]	147	2.4097537994384766	0.22529118	Yes	
row_10	Lag3	lymphocyte-activation gene 3 [Source:MGI Symbol;Acc:MGI:106588]	149	2.4054253101348877	0.24532995	Yes	
row_11	Neurl3	neuralized E3 ubiquitin protein ligase 3 [Source:MGI Symbol;Acc:MGI:2429944]	161	2.368497848510742	0.26461172	Yes	
row_12	Irgm2	immunity-related GTPase family M member 2 [Source:MGI Symbol;Acc:MGI:1926262]	165	2.359452247619629	0.28417692	Yes	
row_13	Tgtp2	T cell specific GTPase 2 [Source:MGI Symbol;Acc:MGI:3710083]	175	2.319833278656006	0.30314213	Yes	
row_14	Gbp2	guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]	193	2.271752119064331	0.3213469	Yes	
row_15	Tmem229b	transmembrane protein 229B [Source:MGI Symbol;Acc:MGI:2444389]	206	2.2420883178710938	0.33952838	Yes	
row_16	H2-T10	histocompatibility 2, T region locus 10 [Source:MGI Symbol;Acc:MGI:95942]	222	2.196104049682617	0.35719132	Yes	
row_17	Mag	myelin-associated glycoprotein [Source:MGI Symbol;Acc:MGI:96912]	231	2.1594226360321045	0.37486205	Yes	
row_18	Nlrc5	NLR family, CARD domain containing 5 [Source:MGI Symbol;Acc:MGI:3612191]	235	2.1447503566741943	0.39263463	Yes	
row_19	Ccl8	chemokine (C-C motif) ligand 8 [Source:MGI Symbol;Acc:MGI:101878]	241	2.128448247909546	0.41018137	Yes	
