NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Aoah	acyloxyacyl hydrolase [Source:MGI Symbol;Acc:MGI:1350928]	1	4.453059196472168	0.020426638	Yes	
row_1	Oasl1	2'-5' oligoadenylate synthetase-like 1 [Source:MGI Symbol;Acc:MGI:2180849]	2	4.315937042236328	0.040267948	Yes	
row_2	Ifit3	interferon-induced protein with tetratricopeptide repeats 3 [Source:MGI Symbol;Acc:MGI:1101055]	19	3.3696792125701904	0.055038285	Yes	
row_3	Iigp1	interferon inducible GTPase 1 [Source:MGI Symbol;Acc:MGI:1926259]	46	3.016521453857422	0.06773457	Yes	
row_4	Hck	hemopoietic cell kinase [Source:MGI Symbol;Acc:MGI:96052]	49	2.981877326965332	0.08135281	Yes	
row_5	Scimp	SLP adaptor and CSK interacting membrane protein [Source:MGI Symbol;Acc:MGI:3610314]	52	2.9619243144989014	0.09487932	Yes	
row_6	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated) [Source:MGI Symbol;Acc:MGI:96534]	59	2.8837435245513916	0.10786622	Yes	
row_7	Il18bp	interleukin 18 binding protein [Source:MGI Symbol;Acc:MGI:1333800]	68	2.8385562896728516	0.12055528	Yes	
row_8	Il21r	interleukin 21 receptor [Source:MGI Symbol;Acc:MGI:1890475]	74	2.7973854541778564	0.13319021	Yes	
row_9	Fgl2	fibrinogen-like protein 2 [Source:MGI Symbol;Acc:MGI:103266]	79	2.758100986480713	0.1456896	Yes	
row_10	Sp110	Sp110 nuclear body protein [Source:MGI Symbol;Acc:MGI:1923364]	88	2.698460340499878	0.15773462	Yes	
row_11	Ebi3	Epstein-Barr virus induced gene 3 [Source:MGI Symbol;Acc:MGI:1354171]	94	2.649044990539551	0.1696876	Yes	
row_12	Igtp	interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729]	95	2.643606185913086	0.18184084	Yes	
row_13	Slfn1	schlafen 1 [Source:MGI Symbol;Acc:MGI:1313259]	96	2.6435697078704834	0.19399391	Yes	
row_14	B2m	beta-2 microglobulin [Source:MGI Symbol;Acc:MGI:88127]	99	2.6254208087921143	0.20597345	Yes	
row_15	Phf11b	PHD finger protein 11B [Source:MGI Symbol;Acc:MGI:3645789]	100	2.6253902912139893	0.21804294	Yes	
row_16	Sdc3	syndecan 3 [Source:MGI Symbol;Acc:MGI:1349163]	132	2.5010435581207275	0.2281442	Yes	
row_17	Themis2	thymocyte selection associated family member 2 [Source:MGI Symbol;Acc:MGI:2446213]	133	2.4973506927490234	0.23962507	Yes	
row_18	Ly9	lymphocyte antigen 9 [Source:MGI Symbol;Acc:MGI:96885]	137	2.474153757095337	0.25086415	Yes	
row_19	Sp140	Sp140 nuclear body protein [Source:MGI Symbol;Acc:MGI:3702467]	142	2.428924798965454	0.26185024	Yes	
row_20	Cxcl10	chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol;Acc:MGI:1352450]	144	2.4240663051605225	0.27294916	Yes	
row_21	Tgtp2	T cell specific GTPase 2 [Source:MGI Symbol;Acc:MGI:3710083]	175	2.319833278656006	0.2822624	Yes	
row_22	Zbp1	Z-DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1927449]	204	2.243920087814331	0.29131678	Yes	
row_23	Ifi47	interferon gamma inducible protein 47 [Source:MGI Symbol;Acc:MGI:99448]	219	2.2064599990844727	0.30082962	Yes	
row_24	Irf1	interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]	226	2.1873421669006348	0.31061503	Yes	
row_25	Nlrc5	NLR family, CARD domain containing 5 [Source:MGI Symbol;Acc:MGI:3612191]	235	2.1447503566741943	0.3201145	Yes	
row_26	Irgm1	immunity-related GTPase family M member 1 [Source:MGI Symbol;Acc:MGI:107567]	250	2.1035046577453613	0.32915404	Yes	
row_27	Acod1	aconitate decarboxylase 1 [Source:MGI Symbol;Acc:MGI:103206]	272	2.047245979309082	0.33761963	Yes	
row_28	Slc16a10	solute carrier family 16 (monocarboxylic acid transporters), member 10 [Source:MGI Symbol;Acc:MGI:1919722]	296	2.00329327583313	0.345793	Yes	
row_29	Tapbpl	TAP binding protein-like [Source:MGI Symbol;Acc:MGI:2384853]	308	1.98310124874115	0.35441422	Yes	
row_30	Aftph	aftiphilin [Source:MGI Symbol;Acc:MGI:1923012]	316	1.9669116735458374	0.36314118	Yes	
row_31	Slc15a3	solute carrier family 15, member 3 [Source:MGI Symbol;Acc:MGI:1929691]	319	1.9648847579956055	0.37208408	Yes	
row_32	Mid1	midline 1 [Source:MGI Symbol;Acc:MGI:1100537]	321	1.9597190618515015	0.3810483	Yes	
row_33	Stat1	signal transducer and activator of transcription 1 [Source:MGI Symbol;Acc:MGI:103063]	324	1.9518613815307617	0.38993132	Yes	
row_34	Trim14	tripartite motif-containing 14 [Source:MGI Symbol;Acc:MGI:1921985]	330	1.9412230253219604	0.3986303	Yes	
row_35	Batf2	basic leucine zipper transcription factor, ATF-like 2 [Source:MGI Symbol;Acc:MGI:1921731]	338	1.9303083419799805	0.40718898	Yes	
row_36	Cst7	cystatin F (leukocystatin) [Source:MGI Symbol;Acc:MGI:1298217]	340	1.9230457544326782	0.4159846	Yes	
row_37	Psme1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha) [Source:MGI Symbol;Acc:MGI:1096367]	357	1.8820322751998901	0.4239159	Yes	
row_38	Irf5	interferon regulatory factor 5 [Source:MGI Symbol;Acc:MGI:1350924]	366	1.8660202026367188	0.432134	Yes	
row_39	Gbp4	guanylate binding protein 4 [Source:MGI Symbol;Acc:MGI:97072]	368	1.860465168952942	0.4406419	Yes	
row_40	Fermt3	fermitin family member 3 [Source:MGI Symbol;Acc:MGI:2147790]	369	1.8603448867797852	0.4491943	Yes	
row_41	Clec12a	C-type lectin domain family 12, member a [Source:MGI Symbol;Acc:MGI:3040968]	375	1.848021149635315	0.45746484	Yes	
row_42	Relb	avian reticuloendotheliosis viral (v-rel) oncogene related B [Source:MGI Symbol;Acc:MGI:103289]	388	1.8254129886627197	0.46531603	Yes	
row_43	Ccl4	chemokine (C-C motif) ligand 4 [Source:MGI Symbol;Acc:MGI:98261]	391	1.8173683881759644	0.47358078	Yes	
row_44	Cybb	cytochrome b-245, beta polypeptide [Source:MGI Symbol;Acc:MGI:88574]	395	1.8144333362579346	0.48178697	Yes	
row_45	Cd274	CD274 antigen [Source:MGI Symbol;Acc:MGI:1926446]	466	1.7323538064956665	0.48659742	Yes	
row_46	Psmb9	proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2) [Source:MGI Symbol;Acc:MGI:1346526]	489	1.708016276359558	0.49345842	Yes	
row_47	Espl1	extra spindle pole bodies 1, separase [Source:MGI Symbol;Acc:MGI:2146156]	522	1.6784534454345703	0.499733	Yes	
row_48	Ptpn22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid) [Source:MGI Symbol;Acc:MGI:107170]	529	1.6725187301635742	0.5071516	Yes	
row_49	Ube2l6	ubiquitin-conjugating enzyme E2L 6 [Source:MGI Symbol;Acc:MGI:1914500]	560	1.64492928981781	0.51336217	Yes	
