NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cd52	CD52 antigen [Source:MGI Symbol;Acc:MGI:1346088]	378	1.8433022499084473	-0.0066176043	No	
row_1	Septin6	septin 6 [Source:MGI Symbol;Acc:MGI:1888939]	613	1.60081148147583	-0.008118872	No	
row_2	Adgb	androglobin [Source:MGI Symbol;Acc:MGI:3605549]	794	1.4274650812149048	-0.00816677	No	
row_3	Ctsh	cathepsin H [Source:MGI Symbol;Acc:MGI:107285]	949	1.3199279308319092	-0.00765081	No	
row_4	Tsga10	testis specific 10 [Source:MGI Symbol;Acc:MGI:2685063]	1285	1.153245449066162	-0.01622754	No	
row_5	Marcks	myristoylated alanine rich protein kinase C substrate [Source:MGI Symbol;Acc:MGI:96907]	1313	1.1385191679000854	-0.01101603	No	
row_6	Sqstm1	sequestosome 1 [Source:MGI Symbol;Acc:MGI:107931]	1457	1.081702709197998	-0.0113495635	No	
row_7	Akap3	A kinase (PRKA) anchor protein 3 [Source:MGI Symbol;Acc:MGI:1341149]	2158	0.8788872361183167	-0.03791366	No	
row_8	Grk3	G protein-coupled receptor kinase 3 [Source:MGI Symbol;Acc:MGI:87941]	2307	0.8481057286262512	-0.03979115	No	
row_9	Met	met proto-oncogene [Source:MGI Symbol;Acc:MGI:96969]	2584	0.7951075434684753	-0.047732566	No	
row_10	Rnf38	ring finger protein 38 [Source:MGI Symbol;Acc:MGI:1920719]	2890	0.7441583871841431	-0.057267684	No	
row_11	Slc26a3	solute carrier family 26, member 3 [Source:MGI Symbol;Acc:MGI:107181]	3107	0.7085299491882324	-0.06299566	No	
row_12	Atg16l1	autophagy related 16-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1924290]	3169	0.7002145648002625	-0.06178985	No	
row_13	Septin7	septin 7 [Source:MGI Symbol;Acc:MGI:1335094]	3255	0.6868954300880432	-0.061740126	No	
row_14	Slc26a6	solute carrier family 26, member 6 [Source:MGI Symbol;Acc:MGI:2159728]	3731	0.6241223216056824	-0.079609185	No	
row_15	Prkar1a	protein kinase, cAMP dependent regulatory, type I, alpha [Source:MGI Symbol;Acc:MGI:104878]	3784	0.6178788542747498	-0.07846288	No	
row_16	Capzb	capping actin protein of muscle Z-line subunit beta [Source:MGI Symbol;Acc:MGI:104652]	3788	0.6171318888664246	-0.07511397	No	
row_17	Rap1a	RAS-related protein 1a [Source:MGI Symbol;Acc:MGI:97852]	4088	0.5772399306297302	-0.08532121	No	
row_18	Tppp2	tubulin polymerization-promoting protein family member 2 [Source:MGI Symbol;Acc:MGI:2684923]	4179	0.5668863654136658	-0.086174175	No	
row_19	Atp1b3	ATPase, Na+/K+ transporting, beta 3 polypeptide [Source:MGI Symbol;Acc:MGI:107788]	4308	0.5506152510643005	-0.088830404	No	
row_20	Ct55	cancer/testis antigen 55 [Source:MGI Symbol;Acc:MGI:1922263]	4399	0.5396727323532104	-0.08983701	No	
row_21	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide [Source:MGI Symbol;Acc:MGI:88105]	5110	0.4609714150428772	-0.11921082	No	
row_22	Ppp3cc	protein phosphatase 3, catalytic subunit, gamma isoform [Source:MGI Symbol;Acc:MGI:107162]	5437	0.4290270209312439	-0.13147078	No	
row_23	Il4i1	interleukin 4 induced 1 [Source:MGI Symbol;Acc:MGI:109552]	5513	0.4219343364238739	-0.13246652	No	
row_24	Tcp11	t-complex protein 11 [Source:MGI Symbol;Acc:MGI:98544]	5721	0.40134885907173157	-0.13952336	No	
row_25	Ak2	adenylate kinase 2 [Source:MGI Symbol;Acc:MGI:87978]	6071	0.36733120679855347	-0.15316749	No	
row_26	Septin2	septin 2 [Source:MGI Symbol;Acc:MGI:97298]	6109	0.36360347270965576	-0.15278113	No	
